osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction
159030863,2,61,Sládkovičova,primary,50,False,True,18.995,"LINESTRING (18.4403773 49.1149968, 18.4402166 49.1148622)",,
"[192725989, 524881694]",4,61,Sládkovičova,primary,50,False,False,109.81,"LINESTRING (18.4403773 49.1149968, 18.4407291 49.1152672, 18.4409674 49.1154506, 18.4411805 49.1156147, 18.4413387 49.1157365, 18.4413549 49.115749)",,
4350574,3,517,M. R. Štefánika,secondary,50,False,False,41.623000000000005,"LINESTRING (18.4419372 49.1161173, 18.4418139 49.1161808, 18.4414817 49.1163436)",,
4401863,4,61,Štúrova,primary,,False,False,42.626000000000005,"LINESTRING (18.4419372 49.1161173, 18.4419934 49.1161425, 18.4420573 49.11617, 18.4421678 49.1162162, 18.4422925 49.1162627, 18.442441 49.1163119)",,
5094119,3,517,Partizánska,secondary,,False,False,46.454,"LINESTRING (18.4419372 49.1161173, 18.4421751 49.1159933, 18.442438 49.1158583)",,
192725988,4,61,Sládkovičova,primary,50,False,True,58.993,"LINESTRING (18.4419372 49.1161173, 18.4418634 49.1160784, 18.4417884 49.1160358, 18.4417024 49.115981, 18.4416109 49.1159156, 18.4413549 49.115749)",,
"[524881691, 192725987]",3,517,M. R. Štefánika,secondary,50,False,True,95.47300000000001,"LINESTRING (18.440219 49.1170075, 18.4403179 49.1169568, 18.44079 49.1167069, 18.4408651 49.1166675, 18.4412417 49.1164698)",,
60222737,2,,Stred,residential,,False,False,34.236999999999995,"LINESTRING (18.4420043 49.1193476, 18.4420393 49.1193152, 18.4421342 49.1192273, 18.4422757 49.1190961)",,
"[1189109877, 923306646]",2,,Stred,residential,,False,False,46.933,"LINESTRING (18.4420043 49.1193476, 18.442416 49.1195658, 18.4425055 49.1196132)",,
923306646,2,,Stred,residential,,False,True,92.314,"LINESTRING (18.4420043 49.1193476, 18.441103 49.1188659, 18.4410218 49.1188225)",,
158925374,2,,Stred,residential,,True,False,47.150999999999996,"LINESTRING (18.4425055 49.1196132, 18.4426016 49.1196992, 18.4426842 49.1198726, 18.4427445 49.1200026)",,
"[1189109877, 923306646]",2,,Stred,residential,,False,True,46.933,"LINESTRING (18.4425055 49.1196132, 18.442416 49.1195658, 18.4420043 49.1193476)",,
699378549,4,,Stred,residential,,False,True,14.185,"LINESTRING (18.4427445 49.1200026, 18.4425523 49.1200238)",,
"[144824280, 699378546, 699378547]",4,,Stred,residential,,False,False,192.14,"LINESTRING (18.4427445 49.1200026, 18.442864 49.1199904, 18.4431865 49.1199577, 18.4432834 49.1199478, 18.4435069 49.1199317, 18.443736 49.1199157, 18.4443918 49.1198815, 18.4453729 49.1198587)",,
39215859,,,Stred,residential,,False,False,105.603,"LINESTRING (18.4453729 49.1198587, 18.4453763 49.1197559, 18.4456913 49.1189345)",,
"[144824280, 699378546, 699378547]",4,,Stred,residential,,False,True,192.14,"LINESTRING (18.4453729 49.1198587, 18.4443918 49.1198815, 18.443736 49.1199157, 18.4435069 49.1199317, 18.4432834 49.1199478, 18.4431865 49.1199577, 18.442864 49.1199904, 18.4427445 49.1200026)",,
"[195141585, 158925379, 158925380, 699386805]","['2', '4']",,Stred,residential,,False,False,435.303,"LINESTRING (18.4453729 49.1198587, 18.4459176 49.1198502, 18.4464684 49.1198433, 18.4475101 49.1198343, 18.447857 49.1198335, 18.4486873 49.1198174, 18.4489363 49.1198115, 18.4491738 49.1197952, 18.4494097 49.1197676, 18.4496089 49.1197317, 18.4497898 49.1196931, 18.4500216 49.1196412, 18.4502248 49.1195827, 18.4503217 49.1195427, 18.4504295 49.1194933, 18.4505405 49.1194328, 18.4506483 49.1193582, 18.450798 49.1192414, 18.450966 49.1190831)",yes,
"[101609217, 37114071]",2,,Stred,residential,,False,False,232.18499999999997,"LINESTRING (18.450966 49.1190831, 18.4506825 49.1190001, 18.449775 49.1187398, 18.4496948 49.1187192, 18.4493077 49.1186107, 18.4491856 49.1185748, 18.449157 49.118555, 18.4491518 49.118533, 18.4492705 49.1183641, 18.449365 49.1182483, 18.4494337 49.1180927, 18.4494531 49.1180656, 18.4495419 49.1179477, 18.4496187 49.1178314)",,
"[195141585, 158925379, 158925380, 699386805]","['2', '4']",,Stred,residential,,False,True,435.30299999999994,"LINESTRING (18.450966 49.1190831, 18.450798 49.1192414, 18.4506483 49.1193582, 18.4505405 49.1194328, 18.4504295 49.1194933, 18.4503217 49.1195427, 18.4502248 49.1195827, 18.4500216 49.1196412, 18.4497898 49.1196931, 18.4496089 49.1197317, 18.4494097 49.1197676, 18.4491738 49.1197952, 18.4489363 49.1198115, 18.4486873 49.1198174, 18.447857 49.1198335, 18.4475101 49.1198343, 18.4464684 49.1198433, 18.4459176 49.1198502, 18.4453729 49.1198587)",yes,
"[39300505, 39300506, 325327029]",2,,"['Centrum', 'Stred']",residential,,False,False,167.915,"LINESTRING (18.450966 49.1190831, 18.4511404 49.1188908, 18.4513308 49.1186444, 18.45143 49.1184826, 18.451538 49.118283, 18.4516249 49.1181176, 18.451675 49.1179735, 18.451711 49.1178601, 18.451755 49.1176766)",,
"[39300505, 39300506, 325327029]",2,,"['Centrum', 'Stred']",residential,,False,True,167.91500000000002,"LINESTRING (18.451755 49.1176766, 18.451711 49.1178601, 18.451675 49.1179735, 18.4516249 49.1181176, 18.451538 49.118283, 18.45143 49.1184826, 18.4513308 49.1186444, 18.4511404 49.1188908, 18.450966 49.1190831)",,
