osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry,lanes,ref,junction,width
28508870,False,Š. Moyzesa,residential,30,yes,False,256.349,"LINESTRING (19.1211492 48.5762537, 19.1211277 48.576361, 19.1208487 48.577747, 19.1207604 48.5782111, 19.1206959 48.5785395)",,,,
286072304,False,Š. Moyzesa,residential,30,yes,True,230.125,"LINESTRING (19.1211492 48.5762537, 19.1211627 48.5761594, 19.121257 48.5756715, 19.1213129 48.5754146, 19.1213592 48.5752125, 19.1214208 48.5750021, 19.1216474 48.5742862, 19.1216686 48.5742143)",,,,
295100701,False,Ľ. Štúra,residential,,,False,81.02499999999999,"LINESTRING (19.1211492 48.5762537, 19.1210118 48.5762409, 19.1204949 48.5761926, 19.1201894 48.576165, 19.1200584 48.5761531)",,,,
295100701,False,Ľ. Štúra,residential,,,True,134.175,"LINESTRING (19.1211492 48.5762537, 19.1212838 48.5762664, 19.1227618 48.5764056, 19.1228915 48.5764182, 19.1229548 48.5764237)",,,,
26025473,False,M. M. Hodžu,residential,,,True,158.915,"LINESTRING (19.1206959 48.5785395, 19.1208115 48.5785445, 19.1227161 48.5786439, 19.1228496 48.57865)",,,,
28508870,False,Š. Moyzesa,residential,30,yes,True,256.349,"LINESTRING (19.1206959 48.5785395, 19.1207604 48.5782111, 19.1208487 48.577747, 19.1211277 48.576361, 19.1211492 48.5762537)",,,,
41533316,False,M. M. Hodžu,residential,,,False,86.13499999999999,"LINESTRING (19.1206959 48.5785395, 19.1206036 48.5785351, 19.1195342 48.5784436)",,,,
"[210217973, 28508873, 1206061701]",False,"['Hať Podharajch', 'Š. Moyzesa']",residential,30,,True,405.87,"LINESTRING (19.1206959 48.5785395, 19.1206831 48.5786229, 19.1205517 48.57929, 19.1204775 48.5796489, 19.1203791 48.5800522, 19.1203096 48.5803192, 19.12029 48.5804126, 19.1202825 48.5804776, 19.1202867 48.5805228, 19.1203036 48.5805812, 19.1203313 48.5806345, 19.1203691 48.5806839, 19.1204139 48.5807345, 19.1204563 48.5807759, 19.1205052 48.5808143, 19.1205667 48.5808532, 19.1206251 48.5808829, 19.1207016 48.5809135, 19.1207907 48.5809396, 19.1209005 48.5809671, 19.1210797 48.5810022, 19.1217627 48.5811258, 19.1223652 48.5812537)",,,,
26025473,False,M. M. Hodžu,residential,,,False,158.915,"LINESTRING (19.1228496 48.57865, 19.1227161 48.5786439, 19.1208115 48.5785445, 19.1206959 48.5785395)",,,,
"[494138987, 195726599]",False,M. R. Štefánika,residential,,,False,119.83600000000001,"LINESTRING (19.1228496 48.57865, 19.1228515 48.5787556, 19.1228591 48.5789639, 19.1228882 48.5797274)",,,,
494138988,False,M. R. Štefánika,residential,,,True,79.637,"LINESTRING (19.1228496 48.57865, 19.1228426 48.5785524, 19.1228201 48.5779341)",,,,
"[558186165, 4631070]",True,M. R. Štefánika,residential,,,False,222.512,"LINESTRING (19.1229548 48.5764237, 19.1229867 48.5763328, 19.1231031 48.575966, 19.1233895 48.5750815, 19.1235598 48.5745482, 19.1235881 48.574467)",2,,,
295100701,False,Ľ. Štúra,residential,,,False,134.175,"LINESTRING (19.1229548 48.5764237, 19.1228915 48.5764182, 19.1227618 48.5764056, 19.1212838 48.5762664, 19.1211492 48.5762537)",,,,
"[26025475, 494138981]",False,M. R. Štefánika,residential,,,False,169.251,"LINESTRING (19.1229548 48.5764237, 19.1229373 48.5764803, 19.1228902 48.5766342, 19.1227845 48.5769739, 19.1228136 48.5777785, 19.1228188 48.577902, 19.1228201 48.5779341)",,,,
73810631,False,J. Kráľa,residential,,,False,243.214,"LINESTRING (19.1188671 48.5760442, 19.1188798 48.5759853, 19.119219 48.5744103, 19.1193157 48.573961, 19.1193334 48.5738788)",,,,
133466884,False,J. Kráľa,residential,,,True,255.606,"LINESTRING (19.1188671 48.5760442, 19.1188536 48.5761092, 19.1183951 48.5783216)",,,,
295100701,False,Ľ. Štúra,residential,,,True,88.477,"LINESTRING (19.1188671 48.5760442, 19.1189674 48.5760534, 19.1199491 48.5761431, 19.1200584 48.5761531)",,,,
195726593,False,Námestie SNP,residential,,,True,13.844,"LINESTRING (19.1266019 48.5741449, 19.1266025 48.5742694)",3,,,
"[10462881, 44199089]",True,Ľ. Štúra,residential,,,False,195.719,"LINESTRING (19.1255926 48.576651, 19.1254609 48.5766345, 19.1248173 48.5765814, 19.1240336 48.5765124, 19.1239422 48.5765039, 19.1232418 48.576447, 19.1229548 48.5764237)",2,,,
23881800,False,Kubániho,residential,,,False,250.484,"LINESTRING (19.1263269 48.5803426, 19.1252252 48.5803513, 19.1249197 48.5803531, 19.1246454 48.5803548, 19.1246194 48.5803549, 19.1245855 48.5803552, 19.1243105 48.5803564, 19.1235264 48.580363, 19.1234687 48.580363, 19.1230619 48.5803658, 19.1229221 48.5803677)",,,,
28508874,False,Jána Kollára,residential,,,False,143.88199999999998,"LINESTRING (19.1263269 48.5803426, 19.1263235 48.5805036, 19.1262862 48.5806638, 19.1261673 48.5812173, 19.1260898 48.581528, 19.1260701 48.581624)",,,,
"[1230070747, 10390854]",False,Viliama Paulínyho Tótha,residential,,,True,123.805,"LINESTRING (19.1263269 48.5803426, 19.126623 48.5803245, 19.1267015 48.5803217, 19.1275236 48.5802921, 19.1278738 48.5802701, 19.1279999 48.5802445)",,,,
4631069,False,Hať Podharajch,residential,,,False,2.879,"LINESTRING (19.1227398 48.5813375, 19.1227037 48.5813275)",3,,,
494138996,False,Hať Podharajch,residential,,,True,31.107,"LINESTRING (19.1227398 48.5813375, 19.1231433 48.5814212)",3,,,
10390860,True,Jána Jiskru,residential,,,False,51.426,"LINESTRING (19.1287238 48.5740826, 19.1288636 48.574171, 19.1289259 48.5742158, 19.1289749 48.5742593, 19.1290145 48.5743147, 19.1290587 48.5743857, 19.1290941 48.5744636)",,,,
195740219,False,J. Jesenského,tertiary,,,False,50.97,"LINESTRING (19.1287238 48.5740826, 19.1292145 48.5741612, 19.1293958 48.5741939)",4,2452,,
"[541501678, 304773383]",False,J. Jesenského,tertiary,,,True,98.81099999999999,"LINESTRING (19.1287238 48.5740826, 19.1284533 48.5740344, 19.1282937 48.5740089, 19.1277286 48.5739289, 19.1274202 48.5738704)",4,2452,,
"[195555904, 533416825, 306140819, 1139686692]",True,Jána Jiskru,residential,30,,False,118.51799999999999,"LINESTRING (19.1290941 48.5744636, 19.1290606 48.5750953, 19.1290367 48.5754151, 19.1290341 48.5754407, 19.1290318 48.5755286)",2,,,
1020279582,False,Hlbiny,residential,,,True,175.92899999999995,"LINESTRING (19.1290941 48.5744636, 19.1291794 48.5744599, 19.1292431 48.5744612, 19.1292709 48.5744631, 19.1293256 48.5744762, 19.1294711 48.5745232, 19.1295489 48.5745428, 19.1296233 48.574553, 19.1297051 48.5745441, 19.1298097 48.574521, 19.1300297 48.5744545, 19.130149 48.574419, 19.1304106 48.5743631, 19.1304803 48.5743374, 19.130538 48.5743019, 19.1306372 48.5742229, 19.1307177 48.5741564, 19.1307914 48.5740925, 19.1307968 48.5740623, 19.130778 48.5740312, 19.1307472 48.5740108, 19.1306855 48.5739931, 19.1306211 48.5739807, 19.1305567 48.5739789, 19.1304669 48.5739886)",,,,
24467596,True,Jozefa Kozáčeka,residential,,delivery,False,30.254,"LINESTRING (19.1284443 48.5789527, 19.1284357 48.5789239, 19.1284153 48.5788552, 19.128369 48.5787941, 19.1282936 48.5787484, 19.1282465 48.578729)",,,,
"[339344632, 24467597]",False,Jozefa Kozáčeka,residential,,,False,108.65899999999999,"LINESTRING (19.1284443 48.5789527, 19.1284269 48.5790179, 19.1281883 48.5799151)",,,,
10293488,True,Jána Jiskru,residential,,,False,38.74,"LINESTRING (19.1293958 48.5741939, 19.1292835 48.574245, 19.1292232 48.5742805, 19.1291751 48.5743204, 19.129172 48.5743239, 19.1291284 48.5743798, 19.1290941 48.5744636)",,,,
195740219,False,J. Jesenského,tertiary,,,True,50.97,"LINESTRING (19.1293958 48.5741939, 19.1292145 48.5741612, 19.1287238 48.5740826)",4,2452,,
