osmid,name,highway,oneway,reversed,length,ref,maxspeed,lanes,geometry,junction
83994779,Kúpeľná,residential,False,False,14.993,,,,"LINESTRING (17.769154 47.8567712, 17.7690111 47.8566764)",
"[793517185, 793517186, 124092430]",Bratislavská,primary,False,"[False, True]",142.855,63,50,3,"LINESTRING (17.769154 47.8567712, 17.7690849 47.8568468, 17.7690363 47.8569111, 17.7687363 47.8573265, 17.7685392 47.8575977, 17.7684588 47.8576949, 17.7683619 47.8578038, 17.7683245 47.857842, 17.7682616 47.8579063)",
793517187,Bratislavská cesta,primary,False,True,51.913000000000004,63,50,3,"LINESTRING (17.769154 47.8567712, 17.7692263 47.8567052, 17.7692996 47.8566499, 17.7693809 47.8565924, 17.7694651 47.856545, 17.7695449 47.8565045, 17.7696378 47.8564645, 17.7696598 47.8564566)",
18656160,Námestie Hrdinov,residential,False,False,156.809,,,,"LINESTRING (17.7669231 47.8589677, 17.76708 47.8590712, 17.7671919 47.8591499, 17.7676448 47.8594499, 17.7678041 47.8596594, 17.7679405 47.8600278, 17.7679808 47.8601365)",
124092430,Bratislavská,primary,False,False,118.70299999999999,63,50,,"LINESTRING (17.7669231 47.8589677, 17.766854 47.8589943, 17.7667662 47.8590119, 17.766685 47.859019, 17.7666534 47.8590189, 17.7666235 47.8590188, 17.7665487 47.8590133, 17.7664964 47.8590073, 17.7664029 47.8589938, 17.7662895 47.8589697, 17.7661646 47.8589393, 17.7660435 47.8589136, 17.76597 47.8588992, 17.7658448 47.8588802, 17.7657621 47.8588748, 17.7656806 47.8588753, 17.7655965 47.8588829, 17.7655204 47.8588911, 17.7654784 47.8588996, 17.7653844 47.8589187)",
124092430,Bratislavská,primary,False,True,95.511,63,50,,"LINESTRING (17.7669231 47.8589677, 17.7671457 47.8588301, 17.7672461 47.8587721, 17.767759 47.8583215)",
83994735,Sídl. M. Corvina,residential,False,False,42.86,,,,"LINESTRING (17.7653844 47.8589187, 17.765333 47.8588564, 17.7653086 47.8588326, 17.76513 47.8587223, 17.7650041 47.8586336)",
124092430,Bratislavská,primary,False,False,212.839,63,50,,"LINESTRING (17.7653844 47.8589187, 17.7653132 47.8589384, 17.7652501 47.8589573, 17.7651871 47.8589805, 17.7647351 47.8591707, 17.7642792 47.8594036, 17.763839 47.8596411, 17.7631448 47.8600893)",
124092430,Bratislavská,primary,False,True,118.703,63,50,,"LINESTRING (17.7653844 47.8589187, 17.7654784 47.8588996, 17.7655204 47.8588911, 17.7655965 47.8588829, 17.7656806 47.8588753, 17.7657621 47.8588748, 17.7658448 47.8588802, 17.76597 47.8588992, 17.7660435 47.8589136, 17.7661646 47.8589393, 17.7662895 47.8589697, 17.7664029 47.8589938, 17.7664964 47.8590073, 17.7665487 47.8590133, 17.7666235 47.8590188, 17.7666534 47.8590189, 17.766685 47.859019, 17.7667662 47.8590119, 17.766854 47.8589943, 17.7669231 47.8589677)",
83994793,Jahodová,residential,False,False,32.781,,,,"LINESTRING (17.7753136 47.8575314, 17.775233 47.8578212)",
