osmid,highway,oneway,reversed,length,lanes,ref,geometry,name,maxspeed
239699174,tertiary,False,False,68.236,,,"LINESTRING (-86.5149569 11.9780411, -86.5143315 11.9779931)",,
239699176,primary,False,False,91.124,2,10,"LINESTRING (-86.5149569 11.9780411, -86.514838 11.9772299)",,
239699176,primary,False,True,616.709,2,10,"LINESTRING (-86.5149569 11.9780411, -86.5151702 11.9791699, -86.5153376 11.9803823, -86.5153972 11.9811577, -86.5154091 11.98172, -86.5153447 11.9831195, -86.5153248 11.983553)",,
238075892,tertiary,False,True,88.393,,278,"LINESTRING (-86.5064766 11.9801493, -86.5072858 11.9802223)",Calle Central,
385341610,residential,False,True,89.564,,,"LINESTRING (-86.5064766 11.9801493, -86.5065551 11.9793475)",,30
595942639,residential,False,False,100.075,,,"LINESTRING (-86.5064766 11.9801493, -86.5063751 11.9809918, -86.5063724 11.9810434)",1a Avenida NO,30
238075892,tertiary,False,False,82.266,,278,"LINESTRING (-86.5113171 11.9805953, -86.510564 11.9805272)",Calle Central,
238075892,tertiary,False,True,58.698,,278,"LINESTRING (-86.5113171 11.9805953, -86.5118541 11.9806474)",Calle Central,
595942644,residential,False,True,225.202,,,"LINESTRING (-86.5113171 11.9805953, -86.5112744 11.9812134, -86.5113296 11.981343, -86.5114455 11.9814348, -86.5116563 11.9815143, -86.5117381 11.9813862, -86.5118541 11.9806474)",,30
595942643,residential,False,False,92.179,,,"LINESTRING (-86.5113171 11.9805953, -86.5113623 11.9797675)",,30
238075892,tertiary,False,False,374.393,,278,"LINESTRING (-86.5153248 11.983553, -86.5152109 11.9834081, -86.5151108 11.9832326, -86.514852 11.9827791, -86.5143146 11.9820081, -86.5142012 11.9818871, -86.5140963 11.981776, -86.5139692 11.9816627, -86.5137568 11.9815032, -86.5135615 11.9813689, -86.5133538 11.9812197, -86.5130976 11.9810556)",Calle Central,
239699176,primary,False,False,616.7090000000001,2,10,"LINESTRING (-86.5153248 11.983553, -86.5153447 11.9831195, -86.5154091 11.98172, -86.5153972 11.9811577, -86.5153376 11.9803823, -86.5151702 11.9791699, -86.5149569 11.9780411)",,
239699176,primary,False,True,91.124,2,10,"LINESTRING (-86.514838 11.9772299, -86.5149569 11.9780411)",,
239699174,tertiary,False,True,136.69,,,"LINESTRING (-86.512059 11.9777935, -86.5122138 11.9778086, -86.5132722 11.9779119, -86.5133095 11.9779148)",,
595942319,residential,False,False,36.757000000000005,,,"LINESTRING (-86.512059 11.9777935, -86.5118666 11.9777657, -86.5117247 11.9777452)",,
595942321,residential,False,False,118.50500000000001,,,"LINESTRING (-86.512059 11.9777935, -86.5120914 11.9777158, -86.5122154 11.9767415)",,
1270672804,tertiary,False,False,75.175,,,"LINESTRING (-86.512059 11.9777935, -86.5119722 11.977863, -86.5119589 11.9780229, -86.5119397 11.9782574, -86.5118918 11.9784215)",,
266758952,residential,False,False,90.599,,,"LINESTRING (-86.5106261 11.9797348, -86.5097971 11.9796559)",,
266758952,residential,False,True,80.161,,,"LINESTRING (-86.5106261 11.9797348, -86.5113623 11.9797675)",,
595942646,tertiary,False,False,88.37,,,"LINESTRING (-86.5106261 11.9797348, -86.510564 11.9805272)",,
"[595942645, 595942646]",tertiary,False,True,120.965,,,"LINESTRING (-86.5106261 11.9797348, -86.5106932 11.9792892, -86.5108178 11.9789374, -86.5108029 11.978861, -86.5109473 11.9788624, -86.510993 11.9788512)",,
238075892,tertiary,False,False,92.697,,278,"LINESTRING (-86.510564 11.9805272, -86.509716 11.9804445)",Calle Central,
238075892,tertiary,False,True,82.266,,278,"LINESTRING (-86.510564 11.9805272, -86.5113171 11.9805953)",Calle Central,
595942646,tertiary,False,True,88.37,,,"LINESTRING (-86.510564 11.9805272, -86.5106261 11.9797348)",,
595942645,tertiary,False,False,112.886,,,"LINESTRING (-86.5118918 11.9784215, -86.5117576 11.978581, -86.5115658 11.9787123, -86.5113404 11.978792, -86.5110624 11.9788343, -86.510993 11.9788512)",,
595944652,residential,False,False,65.726,,,"LINESTRING (-86.5118918 11.9784215, -86.5119069 11.9784615, -86.5119525 11.97859, -86.5120035 11.9789994)",,
1270672804,tertiary,False,True,75.175,,,"LINESTRING (-86.5118918 11.9784215, -86.5119397 11.9782574, -86.5119589 11.9780229, -86.5119722 11.977863, -86.512059 11.9777935)",,
238075892,tertiary,False,False,93.788,,278,"LINESTRING (-86.5081434 11.9803096, -86.5072858 11.9802223)",Calle Central,
238075892,tertiary,False,True,88.09,,278,"LINESTRING (-86.5081434 11.9803096, -86.5089503 11.9803772)",Calle Central,
385341629,residential,False,True,38.109,,,"LINESTRING (-86.5081434 11.9803096, -86.5080644 11.9806435)",,30
595942641,residential,False,False,89.764,,,"LINESTRING (-86.5081434 11.9803096, -86.5082164 11.9795055)",,30
238075892,tertiary,False,False,88.09,,278,"LINESTRING (-86.5089503 11.9803772, -86.5081434 11.9803096)",Calle Central,
238075892,tertiary,False,True,83.623,,278,"LINESTRING (-86.5089503 11.9803772, -86.509716 11.9804445)",Calle Central,
385341614,residential,False,True,88.741,,,"LINESTRING (-86.5089503 11.9803772, -86.5090305 11.979583)",,30
595942642,residential,False,False,79.75,,,"LINESTRING (-86.5089503 11.9803772, -86.5088235 11.9810836)",,30
238075892,tertiary,False,False,58.698,,278,"LINESTRING (-86.5118541 11.9806474, -86.5113171 11.9805953)",Calle Central,
595942644,residential,False,False,225.202,,,"LINESTRING (-86.5118541 11.9806474, -86.5117381 11.9813862, -86.5116563 11.9815143, -86.5114455 11.9814348, -86.5113296 11.981343, -86.5112744 11.9812134, -86.5113171 11.9805953)",,30
385341608,residential,False,True,79.308,,,"LINESTRING (-86.5118541 11.9806474, -86.5119406 11.9799392)",,30
238075892,tertiary,False,True,143.567,,278,"LINESTRING (-86.5118541 11.9806474, -86.5122508 11.9807326, -86.5124269 11.980768, -86.5126039 11.9808244, -86.5128577 11.9809313, -86.5130976 11.9810556)",Calle Central,
595942641,residential,False,True,118.024,,,"LINESTRING (-86.5083349 11.9784618, -86.5083543 11.978559, -86.5083598 11.9786265, -86.5083239 11.9786913, -86.5082164 11.9795055)",,30
