osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,width,geometry
1118440808,2,Calle Central,residential,False,True,30.895,,,,"LINESTRING (-84.4728636 11.0433137, -84.4731316 11.0432242)"
155433958,2,NN-118,tertiary,False,False,253.526,NN-118,45,6,"LINESTRING (-84.4728636 11.0433137, -84.4728392 11.0434079, -84.4724921 11.0439282, -84.4721647 11.0446687, -84.4720627 11.0450658, -84.4718305 11.0453237)"
1118440808,2,Calle Central,residential,False,False,9.061,,,,"LINESTRING (-84.4744964 11.0428999, -84.4744806 11.0428199)"
1118440808,2,Calle Central,residential,False,False,30.895,,,,"LINESTRING (-84.4731316 11.0432242, -84.4728636 11.0433137)"
598409284,,,residential,False,False,242.491,,,,"LINESTRING (-84.4731316 11.0432242, -84.4731494 11.0428569, -84.4732324 11.04255, -84.4732448 11.0423655, -84.4731955 11.0421569, -84.473103 11.0412587, -84.4730938 11.0410652)"
1118440808,2,Calle Central,residential,False,True,155.134,,,,"LINESTRING (-84.4731316 11.0432242, -84.4742514 11.0428225, -84.4744806 11.0428199)"
1118440808,2,Calle Central,residential,False,True,9.061,,,,"LINESTRING (-84.4744806 11.0428199, -84.4744964 11.0428999)"
513963986,,,unclassified,False,False,287.351,,,,"LINESTRING (-84.4744806 11.0428199, -84.4741607 11.0436662, -84.4739737 11.0438458, -84.473807 11.0440333, -84.4737013 11.0441969, -84.4735794 11.044576, -84.473494 11.0451546)"
1118440808,2,Calle Central,residential,False,False,155.134,,,,"LINESTRING (-84.4744806 11.0428199, -84.4742514 11.0428225, -84.4731316 11.0432242)"
513963986,,,unclassified,False,True,287.351,,,,"LINESTRING (-84.473494 11.0451546, -84.4735794 11.044576, -84.4737013 11.0441969, -84.473807 11.0440333, -84.4739737 11.0438458, -84.4741607 11.0436662, -84.4744806 11.0428199)"
598409284,,,residential,False,True,242.491,,,,"LINESTRING (-84.4730938 11.0410652, -84.473103 11.0412587, -84.4731955 11.0421569, -84.4732448 11.0423655, -84.4732324 11.04255, -84.4731494 11.0428569, -84.4731316 11.0432242)"
155433958,2,NN-118,tertiary,False,True,253.526,NN-118,45,6,"LINESTRING (-84.4718305 11.0453237, -84.4720627 11.0450658, -84.4721647 11.0446687, -84.4724921 11.0439282, -84.4728392 11.0434079, -84.4728636 11.0433137)"
