osmid,oneway,lanes,highway,junction,reversed,length,geometry,name,maxspeed
712353458,True,2,tertiary,roundabout,False,13.8,"LINESTRING (-24.9874567 16.8839572, -24.9874644 16.8839841, -24.9874849 16.8840271, -24.9875138 16.8840675)",,
1117548023,True,,secondary,,False,14.379999999999999,"LINESTRING (-24.9887245 16.8828399, -24.988676 16.8828621, -24.9886529 16.8828962, -24.9886438 16.8829324)",Rua do Coco,
32052317,False,,residential,,False,12.455,"LINESTRING (-24.9879785 16.8837052, -24.9880899 16.8837396)",Rua Edoardo de Balsemão,
415542089,True,,tertiary,,False,36.572,"LINESTRING (-24.9879785 16.8837052, -24.9877807 16.8838614, -24.9877036 16.8839005)",Rua do Coco,
718993533,True,,tertiary,roundabout,False,4.684,"LINESTRING (-24.987707 16.8840625, -24.9877327 16.8840283)",,
485276024,False,2,secondary,,False,10.652,"LINESTRING (-24.9900719 16.8834448, -24.9901059 16.8833547)",Avenida Marginal,
485276024,False,2,secondary,,True,113.767,"LINESTRING (-24.9900719 16.8834448, -24.9897423 16.8844181)",Avenida Marginal,
485276024,False,2,secondary,,False,113.767,"LINESTRING (-24.9897423 16.8844181, -24.9900719 16.8834448)",Avenida Marginal,
795486204,False,,residential,,True,40.376,"LINESTRING (-24.9897423 16.8844181, -24.9893931 16.884276)",Rua Edoardo de Balsemão,
"[1119900344, 485276023]",True,"['1', '2']",secondary,,False,187.97200000000004,"LINESTRING (-24.9897423 16.8844181, -24.9896621 16.8845579, -24.9893922 16.8852974, -24.9892913 16.8856133, -24.9892623 16.8856883, -24.9892108 16.8859508, -24.9892039 16.8860208)",Avenida Marginal,
32052322,True,,tertiary,,False,28.879,"LINESTRING (-24.9899064 16.8887415, -24.989748 16.8889524)",Rua Angola,
485279476,True,,tertiary,,False,9.465,"LINESTRING (-24.9899064 16.8887415, -24.9899579 16.8886721)",,
32052328,False,,residential,,True,48.173,"LINESTRING (-24.9860237 16.8914041, -24.9863454 16.8915013, -24.9864594 16.8915185)",,
32052333,True,,tertiary,,False,142.861,"LINESTRING (-24.9860237 16.8914041, -24.9860565 16.891296, -24.9863703 16.8901629)",Avenida Baltazar Lopes da Silva,
32064375,False,,residential,,False,9.151,"LINESTRING (-24.9863703 16.8901629, -24.9862843 16.8901619)",,
377620041,True,,tertiary,,False,9.397,"LINESTRING (-24.9863703 16.8901629, -24.9863244 16.8900907)",Avenida Baltazar Lopes da Silva,
183536178,False,,residential,,True,51.756,"LINESTRING (-24.9863703 16.8901629, -24.9864585 16.890159, -24.9866005 16.8901687, -24.9868513 16.8902168)",,
236415824,False,,residential,,False,144.937,"LINESTRING (-24.9863703 16.8901629, -24.9864104 16.8901242, -24.9864349 16.8900911, -24.9864557 16.8900438, -24.9868227 16.8889413)",Rua Aurelio Gonçalves,
32064378,False,2,tertiary,,True,121.617,"LINESTRING (-24.9866114 16.8889025, -24.9869098 16.8878467)",Avenida Baltazar Lopes da Silva,
236415820,False,,residential,,False,22.892,"LINESTRING (-24.9866114 16.8889025, -24.9868227 16.8889413)",Rua Patrice Lumumba,
236415821,False,,residential,,True,22.582,"LINESTRING (-24.9866114 16.8889025, -24.9864016 16.8888718)",Rua Camões,
