osmid,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
218049059,residential,False,False,88.336,"LINESTRING (72.2277918 41.3540987, 72.2287844 41.3543743)",,,
218049054,tertiary,False,True,73.288,"LINESTRING (72.2277918 41.3540987, 72.2278462 41.3539633, 72.227968 41.3535928, 72.2279263 41.3534604)",,,
218049059,residential,False,True,463.39699999999993,"LINESTRING (72.2277918 41.3540987, 72.2269759 41.3563203, 72.2270484 41.3564871, 72.228449 41.3578071)",,,
218086079,primary,False,True,137.488,"LINESTRING (72.2342491 41.35421, 72.233301 41.3531989)",2,М-107,60
218049122,residential,False,True,187.93,"LINESTRING (72.2342491 41.35421, 72.2346273 41.3541402, 72.2347555 41.3541378, 72.2348901 41.3541931, 72.2357234 41.3552011)",,,
218086079,primary,False,False,201.249,"LINESTRING (72.2342491 41.35421, 72.234756 41.3547506, 72.2350949 41.3555377, 72.235178 41.3558532)",2,М-107,60
218049059,residential,False,True,88.336,"LINESTRING (72.2287844 41.3543743, 72.2277918 41.3540987)",,,
218049059,residential,False,False,56.466,"LINESTRING (72.2287844 41.3543743, 72.2290292 41.3544423, 72.2294008 41.3545818)",,,
218049103,residential,False,False,379.96299999999997,"LINESTRING (72.2287844 41.3543743, 72.2281091 41.35614, 72.2281362 41.356334, 72.2282541 41.3564973, 72.2292434 41.357439)",,,
218049059,residential,False,False,310.97,"LINESTRING (72.2294008 41.3545818, 72.2297408 41.3548438, 72.2312151 41.3562179, 72.2305417 41.3566524)",,,
218049059,residential,False,True,56.466,"LINESTRING (72.2294008 41.3545818, 72.2290292 41.3544423, 72.2287844 41.3543743)",,,
218056335,residential,False,True,238.666,"LINESTRING (72.2294008 41.3545818, 72.2294924 41.3540312, 72.2295325 41.3537654, 72.2295052 41.3536763, 72.2293177 41.3535861, 72.2290533 41.3535043, 72.2286159 41.353449, 72.2279263 41.3534604)",,,
218049122,residential,False,False,187.93,"LINESTRING (72.2357234 41.3552011, 72.2348901 41.3541931, 72.2347555 41.3541378, 72.2346273 41.3541402, 72.2342491 41.35421)",,,
218049096,residential,False,False,97.011,"LINESTRING (72.2290121 41.3552064, 72.229214 41.35537, 72.2297449 41.3558828)",,,
