osmid,highway,oneway,reversed,length,name,lanes,ref,maxspeed,geometry,bridge
235410335,residential,False,True,180.351,,,,,"LINESTRING (71.9457226 42.5421427, 71.9461243 42.5437374)",
235410296,residential,False,False,172.284,,,,,"LINESTRING (71.9544713 42.5423384, 71.954764 42.5438727)",
235410431,residential,False,False,354.633,Айтымбет улица,,,,"LINESTRING (71.9544713 42.5423384, 71.9502544 42.5430586)",
235410415,residential,False,False,170.097,,,,,"LINESTRING (71.9502544 42.5430586, 71.9506276 42.5445634)",
235410431,residential,False,False,316.742,Айтымбет улица,,,,"LINESTRING (71.9502544 42.5430586, 71.9464809 42.5436788)",
235410431,residential,False,True,354.633,Айтымбет улица,,,,"LINESTRING (71.9502544 42.5430586, 71.9544713 42.5423384)",
235410373,residential,False,False,171.302,,,,,"LINESTRING (71.9464809 42.5436788, 71.9468262 42.5451982)",
235410431,residential,False,False,29.932,Айтымбет улица,,,,"LINESTRING (71.9464809 42.5436788, 71.9461243 42.5437374)",
235410431,residential,False,True,316.742,Айтымбет улица,,,,"LINESTRING (71.9464809 42.5436788, 71.9502544 42.5430586)",
235410335,residential,False,False,180.351,,,,,"LINESTRING (71.9461243 42.5437374, 71.9457226 42.5421427)",
235410431,residential,False,True,29.932,Айтымбет улица,,,,"LINESTRING (71.9461243 42.5437374, 71.9464809 42.5436788)",
235410296,residential,False,False,166.162,,,,,"LINESTRING (71.954764 42.5438727, 71.9551248 42.5453432)",
235410296,residential,False,True,172.284,,,,,"LINESTRING (71.954764 42.5438727, 71.9544713 42.5423384)",
458813680,residential,False,False,347.463,Акылбек улица,,,,"LINESTRING (71.954764 42.5438727, 71.9506276 42.5445634)",
235410415,residential,False,False,168.229,,,,,"LINESTRING (71.9506276 42.5445634, 71.9510097 42.5460499)",
235410415,residential,False,True,170.097,,,,,"LINESTRING (71.9506276 42.5445634, 71.9502544 42.5430586)",
458813680,residential,False,False,319.321,Акылбек улица,,,,"LINESTRING (71.9506276 42.5445634, 71.9468262 42.5451982)",
458813680,residential,False,True,347.463,Акылбек улица,,,,"LINESTRING (71.9506276 42.5445634, 71.954764 42.5438727)",
235410373,residential,False,False,170.163,,,,,"LINESTRING (71.9468262 42.5451982, 71.9472204 42.5467007)",
