osmid,lanes,name,highway,maxspeed,oneway,reversed,length,width,geometry
525590040,2,Сагымбай Орозбаков көчөсү,primary,60,False,True,188.942,,"LINESTRING (75.7556467 42.2157426, 75.7534764 42.2151916)"
85258921,1,,residential,,False,False,105.853,6,"LINESTRING (75.7556467 42.2157426, 75.7557462 42.2155783, 75.7561503 42.2148668)"
85258944,,Ишеналы Арабаев,residential,,False,False,152.312,6,"LINESTRING (75.7474237 42.2100712, 75.7469177 42.2113887)"
85258944,,Ишеналы Арабаев,residential,,False,True,118.436,6,"LINESTRING (75.7474237 42.2100712, 75.7477945 42.2090421)"
444564680,,М. Кулубек көчөсү,residential,40,False,True,296.626,6,"LINESTRING (75.7474237 42.2100712, 75.7508477 42.2108985)"
85258990,2,Аубакир көчөсү,residential,50,False,False,117.121,6,"LINESTRING (75.7548065 42.214522, 75.7561503 42.2148668)"
85258990,2,Аубакир көчөсү,residential,50,False,True,83.45,6,"LINESTRING (75.7548065 42.214522, 75.753836 42.2143062)"
"[445017288, 85258926]",,Сапар уулу Аалы көчөсү,residential,,False,False,272.266,6,"LINESTRING (75.7548065 42.214522, 75.7552936 42.2134042, 75.7555077 42.2129311, 75.7545001 42.2127221)"
85258992,,С. Айтбаев көчөсү,residential,40,False,False,140.29,6,"LINESTRING (75.7494448 42.2142574, 75.7489293 42.2154599)"
85258992,,С. Айтбаев көчөсү,residential,40,False,True,103.04,6,"LINESTRING (75.7494448 42.2142574, 75.7498144 42.2133721)"
525590040,2,Сагымбай Орозбаков көчөсү,primary,60,False,False,347.892,,"LINESTRING (75.7494448 42.2142574, 75.7534764 42.2151916)"
525590040,2,Сагымбай Орозбаков көчөсү,primary,60,False,True,283.877,,"LINESTRING (75.7494448 42.2142574, 75.7478201 42.2138693, 75.7461517 42.2135038)"
85258944,,Ишеналы Арабаев,residential,,False,False,153.189,6,"LINESTRING (75.7461517 42.2135038, 75.7456089 42.2148215)"
85258944,,Ишеналы Арабаев,residential,,False,True,243.503,6,"LINESTRING (75.7461517 42.2135038, 75.7469177 42.2113887)"
525590040,2,Сагымбай Орозбаков көчөсү,primary,60,False,False,283.877,,"LINESTRING (75.7461517 42.2135038, 75.7478201 42.2138693, 75.7494448 42.2142574)"
85258944,,Ишеналы Арабаев,residential,,False,False,243.503,6,"LINESTRING (75.7469177 42.2113887, 75.7461517 42.2135038)"
85258944,,Ишеналы Арабаев,residential,,False,True,152.312,6,"LINESTRING (75.7469177 42.2113887, 75.7474237 42.2100712)"
221104454,,Сапар уулу Аалы көчөсү,residential,40,False,False,289.99600000000004,6,"LINESTRING (75.7469177 42.2113887, 75.7478079 42.2115876, 75.7493963 42.2119577, 75.7502731 42.2121787)"
85258992,,С. Айтбаев көчөсү,residential,40,False,True,127.138,6,"LINESTRING (75.7508477 42.2108985, 75.7513227 42.2098106)"
