osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed,width,bridge,junction,access
241132609,True,EN280,Avenida Doutor Agostinho Neto,primary,False,57.79,"LINESTRING (13.4896507 -14.9186657, 13.4893905 -14.9187546, 13.4891436 -14.9188389)",,,,,,
477954473,True,,Praça Comandante Cowboy,tertiary,False,88.795,"LINESTRING (13.4896507 -14.9186657, 13.4896013 -14.9185476, 13.4893553 -14.9179593, 13.4893411 -14.9179253)",,,,,,
184133353,True,,Avenida Boulevard do Mucufi,tertiary,False,83.968,"LINESTRING (13.4910267 -14.9226714, 13.4911202 -14.92263, 13.4917318 -14.9223458)",2,50,6,,,
"[963933945, 184300842, 184300839]",True,,Avenida 11 de Novembro,tertiary,False,61.05800000000001,"LINESTRING (13.4910267 -14.9226714, 13.4909865 -14.9225783, 13.4909051 -14.9223745, 13.4908193 -14.9221602)",,,,yes,,
958876320,True,EN280,,primary,False,17.750999999999998,"LINESTRING (13.4903083 -14.9207058, 13.4903351 -14.9206744, 13.4903502 -14.9206364, 13.4903519 -14.9205957, 13.490343 -14.9205592)",,,,,roundabout,
184300842,True,,Avenida 11 de Novembro,tertiary,False,74.988,"LINESTRING (13.4908193 -14.9221602, 13.4905676 -14.9215312)",,,,,,
184017024,False,,Rua Comandante Saydi Mingas,tertiary,True,75.176,"LINESTRING (13.4899529 -14.9207049, 13.4897672 -14.9207768, 13.4895912 -14.9208417, 13.4893011 -14.9209506)",,60,,,,
958876320,True,EN280,,primary,False,18.152,"LINESTRING (13.4899529 -14.9207049, 13.4899736 -14.9207408, 13.4900048 -14.9207682, 13.4900433 -14.9207846, 13.4900853 -14.9207883)",,,,,roundabout,
1053598751,False,,,living_street,False,15.702,"LINESTRING (13.4900472 -14.9196723, 13.4900324 -14.9196363, 13.4899942 -14.9195407)",,,,,,
326345597,False,,Rua Aníbal de Melo,tertiary,False,106.095,"LINESTRING (13.4921172 -14.9177126, 13.49175 -14.9168269)",,,,,,
326345597,False,,Rua Aníbal de Melo,tertiary,True,106.322,"LINESTRING (13.4921172 -14.9177126, 13.4924826 -14.9186012)",,,,,,
821071279,True,EN280,Rua 1º de Agosto,primary,False,118.494,"LINESTRING (13.4921172 -14.9177126, 13.4910932 -14.9181082)",,,,,,
