osmid,highway,oneway,reversed,length,geometry,ref,maxspeed,junction
200043679,residential,False,True,107.661,"LINESTRING (16.0319494 -14.6857745, 16.0325694 -14.6865346)",,,
1083833415,unclassified,False,False,249.87699999999998,"LINESTRING (16.0319494 -14.6857745, 16.0316989 -14.6859679, 16.0301337 -14.6871763)",,,
200043685,residential,False,True,108.626,"LINESTRING (16.0301337 -14.6871763, 16.0307615 -14.6879415)",,,
1083833415,unclassified,False,False,164.65,"LINESTRING (16.0301337 -14.6871763, 16.0289373 -14.6881)",,,
1083833415,unclassified,False,True,249.87699999999998,"LINESTRING (16.0301337 -14.6871763, 16.0316989 -14.6859679, 16.0319494 -14.6857745)",,,
200020813,residential,False,False,249.063,"LINESTRING (16.0336156 -14.6878172, 16.0318052 -14.6892137)",,,
200020813,residential,False,True,78.297,"LINESTRING (16.0336156 -14.6878172, 16.0341849 -14.6873784)",,,
200043679,residential,False,False,181.668,"LINESTRING (16.0336156 -14.6878172, 16.0325694 -14.6865346)",,,
200043679,residential,False,True,76.512,"LINESTRING (16.0336156 -14.6878172, 16.0340562 -14.6883574)",,,
200020793,primary,True,False,16.835,"LINESTRING (16.0287886 -14.6880357, 16.02884 -14.6881787)",EN 120,50,
1083569179,primary,False,False,93.63799999999999,"LINESTRING (16.0287886 -14.6880357, 16.0286057 -14.6878067, 16.0283374 -14.6874072, 16.0282871 -14.6873484)",EN120,80,
200020799,primary,True,False,17.52,"LINESTRING (16.0289373 -14.6881, 16.0287886 -14.6880357)",EN 120,50,
737191709,unclassified,False,False,13.642,"LINESTRING (16.0289373 -14.6881, 16.02884 -14.6881787)",,,
1083833415,unclassified,False,True,164.65,"LINESTRING (16.0289373 -14.6881, 16.0301337 -14.6871763)",,,
200020793,primary,True,False,106.002,"LINESTRING (16.02884 -14.6881787, 16.0294213 -14.6889485)",EN 120,50,
737191709,unclassified,False,True,13.642,"LINESTRING (16.02884 -14.6881787, 16.0289373 -14.6881)",,,
737191710,residential,False,False,331.58799999999997,"LINESTRING (16.02884 -14.6881787, 16.0283285 -14.6885685, 16.0267406 -14.6898399, 16.0264531 -14.6900657)",,,
200020799,primary,True,False,106.875,"LINESTRING (16.0295402 -14.688864, 16.0289373 -14.6881)",EN 120,50,
