osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed,bridge
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,True,28.402,,,"LINESTRING (-69.0411166 18.7570068, -69.0411803 18.7567586)",,
493372871,,residential,False,False,44.343,,,"LINESTRING (-69.0411166 18.7570068, -69.0406992 18.7569537)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,False,39.575,,,"LINESTRING (-69.0413808 18.7559234, -69.041302 18.7562714)",,
493373460,,residential,False,False,76.878,,,"LINESTRING (-69.0370847 18.7582552, -69.0369525 18.7578947, -69.0371543 18.7576509)",,
493373461,,residential,False,False,32.335,,,"LINESTRING (-69.0370847 18.7582552, -69.0370168 18.7582721, -69.0367879 18.7583299)",,
493373461,,residential,False,True,57.396,,,"LINESTRING (-69.0370847 18.7582552, -69.037253 18.7582331, -69.0374567 18.7581908, -69.0376196 18.7581574)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,False,69.905,,,"LINESTRING (-69.0395014 18.7598175, -69.0389682 18.7601921)",,
493373459,,residential,False,False,55.935,,,"LINESTRING (-69.0395014 18.7598175, -69.0392187 18.7593916)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,True,106.34,,,"LINESTRING (-69.0395014 18.7598175, -69.0398039 18.7595224, -69.0401641 18.7590972)",,
493373461,,residential,False,True,32.335,,,"LINESTRING (-69.0367879 18.7583299, -69.0370168 18.7582721, -69.0370847 18.7582552)",,
493373965,Calle Gastón Fernando Deligne,residential,False,False,142.609,,,"LINESTRING (-69.0367879 18.7583299, -69.036616 18.7579084, -69.0365463 18.757621, -69.036502 18.7572663, -69.036495 18.7570878)",,
"[505327941, 493373967]",Calle Gastón Fernando Deligne,residential,False,"[False, True]",97.57,,,"LINESTRING (-69.0367879 18.7583299, -69.0368637 18.7584951, -69.0369109 18.7586576, -69.036868 18.75881, -69.0366593 18.7591241)",,yes
493372960,,residential,False,False,16.328,,,"LINESTRING (-69.0388904 18.7539916, -69.0387654 18.7539047)",,
493372960,,residential,False,True,66.402,,,"LINESTRING (-69.0388904 18.7539916, -69.0392217 18.7542783, -69.0393906 18.7543421)",,
932652963,,residential,False,False,100.157,,,"LINESTRING (-69.0388904 18.7539916, -69.038731 18.7542872, -69.0386586 18.7543469, -69.0385902 18.75439, -69.0384011 18.7545399, -69.03833 18.7546923)",,
493372959,,residential,False,True,95.34100000000001,,,"LINESTRING (-69.0391154 18.7548525, -69.0386736 18.7551167, -69.0383901 18.7553605)",,
493372962,,residential,False,True,45.44499999999999,,,"LINESTRING (-69.0391154 18.7548525, -69.0392401 18.7551167, -69.0392668 18.7552333)",,
493373358,,residential,False,False,37.677,,,"LINESTRING (-69.0391154 18.7548525, -69.0391112 18.7547225, -69.039051 18.754556, -69.0390383 18.7545255)",,
493372960,,residential,False,False,32.6,,,"LINESTRING (-69.0387654 18.7539047, -69.0384613 18.7538496)",,
493372960,,residential,False,True,16.328,,,"LINESTRING (-69.0387654 18.7539047, -69.0388904 18.7539916)",,
932652965,,residential,False,False,58.977000000000004,,,"LINESTRING (-69.0387654 18.7539047, -69.0388276 18.7536459, -69.038849 18.7533817)",,
493372960,,residential,False,False,66.402,,,"LINESTRING (-69.0393906 18.7543421, -69.0392217 18.7542783, -69.0388904 18.7539916)",,
493372960,,residential,False,True,203.79700000000003,,,"LINESTRING (-69.0393906 18.7543421, -69.0395488 18.7545234, -69.039699 18.7548162, -69.0398493 18.7550923, -69.0399995 18.7554011, -69.0400341 18.7556653, -69.0400681 18.7560191)",,
493373008,,residential,False,False,75.156,,,"LINESTRING (-69.0393906 18.7543421, -69.0396175 18.7541254, -69.0398965 18.7538653)",,
493372673,,residential,False,True,40.299,,,"LINESTRING (-69.0403943 18.7561042, -69.0402804 18.7564502)",,
493372919,,residential,False,False,35.625,,,"LINESTRING (-69.0403943 18.7561042, -69.0400681 18.7560191)",,
493372673,,residential,False,False,115.19900000000001,,,"LINESTRING (-69.0403943 18.7561042, -69.0404157 18.7556653, -69.0406496 18.7551113)",,
493372919,,residential,False,True,54.533,,,"LINESTRING (-69.0403943 18.7561042, -69.0404959 18.7561339, -69.0408924 18.7562385)",,
493372672,,residential,False,False,100.065,,,"LINESTRING (-69.0408924 18.7562385, -69.0411218 18.7553652)",,
493372672,,residential,False,True,82.087,,,"LINESTRING (-69.0408924 18.7562385, -69.0406992 18.7569537)",,
493372919,,residential,False,True,43.282,,,"LINESTRING (-69.0408924 18.7562385, -69.041302 18.7562714)",,
493372919,,residential,False,False,54.533,,,"LINESTRING (-69.0408924 18.7562385, -69.0404959 18.7561339, -69.0403943 18.7561042)",,
493372671,,residential,False,False,43.676,,,"LINESTRING (-69.0369871 18.7570147, -69.0369396 18.7566245)",,
493372671,,residential,False,True,74.726,,,"LINESTRING (-69.0369871 18.7570147, -69.0369825 18.7572991, -69.0371543 18.7576509)",,
493372920,,residential,False,True,29.217,,,"LINESTRING (-69.0369871 18.7570147, -69.0370619 18.7569943, -69.0371716 18.7569981, -69.0372456 18.7570464)",,
493372670,,residential,False,True,47.439,,,"LINESTRING (-69.0383901 18.7553605, -69.0380468 18.7556368)",,
493372959,,residential,False,False,95.34100000000001,,,"LINESTRING (-69.0383901 18.7553605, -69.0386736 18.7551167, -69.0391154 18.7548525)",,
493373362,,residential,False,False,106.94999999999999,,,"LINESTRING (-69.0383901 18.7553605, -69.0384738 18.7554602, -69.0385811 18.755511, -69.0386905 18.7554907, -69.0388729 18.7554602, -69.0390124 18.7554094, -69.0392668 18.7552333)",,
493372852,,residential,False,False,71.304,,,"LINESTRING (-69.0380177 18.7591927, -69.0385449 18.7587902)",,
493372671,,residential,False,False,59.269000000000005,,,"LINESTRING (-69.0380177 18.7591927, -69.0379139 18.7588106, -69.0378975 18.758673)",,
493372671,,residential,False,True,53.12,,,"LINESTRING (-69.0380177 18.7591927, -69.0380177 18.7593146, -69.038197 18.7596273)",,
493372670,,residential,False,False,94.993,,,"LINESTRING (-69.0369396 18.7566245, -69.0376327 18.7560776)",,
493372671,,residential,False,True,43.676,,,"LINESTRING (-69.0369396 18.7566245, -69.0369871 18.7570147)",,
493372670,,residential,False,True,52.923,,,"LINESTRING (-69.0369396 18.7566245, -69.0367336 18.7567058, -69.0365699 18.7568471, -69.0365257 18.7568826)",,
493372672,,residential,False,False,97.858,,,"LINESTRING (-69.0385194 18.7599713, -69.0392187 18.7593916)",,
493372671,,residential,False,False,51.865,,,"LINESTRING (-69.0385194 18.7599713, -69.0384461 18.7598711, -69.038298 18.7597695, -69.038197 18.7596273)",,
493372671,,residential,False,True,47.894,,,"LINESTRING (-69.0385194 18.7599713, -69.0385725 18.7600438, -69.0387949 18.7603139)",,
493372671,,residential,False,True,64.367,,,"LINESTRING (-69.0376196 18.7581574, -69.0378975 18.758673)",,
493372917,,residential,False,False,39.987,,,"LINESTRING (-69.0376196 18.7581574, -69.0379781 18.7580387)",,
493372671,,residential,False,False,76.217,,,"LINESTRING (-69.0376196 18.7581574, -69.0374582 18.7578765, -69.0371543 18.7576509)",,
493373461,,residential,False,False,57.396,,,"LINESTRING (-69.0376196 18.7581574, -69.0374567 18.7581908, -69.037253 18.7582331, -69.0370847 18.7582552)",,
493372670,,residential,False,False,12.916,,,"LINESTRING (-69.0380506 18.7557529, -69.0380468 18.7556368)",,
493372670,,residential,False,True,56.918,,,"LINESTRING (-69.0380506 18.7557529, -69.0376606 18.7560556, -69.0376327 18.7560776)",,
493372919,,residential,False,True,202.1,,,"LINESTRING (-69.0380506 18.7557529, -69.0381473 18.7558578, -69.03827 18.7559767, -69.0384123 18.7561045, -69.0385744 18.7561952, -69.0387166 18.7562748, -69.0389909 18.7562667, -69.0391672 18.7562342, -69.0393171 18.7561529, -69.0397248 18.7560556)",,
493353875,Calle Fray Luis Oregui (Calle 11 de Febrero),residential,False,True,22.723,,,"LINESTRING (-69.0387949 18.7603139, -69.0389682 18.7601921)",,
493372671,,residential,False,False,47.894,,,"LINESTRING (-69.0387949 18.7603139, -69.0385725 18.7600438, -69.0385194 18.7599713)",,
493372670,,residential,False,True,27.453,,,"LINESTRING (-69.0365257 18.7568826, -69.0363325 18.7570484)",,
