osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,junction,geometry
30818026,True,2,RD-5,Avenida Francisco del Rosario Sánchez,primary,20,False,22.668,,"LINESTRING (-69.3433628 19.2046187, -69.3431762 19.2045162)"
28602821,True,2,RD-5,,primary,20,False,7.148,roundabout,"LINESTRING (-69.3402354 19.2036801, -69.3402994 19.2036582)"
124533225,False,,,Calle Adriano Horton,residential,,False,59.117000000000004,,"LINESTRING (-69.3402354 19.2036801, -69.3402649 19.2037558, -69.3402797 19.2038395, -69.3403102 19.2042045)"
28602821,True,2,RD-5,,primary,20,False,28.237,roundabout,"LINESTRING (-69.3402994 19.2036582, -69.3403506 19.2036171, -69.3403834 19.2035616, -69.3403936 19.2034989, -69.3403801 19.2034367)"
28602826,True,2,RD-5,Avenida Francisco del Rosario Sánchez,primary,20,False,206.204,,"LINESTRING (-69.3402994 19.2036582, -69.3405992 19.203699, -69.3407926 19.2037464, -69.3421547 19.2042454)"
28602821,True,2,RD-5,,primary,20,False,24.7,roundabout,"LINESTRING (-69.3403801 19.2034367, -69.34035 19.2033889, -69.3403059 19.2033522, -69.3402521 19.2033299, -69.3401936 19.2033243)"
28602821,True,2,RD-5,,primary,20,False,14.722000000000001,roundabout,"LINESTRING (-69.3401936 19.2033243, -69.3401476 19.2033321, -69.340105 19.2033503, -69.3400684 19.2033777)"
175358265,False,,,Calle Adriano Horton,residential,,True,193.507,,"LINESTRING (-69.3401936 19.2033243, -69.3401559 19.2032656, -69.3401081 19.2031834, -69.3399257 19.2029858, -69.339797 19.202829, -69.3396736 19.2026872, -69.3395985 19.2024742, -69.3395878 19.2021702, -69.3396493 19.2017693)"
28602821,True,2,RD-5,,primary,20,False,22.415000000000003,roundabout,"LINESTRING (-69.3400155 19.2035257, -69.3400295 19.2035743, -69.3400573 19.2036173, -69.3400967 19.2036513, -69.3401446 19.2036736)"
28602822,True,2,RD-5,,primary,20,False,32.073,roundabout,"LINESTRING (-69.3388213 19.2032458, -69.3388777 19.2032237, -69.3389238 19.2031859, -69.3389548 19.2031362, -69.3389675 19.2030798, -69.3389606 19.2030224)"
28602829,True,2,RD-5,Av. Francisco del Rosario Sánchez,primary,20,False,130.685,,"LINESTRING (-69.3388213 19.2032458, -69.3389392 19.2032359, -69.3390375 19.2032373, -69.3391372 19.203247, -69.339243 19.2032696, -69.3394754 19.2033412, -69.3397974 19.2034418, -69.3398916 19.2034768, -69.3399552 19.2035028, -69.3400155 19.2035257)"
28602822,True,2,RD-5,,primary,20,False,6.017,roundabout,"LINESTRING (-69.3387789 19.2028917, -69.3387222 19.2028995)"
28602822,True,2,RD-5,,primary,20,False,20.189,roundabout,"LINESTRING (-69.3389399 19.2029777, -69.3388978 19.2029321, -69.338842 19.2029023, -69.3387789 19.2028917)"
