osmid,highway,oneway,reversed,length,ref,name,geometry,bridge
645484318,residential,False,False,45.754,,,"LINESTRING (-71.6207474 19.4293249, -71.6211708 19.4292255)",
674564945,primary,False,False,60.284000000000006,RD-45,Carretera Internacional,"LINESTRING (-71.6207474 19.4293249, -71.6207501 19.4296233, -71.6207287 19.4298662)",
674564945,primary,False,True,92.474,RD-45,Carretera Internacional,"LINESTRING (-71.6207474 19.4293249, -71.6207474 19.4291579, -71.6206938 19.4288164, -71.6206018 19.428509)",
"[674564936, 369953177, 674564945]",primary,False,True,722.35,RD-45,"['Dajabón - Loma de Cabrera', 'Carretera Internacional']","LINESTRING (-71.6209942 19.4356686, -71.6217667 19.4346164, -71.6218498 19.4344925, -71.621933 19.4342851, -71.6219759 19.4341105, -71.622 19.4338854, -71.6220751 19.4331064, -71.6220993 19.4327522, -71.6220725 19.4325195, -71.6220403 19.4323855, -71.6219813 19.4322691, -71.6218874 19.4321401, -71.6217667 19.431996, -71.6215588 19.4318138, -71.6212886 19.4314869, -71.6208467 19.4308982, -71.6207743 19.4307793, -71.6207314 19.4306376, -71.6206911 19.4304656, -71.6206911 19.430281, -71.6207287 19.4298662)",yes
645484316,residential,False,False,124.688,,,"LINESTRING (-71.6207287 19.4298662, -71.6208473 19.4298066, -71.6215436 19.4296846, -71.6218856 19.4296323)",
"[674564936, 674564945, 369953177]",primary,False,False,722.35,RD-45,"['Dajabón - Loma de Cabrera', 'Carretera Internacional']","LINESTRING (-71.6207287 19.4298662, -71.6206911 19.430281, -71.6206911 19.4304656, -71.6207314 19.4306376, -71.6207743 19.4307793, -71.6208467 19.4308982, -71.6212886 19.4314869, -71.6215588 19.4318138, -71.6217667 19.431996, -71.6218874 19.4321401, -71.6219813 19.4322691, -71.6220403 19.4323855, -71.6220725 19.4325195, -71.6220993 19.4327522, -71.6220751 19.4331064, -71.622 19.4338854, -71.6219759 19.4341105, -71.621933 19.4342851, -71.6218498 19.4344925, -71.6217667 19.4346164, -71.6209942 19.4356686)",yes
674564945,primary,False,True,60.284000000000006,RD-45,Carretera Internacional,"LINESTRING (-71.6207287 19.4298662, -71.6207501 19.4296233, -71.6207474 19.4293249)",
645484316,residential,False,True,124.688,,,"LINESTRING (-71.6218856 19.4296323, -71.6215436 19.4296846, -71.6208473 19.4298066, -71.6207287 19.4298662)",
645484318,residential,False,True,45.754,,,"LINESTRING (-71.6211708 19.4292255, -71.6207474 19.4293249)",
645484318,residential,False,False,166.291,,,"LINESTRING (-71.6211708 19.4292255, -71.6221198 19.429054, -71.6222122 19.4290744, -71.622243 19.4295683)",
645484320,residential,False,False,124.483,,,"LINESTRING (-71.6211708 19.4292255, -71.6210414 19.4285601, -71.6209952 19.4285078, -71.6209274 19.4284874, -71.6206018 19.428509)",
645484318,residential,False,True,166.291,,,"LINESTRING (-71.622243 19.4295683, -71.6222122 19.4290744, -71.6221198 19.429054, -71.6211708 19.4292255)",
645484320,residential,False,True,124.483,,,"LINESTRING (-71.6206018 19.428509, -71.6209274 19.4284874, -71.6209952 19.4285078, -71.6210414 19.4285601, -71.6211708 19.4292255)",
674564945,primary,False,False,92.47399999999999,RD-45,Carretera Internacional,"LINESTRING (-71.6206018 19.428509, -71.6206938 19.4288164, -71.6207474 19.4291579, -71.6207474 19.4293249)",
