osmid,highway,oneway,reversed,length,geometry,lanes,bridge,name
261473720,residential,False,False,45.207,"LINESTRING (-70.2565999 18.2783915, -70.2566761 18.2782121, -70.256699 18.2780761, -70.2566953 18.2780008)",,,
261473720,residential,False,True,117.15299999999999,"LINESTRING (-70.2565999 18.2783915, -70.2563018 18.2789625, -70.2562443 18.2791415, -70.256281 18.2792446, -70.2563721 18.2793282)",,,
1190135300,residential,False,True,267.967,"LINESTRING (-70.2565999 18.2783915, -70.2571325 18.2787307, -70.2574919 18.2789383, -70.2576743 18.2790643, -70.2577762 18.2791764, -70.2578366 18.2792834, -70.2581571 18.2801493)",,,
261473720,residential,False,False,117.153,"LINESTRING (-70.2563721 18.2793282, -70.256281 18.2792446, -70.2562443 18.2791415, -70.2563018 18.2789625, -70.2565999 18.2783915)",,,
261473721,residential,False,False,401.374,"LINESTRING (-70.2563721 18.2793282, -70.2565031 18.2793797, -70.2572664 18.2798987, -70.2574019 18.2800488, -70.2574787 18.2801689, -70.2576503 18.2804991, -70.2577045 18.2806449, -70.2577476 18.2808531, -70.2577611 18.2810518, -70.2577632 18.2811896, -70.2578405 18.2814243, -70.2579867 18.281536, -70.2581065 18.2815842, -70.2587065 18.2818431)",2,,
"[261473721, 261473718]",residential,False,True,35.405,"LINESTRING (-70.2563721 18.2793282, -70.2562275 18.2793154, -70.2561315 18.2793515, -70.2560551 18.2793907)",2,yes,
222719435,unclassified,False,True,972.273,"LINESTRING (-70.2560551 18.2793907, -70.2562215 18.2797816, -70.256597 18.2805304, -70.2572997 18.2819515, -70.2576323 18.2825831, -70.257922 18.2830517, -70.2583512 18.2836884, -70.258732 18.2842385, -70.2588501 18.2844474, -70.2587857 18.2846053, -70.2585175 18.2848599, -70.2581688 18.2851503, -70.2576162 18.2856596, -70.2571066 18.2862046, -70.2566346 18.2865917)",,,Camino La Rigola
"[261473721, 261473718]",residential,False,False,35.405,"LINESTRING (-70.2560551 18.2793907, -70.2561315 18.2793515, -70.2562275 18.2793154, -70.2563721 18.2793282)",2,yes,
261473723,residential,False,True,50.091,"LINESTRING (-70.2560551 18.2793907, -70.2558745 18.279466, -70.2557623 18.279515, -70.2556095 18.2795306)",2,,Calle Principal
261473723,residential,False,False,50.091,"LINESTRING (-70.2556095 18.2795306, -70.2557623 18.279515, -70.2558745 18.279466, -70.2560551 18.2793907)",2,,Calle Principal
261473723,residential,False,True,100.39099999999999,"LINESTRING (-70.2556095 18.2795306, -70.2554358 18.2794764, -70.2552609 18.2793668, -70.2548347 18.2790242)",2,,Calle Principal
