osmid,ref,name,highway,oneway,reversed,length,junction,geometry,bridge,maxspeed
121795019,187;187甲,廣濟路,secondary,False,False,17.074,,"LINESTRING (120.56675 22.6124414, 120.5666812 22.6123016)",,
121795011,187;187甲,,secondary,True,False,23.753,roundabout,"LINESTRING (120.56675 22.6124414, 120.5668076 22.6124361, 120.5668639 22.6124483, 120.5669129 22.6124766, 120.5669495 22.612518)",,
198888254,屏107,文化路,tertiary,False,False,7.659,,"LINESTRING (120.5669495 22.612518, 120.5670206 22.6124971)",,
121795011,187;187甲,,secondary,True,False,44.922,roundabout,"LINESTRING (120.5669495 22.612518, 120.5669689 22.6125652, 120.5669717 22.6126157, 120.5669577 22.6126645, 120.5669282 22.612707, 120.566886 22.6127391, 120.5668351 22.6127578, 120.5667806 22.6127612, 120.5667275 22.612749)",,
121795011,187;187甲,,secondary,True,False,44.704,roundabout,"LINESTRING (120.5667275 22.612749, 120.5666753 22.6127177, 120.5666381 22.6126717, 120.5666205 22.6126166, 120.5666247 22.6125593, 120.5666502 22.6125069, 120.5666937 22.6124659, 120.56675 22.6124414)",,
354480571,187;187甲,廣濟路,secondary,False,False,180.18200000000002,,"LINESTRING (120.5667275 22.612749, 120.5665203 22.6137999, 120.5664306 22.6143459)",,
"[354480572, 131663716, 131663717]",187甲,"['廣濟路', '內埔橋']",secondary,False,True,71.36800000000001,,"LINESTRING (120.5663052 22.6151135, 120.5662651 22.6152401, 120.566254 22.6152749, 120.5662447 22.6153044, 120.5662347 22.6153363, 120.5661449 22.6156243, 120.5661123 22.6157067, 120.5661055 22.6157281)",yes,
220822488,,崇文巷,unclassified,False,True,216.33000000000004,,"LINESTRING (120.5663052 22.6151135, 120.5661347 22.6151346, 120.5660752 22.6151353, 120.5659122 22.6151372, 120.5656686 22.6151363, 120.5655837 22.6151142, 120.565499 22.6150738, 120.5653292 22.6149198, 120.564917 22.6145124, 120.5647554 22.6143632, 120.5646918 22.6143265, 120.5645563 22.6142927)",,
231448284,187,光明路,secondary,False,True,228.461,,"LINESTRING (120.5663052 22.6151135, 120.5664402 22.6151426, 120.5665076 22.6151572, 120.5670256 22.6152691, 120.567508 22.6153822, 120.5679121 22.6154541, 120.5684726 22.6155791)",,50
354480571,187;187甲,廣濟路,secondary,False,True,46.824,,"LINESTRING (120.5663052 22.6151135, 120.5663234 22.6149889, 120.5663328 22.6149253, 120.5663663 22.6146962)",,
220822503,,新光路,residential,False,False,65.297,,"LINESTRING (120.5684726 22.6155791, 120.5685304 22.6149943)",,
231448284,187,光明路,secondary,False,False,228.46099999999998,,"LINESTRING (120.5684726 22.6155791, 120.5679121 22.6154541, 120.567508 22.6153822, 120.5670256 22.6152691, 120.5665076 22.6151572, 120.5664402 22.6151426, 120.5663052 22.6151135)",,50
231448284,187,光明路,secondary,False,True,181.432,,"LINESTRING (120.5684726 22.6155791, 120.5690573 22.6156967, 120.5696756 22.615803, 120.5700004 22.6158515, 120.570023 22.6158549, 120.5702089 22.6158826)",,50
220822522,,勝光路,residential,False,True,25.598,,"LINESTRING (120.5702089 22.6158826, 120.5702703 22.6158227, 120.5702894 22.615804, 120.5703802 22.6157153)",,
231448284,187,光明路,secondary,False,False,181.43200000000002,,"LINESTRING (120.5702089 22.6158826, 120.570023 22.6158549, 120.5700004 22.6158515, 120.5696756 22.615803, 120.5690573 22.6156967, 120.5684726 22.6155791)",,50
231448284,187,光明路,secondary,False,True,111.971,,"LINESTRING (120.5702089 22.6158826, 120.5703584 22.6159042, 120.570391 22.615909, 120.5706737 22.6159499, 120.5711377 22.6160285, 120.5712839 22.6160532)",,50
154712931,,德美路,residential,False,True,70.782,,"LINESTRING (120.5623458 22.6089964, 120.5623491 22.6089058, 120.5623507 22.608863, 120.562369 22.6083602)",,
354483579,187甲,復興路,secondary,False,True,16.012,,"LINESTRING (120.5623458 22.6089964, 120.56243 22.6090121, 120.5624626 22.6090182, 120.5624987 22.6090249)",,
371673122,,德修路,residential,False,False,78.98,,"LINESTRING (120.5623458 22.6089964, 120.5623318 22.6091649, 120.5623291 22.6091973, 120.5622868 22.6097046)",,
371673123,187甲,復興路,secondary,False,False,36.635999999999996,,"LINESTRING (120.5623458 22.6089964, 120.5622658 22.608979, 120.5622352 22.6089724, 120.5619984 22.6089209)",,
523762275,,埤頭巷,unclassified,False,False,26.075,,"LINESTRING (120.5622868 22.6097046, 120.5625402 22.609721)",,
