osmid,oneway,ref,name,highway,reversed,length,lanes,geometry,bridge,tunnel
175854632,True,182,中山路,secondary,False,46.632,,"LINESTRING (120.2501494 22.9719116, 120.2505768 22.9717666)",,
507054240,False,,裕信六街,residential,False,9.624,,"LINESTRING (120.2482266 22.9765968, 120.2481326 22.9765958)",,
175854639,True,182,中山路,secondary,False,10.688,2,"LINESTRING (120.2482634 22.9725814, 120.2481634 22.972609)",,
160526419,True,,文德路,residential,False,316.064,,"LINESTRING (120.2482634 22.9725814, 120.2482735 22.9730004, 120.2483056 22.9743405, 120.24827 22.9754229)",,
160526419,True,,文德路,residential,False,11.394,,"LINESTRING (120.2482186 22.9724876, 120.2482634 22.9725814)",,
671833705,True,182,中山路,secondary,False,21.174,,"LINESTRING (120.2482186 22.9724876, 120.2484158 22.9724302)",,
38755027,False,,,residential,True,107.872,,"LINESTRING (120.2482186 22.9724876, 120.248217 22.9720636, 120.2482626 22.9715191)",,
38755029,True,,,motorway_link,False,58.593,1,"LINESTRING (120.2499419 22.9714833, 120.2498789 22.9718611, 120.2498634 22.9720051)",,
160478194,True,,,motorway_link,False,57.018,2,"LINESTRING (120.2499419 22.9714833, 120.2499451 22.9716778, 120.2499732 22.9717852, 120.2500155 22.9718321, 120.2500678 22.9718667, 120.2501494 22.9719116)",,
38755029,True,,,motorway_link,False,12.971,1,"LINESTRING (120.2498634 22.9720051, 120.2498596 22.9721217)",,
175854632,True,182,中山路,secondary,False,31.071,,"LINESTRING (120.2498634 22.9720051, 120.2501494 22.9719116)",,
304173203,True,182,中山路,secondary,False,39.666,,"LINESTRING (120.250222 22.9719955, 120.2498596 22.9721217)",,
469634936,True,,高速一街一段,unclassified,False,109.161,1,"LINESTRING (120.250222 22.9719955, 120.2501147 22.9720839, 120.2498474 22.9722408, 120.249747 22.9723589, 120.2496515 22.9727566)",,
304173203,True,182,中山路,secondary,False,22.816,,"LINESTRING (120.2498596 22.9721217, 120.2496503 22.9721922)",,
429041010,True,182,中山路,secondary,False,40.096,,"LINESTRING (120.2487619 22.9723375, 120.2490243 22.9720698)",,
239038213,True,,,motorway_link,False,104.32999999999998,1,"LINESTRING (120.2487619 22.9723375, 120.2487272 22.9721875, 120.2487051 22.9718339, 120.248707 22.9715866, 120.24872 22.9715113, 120.2487296 22.9714045)",,
175854639,True,182,中山路,secondary,False,15.237,2,"LINESTRING (120.2484036 22.9725354, 120.2482634 22.9725814)",,
