osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,bridge
324511947,False,南興街,tertiary,True,17.075,"LINESTRING (121.0574629 24.7018535, 121.0575038 24.7020025)",,,,
324511948,False,南興街,tertiary,False,57.633,"LINESTRING (121.0574629 24.7018535, 121.057347 24.701346)",,,,
142883375,False,中山路,residential,False,137.924,"LINESTRING (121.0574629 24.7018535, 121.0567548 24.7018517, 121.0565657 24.7018505, 121.0563839 24.70185, 121.0560976 24.7018492)",,,,
137929125,False,正德街,residential,False,124.476,"LINESTRING (121.0560976 24.7018492, 121.0561153 24.7013473, 121.0561043 24.7007301)",,,,
138303823,False,正德街,residential,False,68.273,"LINESTRING (121.0560976 24.7018492, 121.0560938 24.7023426, 121.0560889 24.7024631)",,,,
142883375,False,中山路,residential,True,137.92399999999998,"LINESTRING (121.0560976 24.7018492, 121.0563839 24.70185, 121.0565657 24.7018505, 121.0567548 24.7018517, 121.0574629 24.7018535)",,,,
324511950,False,中山路,residential,False,119.604,"LINESTRING (121.0560976 24.7018492, 121.055647 24.7018505, 121.0556226 24.7018522, 121.0554566 24.7018639, 121.0552406 24.7019382, 121.0551247 24.7020004, 121.0549724 24.702082)",,,,
138303437,False,公園街,tertiary,True,33.69,"LINESTRING (121.0579509 24.6986508, 121.0576178 24.6986654)",,,,
"[364449618, 363696890]",False,"['公園街', '中興街']",residential,"[False, True]",575.243,"LINESTRING (121.0579509 24.6986508, 121.0581485 24.6986422, 121.0585319 24.6986254, 121.0587229 24.698617, 121.0589251 24.6986082, 121.0591075 24.6985995, 121.0591915 24.6985965, 121.0592237 24.6991343, 121.0592664 24.6996556, 121.059339 24.7004526, 121.0593041 24.7007499, 121.0592029 24.7008289, 121.0586257 24.7009898, 121.0581858 24.7011123, 121.0578115 24.7012166, 121.0577628 24.7012302, 121.0573697 24.7013397, 121.057347 24.701346)",,,,
138303437,False,公園街,tertiary,False,33.69,"LINESTRING (121.0576178 24.6986654, 121.0579509 24.6986508)",,,,
