osmid,lanes,ref,highway,oneway,reversed,length,name,geometry,bridge
700681496,4,17,primary,False,True,28.489,,"LINESTRING (120.1688086 23.3772336, 120.1688426 23.3774879)",
364788594,,172,secondary,False,False,86.528,太平東路,"LINESTRING (120.1688086 23.3772336, 120.1686403 23.3773063, 120.168007 23.3774825)",
291716394,,,residential,True,False,109.876,自由路,"LINESTRING (120.1665985 23.3779664, 120.1669843 23.3788889)",
541461451,,172,secondary,False,False,5.612,太平東路,"LINESTRING (120.1665985 23.3779664, 120.1665454 23.3779795)",
364788594,,172,secondary,False,True,68.494,太平東路,"LINESTRING (120.1665985 23.3779664, 120.1669579 23.3778242, 120.1672174 23.3777284)",
700681496,4,17,primary,False,True,165.154,,"LINESTRING (120.1688998 23.3779258, 120.1690743 23.3794024)",
374926931,,,residential,False,False,106.464,上海二街,"LINESTRING (120.1688998 23.3779258, 120.1679994 23.3780618, 120.1678707 23.378082)",
700681496,4,17,primary,False,False,49.077,,"LINESTRING (120.1688998 23.3779258, 120.1688649 23.3775974, 120.1688426 23.3774879)",
538934119,4,17,primary,False,True,27.355,,"LINESTRING (120.1692526 23.3806645, 120.1693572 23.380891)",
538934119,4,17,primary,False,False,141.60899999999998,,"LINESTRING (120.1692526 23.3806645, 120.1692003 23.3804256, 120.1691413 23.3800157, 120.1690743 23.3794024)",
538934119,4,17,primary,False,False,9.433,,"LINESTRING (120.1693948 23.3809685, 120.1693572 23.380891)",
291716392,,,residential,True,False,294.609,自由路,"LINESTRING (120.1693948 23.3809685, 120.1687899 23.3809771, 120.1684537 23.380948, 120.1681895 23.3808626, 120.1680034 23.3807578, 120.1676599 23.3805265, 120.1675066 23.3802979, 120.1673444 23.379933, 120.1672667 23.3797582, 120.167232 23.3796801)",
538934119,4,17,primary,False,True,182.207,,"LINESTRING (120.1693948 23.3809685, 120.1697849 23.3817083, 120.1701731 23.3824432)",
538934118,4,17,primary,False,True,13.846,,"LINESTRING (120.1701731 23.3824432, 120.1702375 23.3825528)",
538934119,4,17,primary,False,False,182.207,,"LINESTRING (120.1701731 23.3824432, 120.1697849 23.3817083, 120.1693948 23.3809685)",
361900301,4,17,primary,False,True,25.129,,"LINESTRING (120.1702375 23.3825528, 120.1703423 23.3827573)",
538934118,4,17,primary,False,False,13.846,,"LINESTRING (120.1702375 23.3825528, 120.1701731 23.3824432)",
361900301,4,17,primary,False,False,25.129,,"LINESTRING (120.1703423 23.3827573, 120.1702375 23.3825528)",
291716355,,,unclassified,False,False,333.47900000000004,,"LINESTRING (120.1653024 23.3738109, 120.1652667 23.37401, 120.1652405 23.3741597, 120.1651633 23.3743346, 120.1649559 23.3745611, 120.1647508 23.3746853, 120.1642181 23.3747745, 120.1639454 23.3748095, 120.163586 23.3748968, 120.1631589 23.3750423, 120.1627382 23.3752228)",
364788594,,172,secondary,False,False,85.15700000000001,太平東路,"LINESTRING (120.168007 23.3774825, 120.1675118 23.3776228, 120.1672174 23.3777284)",
364788594,,172,secondary,False,True,86.528,太平東路,"LINESTRING (120.168007 23.3774825, 120.1686403 23.3773063, 120.1688086 23.3772336)",
"[979358649, 737615189]",,,residential,False,True,256.65,光復路一段,"LINESTRING (120.168007 23.3774825, 120.1679281 23.3773606, 120.1678522 23.3772353, 120.1677721 23.3771558, 120.1676021 23.3769832, 120.167439 23.3769046, 120.1671959 23.3768109, 120.166792 23.3767847, 120.1658124 23.3767891)",
364788597,,,tertiary,False,True,181.367,上海路,"LINESTRING (120.1690743 23.3794024, 120.16732 23.3796621)",
700681496,4,17,primary,False,False,165.154,,"LINESTRING (120.1690743 23.3794024, 120.1688998 23.3779258)",
538934119,4,17,primary,False,True,141.609,,"LINESTRING (120.1690743 23.3794024, 120.1691413 23.3800157, 120.1692003 23.3804256, 120.1692526 23.3806645)",
364788599,,,tertiary,False,False,9.202,上海路,"LINESTRING (120.167232 23.3796801, 120.16732 23.3796621)",
364788600,,,residential,True,False,15.762,自由路,"LINESTRING (120.167232 23.3796801, 120.1672038 23.3796103, 120.1671783 23.3795472)",
737408317,,,tertiary,False,True,314.326,上海路,"LINESTRING (120.167232 23.3796801, 120.1671788 23.3796886, 120.1666535 23.3797728, 120.1663713 23.379782, 120.1661947 23.3797606, 120.164188 23.3794678)",
979358659,,,residential,False,False,34.108,忠孝街,"LINESTRING (120.1627382 23.3752228, 120.1627328 23.3755295)",yes
291716355,,,unclassified,False,True,333.479,,"LINESTRING (120.1627382 23.3752228, 120.1631589 23.3750423, 120.163586 23.3748968, 120.1639454 23.3748095, 120.1642181 23.3747745, 120.1647508 23.3746853, 120.1649559 23.3745611, 120.1651633 23.3743346, 120.1652405 23.3741597, 120.1652667 23.37401, 120.1653024 23.3738109)",
979358658,,,residential,False,False,10.108,忠孝街,"LINESTRING (120.1627328 23.3755295, 120.1627317 23.3756204)",
979358659,,,residential,False,True,34.108,忠孝街,"LINESTRING (120.1627328 23.3755295, 120.1627382 23.3752228)",yes
