osmid,oneway,name,highway,reversed,length,lanes,ref,geometry,maxspeed,bridge
192259987,True,新建路,residential,False,21.211,,,"LINESTRING (120.3920321 23.6797899, 120.391894 23.6796471)",,
369864007,False,,secondary,False,108.443,2,158甲,"LINESTRING (120.3920321 23.6797899, 120.3927655 23.6790828)",,
369864007,False,,secondary,True,15.632,2,158甲,"LINESTRING (120.3920321 23.6797899, 120.3919337 23.6798978)",,
1124616483,True,林森路,secondary,False,11.459,,145,"LINESTRING (120.3954022 23.6791286, 120.395375 23.6792286)",,
99540271,True,,secondary,False,118.58,2,145;158甲,"LINESTRING (120.3954022 23.6791286, 120.3954858 23.6791427, 120.3964566 23.6793069, 120.3965473 23.6793222)",,
318173025,False,三義路,residential,True,28.168,,,"LINESTRING (120.3919337 23.6798978, 120.391894 23.6796471)",,
369864007,False,,secondary,False,15.632,2,158甲,"LINESTRING (120.3919337 23.6798978, 120.3920321 23.6797899)",,
369864007,False,,secondary,True,62.741,2,158甲,"LINESTRING (120.3919337 23.6798978, 120.3918927 23.6800644, 120.391802 23.680248, 120.3916951 23.6804131)",,
99540306,False,中山路,tertiary,False,52.13,,雲95,"LINESTRING (120.3927655 23.6790828, 120.3925894 23.6786426)",,
369864007,False,,secondary,False,42.419,2,158甲,"LINESTRING (120.3927655 23.6790828, 120.393119 23.678881)",,
369864007,False,,secondary,True,108.443,2,158甲,"LINESTRING (120.3927655 23.6790828, 120.3920321 23.6797899)",,
289693019,False,,tertiary,True,162.316,2,雲95,"LINESTRING (120.3927655 23.6790828, 120.3928908 23.6793175, 120.3930599 23.6796342, 120.3934656 23.6803942)",,
192259993,False,光明路,residential,True,60.094,,,"LINESTRING (120.393119 23.678881, 120.3925894 23.6786426)",,
369864007,False,,secondary,True,42.419,2,158甲,"LINESTRING (120.393119 23.678881, 120.3927655 23.6790828)",,
192259993,False,光明路,residential,False,94.73899999999999,,,"LINESTRING (120.393119 23.678881, 120.393074 23.6786531, 120.3928429 23.6780699)",,
369864007,False,,secondary,False,186.855,2,158甲,"LINESTRING (120.393119 23.678881, 120.3932406 23.6788507, 120.3934207 23.6788899, 120.3944035 23.6791038, 120.3949145 23.6791511)",,
99540282,False,,residential,False,67.251,,,"LINESTRING (120.3901017 23.6756855, 120.3905445 23.6752368)",,
99540300,False,中正路,residential,True,5.763,,,"LINESTRING (120.3901017 23.6756855, 120.3901309 23.6757299)",,
99540300,False,中正路,residential,False,258.277,,,"LINESTRING (120.3901017 23.6756855, 120.389348 23.6749184, 120.388809 23.6744394, 120.3887323 23.6743713, 120.3883393 23.6740169)",,
99540306,False,中山路,tertiary,True,19.773,,雲95,"LINESTRING (120.3923912 23.6782023, 120.3924433 23.6783736)",,
373415323,False,,tertiary,True,48.297,,雲95,"LINESTRING (120.3923912 23.6782023, 120.3928429 23.6780699)",,
373415282,False,中山路,residential,False,272.888,,,"LINESTRING (120.3923912 23.6782023, 120.3920653 23.6772817, 120.391773 23.6767018, 120.3917416 23.6766472, 120.3913417 23.6759518)",,
99540334,False,長榮街,residential,False,10.285,,,"LINESTRING (120.3955584 23.6778525, 120.3954579 23.6778617)",,
373415303,True,林森路,secondary,False,142.803,2,145,"LINESTRING (120.3955584 23.6778525, 120.3954957 23.6784574, 120.3954098 23.6790795, 120.3954022 23.6791286)",,
99540282,False,,residential,True,67.251,,,"LINESTRING (120.3905445 23.6752368, 120.3901017 23.6756855)",,
373415282,False,中山路,residential,True,113.652,,,"LINESTRING (120.3905445 23.6752368, 120.3911694 23.6758083, 120.3913379 23.6759483, 120.3913417 23.6759518)",,
192259983,False,成功路,tertiary,True,10.186,,雲95,"LINESTRING (120.3955916 23.6733424, 120.3954938 23.6733616)",,
