osmid,oneway,name,highway,reversed,length,maxspeed,geometry,lanes,junction
360785426,True,Rua Minas Gerais,residential,False,103.605,,"LINESTRING (-50.2482811 -20.2863834, -50.2491479 -20.2859283)",,
360617887,True,Rua Espírito Santo,residential,False,14.309,,"LINESTRING (-50.2452927 -20.2815666, -50.2454125 -20.2815039)",,
355810016,True,Rua São Paulo,secondary,False,100.507,,"LINESTRING (-50.2463724 -20.283126, -50.2472126 -20.2826834)",,
513420699,True,Avenida Expedicionários Brasileiros,secondary,False,101.13,50,"LINESTRING (-50.2463724 -20.283126, -50.2467948 -20.2839146, -50.2468027 -20.2839405)",,
175340773,True,Avenida Expedicionários Brasileiros,secondary,False,95.885,50,"LINESTRING (-50.2466898 -20.2839445, -50.2462511 -20.2831867)",,
418375552,True,,secondary,False,12.065999999999999,,"LINESTRING (-50.2466898 -20.2839445, -50.2467307 -20.2839339, -50.2467705 -20.2839331, -50.2467978 -20.2839378, -50.2468027 -20.2839405)",1,roundabout
175340964,True,Avenida Manoel Marques Rosa,residential,False,105.322,,"LINESTRING (-50.2477045 -20.2835106, -50.2472126 -20.2826834)",,
175340758,True,Rua Brasil,secondary,False,103.73100000000001,,"LINESTRING (-50.2477045 -20.2835106, -50.2468697 -20.2839354, -50.2468304 -20.2839556)",,
355810011,True,Avenida dos Arnaldos,secondary,False,103.767,,"LINESTRING (-50.2511805 -20.2816639, -50.2516676 -20.2824776)",,
876139196,True,Rua Brasil,secondary,False,6.719,,"LINESTRING (-50.2511805 -20.2816639, -50.2511271 -20.2816977)",,
355810026,True,Avenida Eurípedes José Ferreira,tertiary,False,101.558,,"LINESTRING (-50.2543183 -20.283181, -50.2538532 -20.2823786)",,
175341042,True,Rua São Paulo,secondary,False,99.958,,"LINESTRING (-50.2497994 -20.2813094, -50.2506413 -20.2808799)",,
"[723848029, 723848030, 539487279]",True,Avenida Paulo Saravalli,residential,False,106.651,,"LINESTRING (-50.2497994 -20.2813094, -50.2498246 -20.2813528, -50.2498998 -20.2814797, -50.2502529 -20.2820759, -50.2502943 -20.2821487)",,
