osmid,name,highway,oneway,reversed,length,junction,geometry,ref,maxspeed,lanes,bridge
356766806,Rua Carlos Lomba,tertiary,False,False,11.263,,"LINESTRING (-41.2035695 -20.6035029, -41.2036765 -20.6034878)",,,,
356766807,,primary,True,False,11.425,roundabout,"LINESTRING (-41.2035695 -20.6035029, -41.2035727 -20.6035317, -41.2035729 -20.6035463, -41.2035713 -20.6035623, -41.2035637 -20.6035843, -41.2035497 -20.6035994)",,,,
356766807,,primary,True,False,11.161,roundabout,"LINESTRING (-41.2035497 -20.6035994, -41.2035328 -20.6036142, -41.2035118 -20.6036233, -41.2034888 -20.6036258, -41.2034517 -20.6036191)",,,,
392874780,Avenida Nossa Senhora da Penha,primary,True,False,65.832,,"LINESTRING (-41.2035497 -20.6035994, -41.2035907 -20.6039811, -41.2036127 -20.6041885)",ES-166,60,,
356766803,Rua Aristeu Borges de Aguiar,primary,True,False,133.973,,"LINESTRING (-41.2034927 -20.6023002, -41.2034961 -20.6023525, -41.2035292 -20.6028673, -41.2035695 -20.6035029)",,,,
231238044,Rua Doutor Adalton Santos,secondary,False,False,67.215,,"LINESTRING (-41.2006603 -20.6000268, -41.20073 -20.5999615, -41.20084 -20.59991, -41.201009 -20.5998523, -41.201245 -20.5997933)",ES-475,,2,
231238044,Rua Doutor Adalton Santos,secondary,False,True,389.5,,"LINESTRING (-41.2006603 -20.6000268, -41.2006415 -20.6001511, -41.2006362 -20.6002164, -41.2006308 -20.6002992, -41.200604 -20.6004436, -41.2005651 -20.600603, -41.2004189 -20.6010964, -41.2003505 -20.6013525, -41.2003545 -20.6014918, -41.2003478 -20.6017755, -41.2003478 -20.6018923, -41.2003331 -20.6019776, -41.2002888 -20.6020906, -41.2000836 -20.6025199, -41.1999556 -20.6028488, -41.1999161 -20.6029454, -41.1998718 -20.603058, -41.1997417 -20.6033886)",ES-475,,2,
370926917,Rua Daniel Zanuncio,residential,False,False,231.852,,"LINESTRING (-41.2006603 -20.6000268, -41.2005893 -20.5998862, -41.200537 -20.5997255, -41.2004498 -20.5994782, -41.2004551 -20.5993602, -41.2004699 -20.5992623, -41.2005048 -20.599172, -41.200545 -20.5990753, -41.2005665 -20.5989986, -41.2005638 -20.5988945, -41.2005316 -20.5987966, -41.2004994 -20.598715, -41.2004712 -20.5986082, -41.2004122 -20.5984438, -41.2003304 -20.5983158, -41.2002687 -20.5982279, -41.2001614 -20.5980861)",,,,
231238044,Rua Doutor Adalton Santos,secondary,False,False,4.77,,"LINESTRING (-41.1994598 -20.604221, -41.1994755 -20.6041807)",ES-475,,2,
544660856,Travessa Pedro de Souza,residential,False,False,80.586,,"LINESTRING (-41.1994598 -20.604221, -41.2002096 -20.6044017)",,,2,
231238044,Rua Doutor Adalton Santos,secondary,False,True,45.617000000000004,,"LINESTRING (-41.1994598 -20.604221, -41.199338 -20.6045598, -41.1993206 -20.60461)",ES-475,,2,
544661139,Rua Jerônimo Nunes,residential,False,False,67.63,,"LINESTRING (-41.1993206 -20.60461, -41.199954 -20.6047457)",,,2,
231238044,Rua Doutor Adalton Santos,secondary,False,False,45.617000000000004,,"LINESTRING (-41.1993206 -20.60461, -41.199338 -20.6045598, -41.1994598 -20.604221)",ES-475,,2,
231238044,Rua Doutor Adalton Santos,secondary,False,True,114.733,,"LINESTRING (-41.1993206 -20.60461, -41.1991958 -20.6049835, -41.1991462 -20.6051178, -41.1990852 -20.6052339, -41.1989799 -20.6054047, -41.1988813 -20.6055496)",ES-475,,2,
231238044,Rua Doutor Adalton Santos,secondary,False,True,94.875,,"LINESTRING (-41.2021462 -20.5996653, -41.201245 -20.5997933)",ES-475,,2,
