osmid,oneway,ref,highway,reversed,length,name,geometry
344532579,True,BR-230,primary,False,19.232,,"LINESTRING (-44.0869223 -6.599179, -44.0870574 -6.5992881)"
782116753,False,Rua Marechal Deodoro,residential,False,120.8,,"LINESTRING (-44.0869223 -6.599179, -44.087696 -6.5984112)"
782116754,False,MA-369,secondary,True,13.131,,"LINESTRING (-44.0869223 -6.599179, -44.0868249 -6.5992467)"
344532590,False,,residential,False,15.411,Rua Belsina Barros,"LINESTRING (-44.0906524 -6.6029361, -44.0905512 -6.6030315)"
344532590,False,,residential,True,25.729,Rua Belsina Barros,"LINESTRING (-44.0906524 -6.6029361, -44.0908115 -6.6027671)"
832178926,False,BR-230,primary,False,29.898,Avenida Domingos Sertão,"LINESTRING (-44.0906524 -6.6029361, -44.0908493 -6.6031206)"
832178926,False,BR-230,primary,True,91.636,Avenida Domingos Sertão,"LINESTRING (-44.0906524 -6.6029361, -44.0905389 -6.6028149, -44.090074 -6.6023454)"
344532588,False,,residential,False,115.977,Rua Manoel Mota,"LINESTRING (-44.08981 -6.6037733, -44.0891134 -6.6029929)"
344532588,False,,residential,True,110.648,Rua Manoel Mota,"LINESTRING (-44.08981 -6.6037733, -44.0904815 -6.6045117)"
344532590,False,,residential,False,120.531,Rua Belsina Barros,"LINESTRING (-44.08981 -6.6037733, -44.0890281 -6.6045294)"
344532590,False,,residential,True,116.218,Rua Belsina Barros,"LINESTRING (-44.08981 -6.6037733, -44.0905512 -6.6030315)"
344532590,False,,residential,True,84.517,Rua Belsina Barros,"LINESTRING (-44.0876643 -6.6058511, -44.0882047 -6.605313)"
373358433,False,,residential,True,123.118,Rua Ivanilde Vieira Sales,"LINESTRING (-44.0876643 -6.6058511, -44.0869475 -6.6050032)"
824049206,False,,residential,False,20.203,,"LINESTRING (-44.091532 -6.6040709, -44.0916688 -6.6039503)"
984468041,False,,residential,False,48.868,Avenida Domingos Sertão,"LINESTRING (-44.091532 -6.6040709, -44.0912192 -6.6037601)"
984468041,False,,residential,True,71.345,Avenida Domingos Sertão,"LINESTRING (-44.091532 -6.6040709, -44.0919682 -6.6045441)"
344532590,False,,residential,False,116.218,Rua Belsina Barros,"LINESTRING (-44.0905512 -6.6030315, -44.08981 -6.6037733)"
344532590,False,,residential,True,15.411,Rua Belsina Barros,"LINESTRING (-44.0905512 -6.6030315, -44.0906524 -6.6029361)"
984468041,False,,residential,False,88.235,Avenida Domingos Sertão,"LINESTRING (-44.0905512 -6.6030315, -44.08999 -6.6024668)"
984468041,False,,residential,True,109.59899999999999,Avenida Domingos Sertão,"LINESTRING (-44.0905512 -6.6030315, -44.0908858 -6.6033832, -44.0912192 -6.6037601)"
824049205,False,,residential,False,16.38,,"LINESTRING (-44.08999 -6.6024668, -44.090074 -6.6023454)"
984468041,False,,residential,False,32.825,Avenida Domingos Sertão,"LINESTRING (-44.08999 -6.6024668, -44.0897853 -6.6022528)"
984468041,False,,residential,True,88.235,Avenida Domingos Sertão,"LINESTRING (-44.08999 -6.6024668, -44.0905512 -6.6030315)"
824049205,False,,residential,True,16.38,,"LINESTRING (-44.090074 -6.6023454, -44.08999 -6.6024668)"
832178926,False,BR-230,primary,True,30.141,Avenida Domingos Sertão,"LINESTRING (-44.090074 -6.6023454, -44.0898823 -6.6021525)"
832178926,False,BR-230,primary,False,91.636,Avenida Domingos Sertão,"LINESTRING (-44.090074 -6.6023454, -44.0905389 -6.6028149, -44.0906524 -6.6029361)"
