osmid,oneway,name,highway,maxspeed,reversed,length,bridge,geometry
1069638041,False,Rua 98,residential,60,False,113.758,,"LINESTRING (-49.5744559 -18.6786972, -49.5735039 -18.6791802)"
"[864903069, 329940437, 864903070]",False,Avenida da Saudade,residential,60,True,15.027999999999999,yes,"LINESTRING (-49.5744559 -18.6786972, -49.5744538 -18.6786452, -49.5744525 -18.678582, -49.5744523 -18.6785621)"
329947303,True,Rua 102,tertiary,60,False,6.515,,"LINESTRING (-49.5674658 -18.6845058, -49.5675226 -18.6844826)"
329948059,True,Avenida 113,tertiary,60,False,44.956,,"LINESTRING (-49.5674658 -18.6845058, -49.5672606 -18.6841513)"
892410667,False,Rua 96,tertiary,60,True,6.573,,"LINESTRING (-49.5660379 -18.6818101, -49.5659816 -18.6818356)"
411516085,True,Avenida 113,tertiary,60,False,54.988,,"LINESTRING (-49.5660379 -18.6818101, -49.5660894 -18.6818991, -49.5662852 -18.6822456)"
329948059,True,Avenida 113,tertiary,60,False,44.228,,"LINESTRING (-49.5679475 -18.685404, -49.5677573 -18.6850494)"
329951680,False,Rua 104,tertiary,60,False,110.725,,"LINESTRING (-49.5679475 -18.685404, -49.5670182 -18.6858694)"
364638332,True,Avenida 101,tertiary,60,False,57.322,,"LINESTRING (-49.5714967 -18.6801921, -49.5712455 -18.6797348)"
1069638041,False,Rua 98,residential,60,True,8.36,,"LINESTRING (-49.5714967 -18.6801921, -49.5715677 -18.6801585)"
287985266,False,Rua 96,residential,60,False,8.431,,"LINESTRING (-49.5710096 -18.6793053, -49.5710797 -18.6792687)"
287985266,False,Rua 96,residential,60,True,112.077,,"LINESTRING (-49.5710096 -18.6793053, -49.5700637 -18.6797668)"
364638332,True,Avenida 101,tertiary,60,False,64.388,,"LINESTRING (-49.5710096 -18.6793053, -49.5707275 -18.6787916)"
329940436,True,Rua 98,residential,60,False,8.141,,"LINESTRING (-49.5664669 -18.6827221, -49.566536 -18.6826893)"
329948059,True,Avenida 113,tertiary,60,False,20.407,,"LINESTRING (-49.5664669 -18.6827221, -49.5663739 -18.6825611)"
