osmid,oneway,name,highway,reversed,length,ref,maxspeed,junction,geometry,lanes
250106683,True,Avenida Mato Grosso,residential,False,179.565,,,,"LINESTRING (-57.8867092 -13.6590787, -57.8862855 -13.6606402)",
317062800,False,Rua Goiânia,residential,True,77.285,,,,"LINESTRING (-57.8867092 -13.6590787, -57.8874011 -13.6592549)",
371674486,False,Rua Goiânia,residential,True,12.387,,,,"LINESTRING (-57.8867092 -13.6590787, -57.886598 -13.6590516)",
317062789,True,,primary_link,False,9.553,,,,"LINESTRING (-57.8919584 -13.6631656, -57.8920459 -13.6631779)",
824279479,True,,primary,False,271.86,BR-364;MT-358,60,,"LINESTRING (-57.8926766 -13.6593341, -57.8933888 -13.6569892)",
317062790,True,,primary,False,34.502,MT-235,,roundabout,"LINESTRING (-57.8926766 -13.6593341, -57.8926991 -13.6592761, -57.8927396 -13.659228, -57.8927937 -13.6591952, -57.8928559 -13.6591809, -57.8929195 -13.6591868)",
371674485,False,Rua Rio Branco,residential,False,59.705999999999996,,,,"LINESTRING (-57.8926766 -13.6593341, -57.8925765 -13.6593078, -57.8925243 -13.6592942, -57.8921431 -13.6591942)",
317062795,True,,primary,False,153.775,BR-364,60,,"LINESTRING (-57.8930559 -13.6594314, -57.8926953 -13.6607692)",2
317062790,True,,primary,False,63.788000000000004,MT-235,,roundabout,"LINESTRING (-57.8930559 -13.6594314, -57.8930252 -13.6594877, -57.8929771 -13.6595311, -57.892917 -13.6595566, -57.8928516 -13.6595616, -57.8927882 -13.6595453, -57.8927338 -13.6595097, -57.8926946 -13.6594586, -57.8926748 -13.6593978, -57.8926766 -13.6593341)",
317062794,True,,primary,False,21.16,,,,"LINESTRING (-57.8929195 -13.6591868, -57.8931102 -13.6592301)",
317062790,True,,primary,False,34.5,MT-235,,roundabout,"LINESTRING (-57.8929195 -13.6591868, -57.8929778 -13.6592122, -57.8930246 -13.6592544, -57.893055 -13.6593089, -57.8930658 -13.6593701, -57.8930559 -13.6594314)",
317062795,True,,primary,False,23.14,BR-364,60,,"LINESTRING (-57.8931102 -13.6592301, -57.8930559 -13.6594314)",2
829953112,True,,primary,False,230.365,BR-364,60,,"LINESTRING (-57.8943446 -13.6547496, -57.8937757 -13.6567462)",2
835825032,True,,residential,False,44.516999999999996,,,,"LINESTRING (-57.8943446 -13.6547496, -57.8942847 -13.6547921, -57.8942438 -13.6548088, -57.8941888 -13.6548134, -57.8941353 -13.6548001, -57.8940894 -13.6547704, -57.894052 -13.6547316, -57.8940201 -13.6546676)",
317062801,True,,residential,False,44.111,,,,"LINESTRING (-57.8940586 -13.6545532, -57.8940883 -13.6545231, -57.8941229 -13.654499, -57.8941806 -13.6544892, -57.8942475 -13.6544977, -57.8943007 -13.6545251, -57.8943457 -13.6545878, -57.8943717 -13.654638)",
824279479,True,,primary,False,13.384,BR-364;MT-358,60,,"LINESTRING (-57.8940201 -13.6546676, -57.8940343 -13.6546252, -57.8940586 -13.6545532)",
835825032,True,,residential,False,11.41,,,,"LINESTRING (-57.8940201 -13.6546676, -57.894001 -13.6546363, -57.8939769 -13.6546089, -57.8939471 -13.6546004)",
98684111,True,,primary,False,12.75,BR-364,60,,"LINESTRING (-57.8943717 -13.654638, -57.8943446 -13.6547496)",2
829953112,True,,primary,False,285.404,BR-364,60,,"LINESTRING (-57.8937757 -13.6567462, -57.8931258 -13.6591718, -57.8931102 -13.6592301)",2
317062795,True,,primary,False,276.87399999999997,BR-364,60,,"LINESTRING (-57.8926953 -13.6607692, -57.892064 -13.6631107, -57.8920459 -13.6631779)",2
371674484,False,Rua Curitiba,residential,False,152.565,,,,"LINESTRING (-57.886181 -13.6551397, -57.8875457 -13.6554917)",
371674484,False,Rua Curitiba,residential,True,64.044,,,,"LINESTRING (-57.8933888 -13.6569892, -57.8928136 -13.6568502)",
824279479,True,,primary,False,267.01,BR-364;MT-358,60,,"LINESTRING (-57.8933888 -13.6569892, -57.8939662 -13.6548657, -57.8939842 -13.6547998, -57.8940201 -13.6546676)",
