osmid,oneway,highway,reversed,length,geometry,ref,name,lanes,bridge,maxspeed
431693334,True,secondary,False,57.464999999999996,"LINESTRING (-44.9805774 -19.8714834, -44.9803729 -19.8714769, -44.980265 -19.871492, -44.9801691 -19.8715097, -44.9800383 -19.8715513)",,,,,
212784095,True,secondary,False,13.725,"LINESTRING (-44.9807054 -19.8714847, -44.9806631 -19.8714954, -44.9806194 -19.8714949, -44.9805774 -19.8714834)",,,,,
648718563,True,secondary,False,33.522,"LINESTRING (-44.9800383 -19.8715513, -44.9797909 -19.871743)",,,,,
648718566,True,secondary,False,31.917,"LINESTRING (-44.9800383 -19.8715513, -44.9797365 -19.8715941)",,,,,
"[648718568, 431692441]",True,secondary,False,102.147,"LINESTRING (-44.9800383 -19.8715513, -44.9799662 -19.8716878, -44.9799575 -19.8717149, -44.9799535 -19.8717373, -44.9799522 -19.8717657, -44.9799585 -19.8717909, -44.9801275 -19.8720104, -44.9803609 -19.8723326)",AMG-0370,Rua Coronel Martinho Ferreira do Amaral,,,
220520462,False,tertiary,True,25.391,"LINESTRING (-44.9802962 -19.8724083, -44.9800591 -19.8724575)",,Rua Treze,,,
"[455554513, 473582959]",True,secondary,False,90.944,"LINESTRING (-44.9802962 -19.8724083, -44.9802227 -19.8723099, -44.98009 -19.872134, -44.9800484 -19.8720772, -44.9799351 -19.8719423, -44.9798365 -19.8718086, -44.9797909 -19.871743)",AMG-0370,Rua Coronel Martinho Ferreira do Amaral,,,
220520462,False,tertiary,False,25.391,"LINESTRING (-44.9800591 -19.8724575, -44.9802962 -19.8724083)",,Rua Treze,,,
220776709,False,residential,False,63.109,"LINESTRING (-44.9800591 -19.8724575, -44.9800672 -19.873025)",,Rua Antônia Braga,,,
506755732,False,tertiary,True,71.283,"LINESTRING (-44.9879899 -19.8760776, -44.9883931 -19.8765945)",,Rua Vereador Lelis Camilo,,,
220529155,False,tertiary,False,71.372,"LINESTRING (-44.9879899 -19.8760776, -44.9879617 -19.8758051, -44.9879696 -19.8754371)",,Rua Paraíba,,,
220522454,True,secondary,False,175.736,"LINESTRING (-44.9849708 -19.878289, -44.9839279 -19.8770497)",AMG-0370,Rua Coronel Martinho Ferreira do Amaral,,,
220522458,True,secondary,False,77.533,"LINESTRING (-44.9849708 -19.878289, -44.985559 -19.8778645)",,Rua Antônio Martins,,,
220523621,True,secondary,False,88.813,"LINESTRING (-44.9825052 -19.8717746, -44.9816674 -19.8716437)",,Avenida Raulino Pacheco,1,,
220776729,False,residential,True,91.796,"LINESTRING (-44.9825052 -19.8717746, -44.9824074 -19.872595)",,Rua São João,,,
220523623,True,secondary_link,False,27.423000000000002,"LINESTRING (-44.9825052 -19.8717746, -44.9825577 -19.8717266, -44.9825975 -19.8716992, -44.9826473 -19.8716726, -44.9827257 -19.8716487)",,,,,
"[220523624, 473582967]",True,secondary,False,158.21800000000002,"LINESTRING (-44.9827257 -19.8716487, -44.9833468 -19.8717915, -44.9837304 -19.8719303, -44.9839764 -19.8720535, -44.9841154 -19.8721667)",,Avenida Raulino Pacheco,1,,
