osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,maxspeed,junction
684189337,Rua 15 de Novembro,residential,False,True,48.024,,"LINESTRING (-35.2387763 -6.0732482, -35.2389371 -6.0736494)",,,
"[189307163, 679528398]","['Praça Monsenhor Paiva', 'Rua Jaime Sales']",primary,True,False,128.968,RN-002,"LINESTRING (-35.2387763 -6.0732482, -35.2381023 -6.0736067, -35.2380701 -6.0736414, -35.2380393 -6.0736801, -35.2380158 -6.0737221, -35.2379856 -6.0737874, -35.2379233 -6.0738481, -35.2378495 -6.0739108)",,,
188703368,Praça Dezesseis de Outubro José da Penha,residential,False,True,5.188,,"LINESTRING (-35.2368725 -6.0742695, -35.2368492 -6.074229)",,,
652938350,Praça Monsenhor Paiva,primary,True,False,36.583,RN-002,"LINESTRING (-35.2368725 -6.0742695, -35.2369818 -6.0742009, -35.2370435 -6.0741502, -35.2371401 -6.0740768)",,,
1052089504,Rua João Tibúrcio,primary,True,False,29.183,RN-002,"LINESTRING (-35.2345138 -6.0774661, -35.2343937 -6.0776998)",1,,
679528396,Rua João Tibúrcio,primary,False,True,137.756,RN-002,"LINESTRING (-35.2345138 -6.0774661, -35.2350251 -6.0766886, -35.2352102 -6.0764393)",2,,
684189322,Rua José Jorge,residential,False,True,14.307,,"LINESTRING (-35.2370274 -6.0770994, -35.2370153 -6.0769713)",,,
652938251,Rua José Jorge,residential,False,True,176.853,,"LINESTRING (-35.2370274 -6.0770994, -35.2370348 -6.0771854, -35.2370522 -6.0772514, -35.237128 -6.0774608, -35.2373104 -6.0779382, -35.237582 -6.0785869)",,,
652938252,Rua São João,residential,False,False,109.885,,"LINESTRING (-35.2370274 -6.0770994, -35.2369322 -6.0772101, -35.2368799 -6.0772954, -35.236845 -6.0773541, -35.2368195 -6.0774221, -35.2366358 -6.0779956)",,,
31549147,Rua Cônego Lustosa,primary,False,False,37.643,RN-002,"LINESTRING (-35.2364936 -6.0748496, -35.2362536 -6.0750897)",,,
684189325,Travessa Doutor Jerônimo,residential,False,True,96.587,,"LINESTRING (-35.2364936 -6.0748496, -35.2369308 -6.0756016)",,,
31549147,Rua Cônego Lustosa,primary,False,True,57.399,RN-002,"LINESTRING (-35.2364936 -6.0748496, -35.2366331 -6.0747576, -35.236782 -6.0746576, -35.2369275 -6.0745663)",,,
188703338,Rua Itapeitu,residential,False,True,62.531,,"LINESTRING (-35.2371541 -6.0790484, -35.2376765 -6.078833)",,,
188703337,Rua Riacho do Jacuípe,residential,False,False,113.062,,"LINESTRING (-35.2371541 -6.0790484, -35.2370663 -6.0789397, -35.2369416 -6.078785, -35.236841 -6.0786556, -35.2365741 -6.0783022, -35.2365352 -6.0782396)",,,
188703289,Rua São João,residential,False,True,29.323,,"LINESTRING (-35.2365352 -6.0782396, -35.2366358 -6.0779956)",,,
