osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,bridge
"[903640318, 570718414]",Rua do Porto,secondary,30,False,"[False, True]",101.82300000000001,2,"LINESTRING (-53.3947067 -27.1064675, -53.3948582 -27.1062017, -53.3948959 -27.1061727, -53.3949547 -27.1061681, -53.3949876 -27.106183, -53.3950455 -27.106215, -53.3952401 -27.1063944, -53.3953306 -27.1064494, -53.3954129 -27.1064823)",,
352904943,Travessa Oswaldo Otto Wolschick,tertiary,40,False,False,190.728,2,"LINESTRING (-53.3988889 -27.0979393, -53.3988788 -27.0980042, -53.3988726 -27.098044, -53.3987937 -27.0985496, -53.3987683 -27.098713, -53.3987525 -27.0988143, -53.3987017 -27.0991048, -53.3986089 -27.0996363)",,
405727890,Avenida Laju,secondary,40,False,False,85.645,2,"LINESTRING (-53.3988889 -27.0979393, -53.3987609 -27.0979338, -53.3980247 -27.0979022)",,
957749897,Avenida Laju,secondary,40,False,True,9.648,2,"LINESTRING (-53.3984217 -27.0996145, -53.3983259 -27.0995985)",,
297539639,Avenida Laju,tertiary,40,False,False,18.688000000000002,2,"LINESTRING (-53.3984217 -27.0996145, -53.3984949 -27.099623, -53.3986089 -27.0996363)",,
297539645,Rua das Antas,secondary,40,True,False,179.62300000000002,1,"LINESTRING (-53.3984217 -27.0996145, -53.39833 -27.099725, -53.3977594 -27.1003151, -53.397671 -27.1003924, -53.3975596 -27.1004742, -53.3971423 -27.1007464)",,
375025269,Rua Alegre,unclassified,,False,True,174.869,,"LINESTRING (-53.3986089 -27.0996363, -53.4003582 -27.0998557)",,
297539639,Avenida Laju,tertiary,40,False,True,18.688000000000002,2,"LINESTRING (-53.3986089 -27.0996363, -53.3984949 -27.099623, -53.3984217 -27.0996145)",,
352904943,Travessa Oswaldo Otto Wolschick,tertiary,40,False,True,190.72799999999998,2,"LINESTRING (-53.3986089 -27.0996363, -53.3987017 -27.0991048, -53.3987525 -27.0988143, -53.3987683 -27.098713, -53.3987937 -27.0985496, -53.3988726 -27.098044, -53.3988788 -27.0980042, -53.3988889 -27.0979393)",,
955644076,Avenida Laju,tertiary,40,True,False,91.446,1,"LINESTRING (-53.3986089 -27.0996363, -53.398623 -27.0997079, -53.3988668 -27.1004255)",,
