osmid,oneway,name,highway,reversed,length,geometry,bridge,maxspeed,lanes,ref
38391248,False,Rua Nossa Senhora da Penha,residential,False,117.53999999999999,"LINESTRING (-41.1293866 -20.3360648, -41.1293364 -20.3357252, -41.1293095 -20.3356234, -41.1292653 -20.3355316, -41.129158 -20.3353668, -41.1290695 -20.335231, -41.1289823 -20.3350977)",,,,
"[882510162, 1034869419, 1034869420]",True,Rua Lourenção,primary,False,44.672,"LINESTRING (-41.1293866 -20.3360648, -41.1292525 -20.3360824, -41.1291426 -20.3360931, -41.1291128 -20.3360942, -41.1290681 -20.3360905, -41.1290199 -20.3360799, -41.1289662 -20.3360585)",yes,,,
311051280,False,Avenida Domingos Perim,primary,False,116.12,"LINESTRING (-41.1302778 -20.3359057, -41.1303657 -20.3364408, -41.1304535 -20.3369369)",,40,,
882510162,True,Rua Lourenção,primary,False,94.6,"LINESTRING (-41.1302778 -20.3359057, -41.1299486 -20.3359698, -41.1296213 -20.3360277, -41.1293866 -20.3360648)",,,,
38391248,False,Rua Nossa Senhora da Penha,residential,True,117.53999999999999,"LINESTRING (-41.1289823 -20.3350977, -41.1290695 -20.335231, -41.129158 -20.3353668, -41.1292653 -20.3355316, -41.1293095 -20.3356234, -41.1293364 -20.3357252, -41.1293866 -20.3360648)",,,,
"[224224539, 224226804]",False,Rua Ana Minete,residential,False,50.338,"LINESTRING (-41.1289823 -20.3350977, -41.1288911 -20.3351292, -41.1288375 -20.3351317, -41.1287999 -20.3351241, -41.1287583 -20.335099, -41.1287355 -20.3350713, -41.128649 -20.3348953)",,,,
224224539,False,Rua Ana Minete,residential,True,119.11500000000001,"LINESTRING (-41.1289823 -20.3350977, -41.1296448 -20.3348701, -41.1300565 -20.3347331)",,,,
"[224224539, 224226804]",False,Rua Ana Minete,residential,True,50.337999999999994,"LINESTRING (-41.128649 -20.3348953, -41.1287355 -20.3350713, -41.1287583 -20.335099, -41.1287999 -20.3351241, -41.1288375 -20.3351317, -41.1288911 -20.3351292, -41.1289823 -20.3350977)",,,,
311051282,True,Avenida Antônio Roberto Feitosa,primary,False,120.138,"LINESTRING (-41.128649 -20.3348953, -41.1286987 -20.3348135, -41.1287409 -20.3347456, -41.1287972 -20.3346488, -41.129203 -20.333948)",,,,
232914416,False,Rua da Rodoviária,residential,True,70.226,"LINESTRING (-41.129203 -20.333948, -41.1298634 -20.3338239)",,,2,
311051282,True,Avenida Antônio Roberto Feitosa,primary,False,81.81899999999999,"LINESTRING (-41.129203 -20.333948, -41.129386 -20.33359, -41.1295462 -20.3332863)",,,,
836103414,True,,primary,False,7.004,"LINESTRING (-41.1299244 -20.3325871, -41.129905 -20.3326474)",,60,,
