osmid,ref,name,highway,oneway,reversed,length,lanes,bridge,geometry,junction
248536917,SC-108,Rua Irmãos Trevisol,secondary,False,False,5.311,,,"LINESTRING (-49.7566788 -28.9968851, -49.7567309 -28.9968994)",
248536922,,Rua Irmãos Trevisol,residential,False,False,118.981,,,"LINESTRING (-49.7566788 -28.9968851, -49.7555102 -28.9965685)",
248536925,SC-108,Rua Abedeno Francisco Gomes,secondary,False,True,123.026,,,"LINESTRING (-49.7566788 -28.9968851, -49.7555976 -28.9963108)",
248542493,,Rua Irmãos Trevisol,residential,False,False,55.854,,,"LINESTRING (-49.762627 -28.9984774, -49.7631746 -28.9986288)",
248542498,SC-108,Rua Governador Celso Ramos,secondary,False,False,63.757,2,,"LINESTRING (-49.762627 -28.9984774, -49.7630814 -28.9988907)",
483574482,SC-108,Rua Irmãos Trevisol,secondary,False,True,67.017,,,"LINESTRING (-49.762627 -28.9984774, -49.7619682 -28.9983007)",
483574482,SC-108,Rua Irmãos Trevisol,secondary,False,False,67.017,,,"LINESTRING (-49.7619682 -28.9983007, -49.762627 -28.9984774)",
1016208728,SC-449,Rua Doutor Nereu Ramos,secondary,False,True,108.599,,,"LINESTRING (-49.7619682 -28.9983007, -49.7616381 -28.9992337)",
"[483574480, 483574481, 240841260]",,"['Rua Doutor Nereu Ramos', 'Rua Sílvio Boff']",tertiary,False,False,166.659,,yes,"LINESTRING (-49.7619682 -28.9983007, -49.7621487 -28.9978, -49.7623289 -28.9973003, -49.7624836 -28.9968713)",
240841263,,Rua Moisés Gabriel,residential,False,True,88.291,,,"LINESTRING (-49.7607094 -28.9957528, -49.761575 -28.9959921)",
"[240841248, 248649627]",,"['Rua Natal Tramontin', 'Rua Doutor Joaquim Pedro Coelho']",residential,False,True,156.68099999999998,,,"LINESTRING (-49.7607094 -28.9957528, -49.7604956 -28.9963323, -49.7613694 -28.9965692)",
248536917,SC-108,Rua Irmãos Trevisol,secondary,False,True,162.019,,,"LINESTRING (-49.7597126 -28.9976957, -49.7581199 -28.9972685)",
760418747,SC-108,Rua Irmãos Trevisol,secondary,True,False,229.452,,,"LINESTRING (-49.7597126 -28.9976957, -49.7619682 -28.9983007)",
