osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction
305211491,2,Rua Pedro Simon,tertiary,False,False,166.155,"LINESTRING (-48.957997 -26.9272367, -48.9579079 -26.927202, -48.9577103 -26.9271205, -48.9574774 -26.9269688, -48.9572521 -26.9268242, -48.9569396 -26.9266018, -48.9566365 -26.9263758)",,,
935800758,,Rua Pedro Simon,tertiary,True,False,19.082,"LINESTRING (-48.957997 -26.9272367, -48.9581167 -26.9272294, -48.9581874 -26.9272151)",,,
330828344,2,Rua São Pedro,tertiary,False,False,177.981,"LINESTRING (-48.9549753 -26.9317157, -48.955115 -26.9313899, -48.9555593 -26.930325, -48.9556071 -26.9302175)",,,
383436531,2,Rua Emma Reinert,residential,True,False,22.020000000000003,"LINESTRING (-48.9549753 -26.9317157, -48.9549469 -26.9318189, -48.9549292 -26.9319093)",,,
386005953,2,Avenida das Comunidades,primary,True,False,294.459,"LINESTRING (-48.9549753 -26.9317157, -48.9551452 -26.9317426, -48.9552108 -26.9317684, -48.9555931 -26.9319184, -48.955801 -26.9319973, -48.9559901 -26.9320541, -48.956197 -26.9321051, -48.956384 -26.9321341, -48.9565893 -26.9321576, -48.9567662 -26.9321667, -48.9569471 -26.9321667, -48.9571382 -26.932154, -48.9573414 -26.9321322, -48.9575908 -26.9320882, -48.9576894 -26.9320664, -48.9578458 -26.9320318)",,,
"[401186059, 333713892]","['2', '3']",Rua Duque de Caxias,primary,False,False,147.767,"LINESTRING (-48.9549753 -26.9317157, -48.9548367 -26.9316642, -48.9546032 -26.9315774, -48.9544046 -26.9315036, -48.9539579 -26.9313333, -48.9536035 -26.931196)",50,,
333713890,2,Rua Duque de Caxias,primary,False,False,36.659,"LINESTRING (-48.9536035 -26.931196, -48.9532646 -26.9310641)",50,,
152344891,,Rua Augusto Beduschi,residential,False,False,52.36,"LINESTRING (-48.9536035 -26.931196, -48.9537578 -26.9308474, -48.9537974 -26.930758)",,,
"[401186059, 333713892]","['2', '3']",Rua Duque de Caxias,primary,False,True,147.767,"LINESTRING (-48.9536035 -26.931196, -48.9539579 -26.9313333, -48.9544046 -26.9315036, -48.9546032 -26.9315774, -48.9548367 -26.9316642, -48.9549753 -26.9317157)",50,,
"[935800755, 112322733, 112322734]",2,"['Rua Hercílio Fides Zimmermann', 'Ponte Hercílio Decke', 'Rua Hercílio Decke']",primary,False,True,185.427,"LINESTRING (-48.9577946 -26.9290803, -48.9578232 -26.9289815, -48.9578552 -26.9288707, -48.9582544 -26.9274917, -48.9582619 -26.9274656)",,yes,
"[1075149502, 396987663]","['2', '3']",Rua Coronel Aristiliano Ramos,primary,False,False,218.34599999999998,"LINESTRING (-48.9577946 -26.9290803, -48.9580487 -26.9291749, -48.9585162 -26.9294271, -48.9587468 -26.9295873, -48.9589104 -26.9297165, -48.9590714 -26.9298528, -48.9591304 -26.9299078, -48.9592162 -26.9299962, -48.9592913 -26.9300919, -48.9593637 -26.9301995, -48.9594362 -26.9303262)",,,
