osmid,oneway,name,highway,maxspeed,reversed,length,geometry,bridge,junction
241052769,False,Rua José Peres,secondary,40,True,68.884,"LINESTRING (-42.635669 -21.5326452, -42.6358795 -21.5329221, -42.6360686 -21.5331404)",,
241053788,False,Rua Mário Pires de Castro,residential,,True,81.892,"LINESTRING (-42.635669 -21.5326452, -42.6358837 -21.5321794, -42.6359707 -21.5320825, -42.6360607 -21.5320218)",,
"[259193745, 259193746, 241052766]",False,Avenida Getúlio Vargas,secondary,40,False,186.864,"LINESTRING (-42.6376693 -21.5338489, -42.637812 -21.5343443, -42.6379944 -21.5351302, -42.6380541 -21.5354358, -42.6380689 -21.535487)",yes,
789690796,True,Praça Francisco Pinheiro Lacerda,secondary,,False,7.309999999999999,"LINESTRING (-42.6376693 -21.5338489, -42.6376459 -21.5338464, -42.6376238 -21.5338388, -42.6376043 -21.5338265)",,roundabout
241053792,False,Rua Doutor Custódio Junqueira,tertiary,,False,173.251,"LINESTRING (-42.6376043 -21.5338265, -42.6367526 -21.5344291, -42.6362859 -21.5347871)",,
789690796,True,Praça Francisco Pinheiro Lacerda,secondary,,False,11.303999999999998,"LINESTRING (-42.6376043 -21.5338265, -42.6375865 -21.5338073, -42.6375751 -21.5337841, -42.6375711 -21.533759, -42.6375748 -21.5337338)",,roundabout
241052770,True,Praça Francisco Pinheiro Lacerda,secondary,,False,8.855,"LINESTRING (-42.6377454 -21.5337033, -42.6377593 -21.5337265, -42.6377653 -21.5337524, -42.637763 -21.5337789)",,roundabout
241053795,False,Rua Manoel Lobato,tertiary,,False,107.056,"LINESTRING (-42.637763 -21.5337789, -42.6387816 -21.5339497)",,
241052770,True,Praça Francisco Pinheiro Lacerda,secondary,,False,13.334999999999999,"LINESTRING (-42.637763 -21.5337789, -42.6377506 -21.5338066, -42.6377292 -21.5338289, -42.637701 -21.5338436, -42.6376693 -21.5338489)",,roundabout
241053789,False,Rua Acássio Serpa,residential,,False,51.778,"LINESTRING (-42.6385677 -21.5317153, -42.6382847 -21.5313312)",,
295649359,True,Rua Presidente Carlos Luz,tertiary,40,False,45.603,"LINESTRING (-42.6385677 -21.5317153, -42.6389535 -21.5315168)",,
295649356,True,Rua Gabriel Andrade Junqueira,unclassified,,False,57.704,"LINESTRING (-42.6373414 -21.5323318, -42.637236 -21.5318222)",,
295649359,True,Rua Presidente Carlos Luz,tertiary,40,False,144.182,"LINESTRING (-42.6373414 -21.5323318, -42.6385677 -21.5317153)",,
241052789,False,Rua Gabriel Andrade Junqueira,unclassified,,True,152.29500000000002,"LINESTRING (-42.6373414 -21.5323318, -42.6374798 -21.5328298, -42.6375356 -21.5330574, -42.6376602 -21.5336683)",,
241052769,False,Rua José Peres,secondary,40,False,68.884,"LINESTRING (-42.6360686 -21.5331404, -42.6358795 -21.5329221, -42.635669 -21.5326452)",,
241052769,False,Rua José Peres,secondary,40,True,173.35000000000002,"LINESTRING (-42.6360686 -21.5331404, -42.6363033 -21.53335, -42.6364487 -21.5334398, -42.6366529 -21.5335395, -42.6369217 -21.5336041, -42.6375748 -21.5337338)",,
241052771,True,Rua Presidente Carlos Luz,tertiary,40,False,159.524,"LINESTRING (-42.6360686 -21.5331404, -42.6368465 -21.5326165, -42.6373414 -21.5323318)",,
241192082,False,Travessa Pedro II,residential,,False,106.924,"LINESTRING (-42.6412119 -21.5305758, -42.6416072 -21.5314643)",,
295649359,True,Rua Presidente Carlos Luz,tertiary,40,False,220.232,"LINESTRING (-42.6412119 -21.5305758, -42.6420924 -21.5299434, -42.6425032 -21.5296524, -42.6428989 -21.5293675)",,
756789663,False,Rua 7 de Setembro,residential,,True,2.379,"LINESTRING (-42.6428989 -21.5293675, -42.6429206 -21.5293746)",,
241192083,False,Rua Professor Gustavo Monteiro de Castro,unclassified,,False,65.017,"LINESTRING (-42.6428989 -21.5293675, -42.6426657 -21.5293002, -42.6422974 -21.5291978)",,
256730382,True,Rua Tiradentes,tertiary,,False,222.703,"LINESTRING (-42.6428989 -21.5293675, -42.6435218 -21.5286749, -42.6437894 -21.5283649, -42.644282 -21.5278328)",,
241052781,True,Rua Barão de Cotegipe,tertiary,,False,76.61000000000001,"LINESTRING (-42.6422685 -21.5311575, -42.6420841 -21.5312642, -42.6419178 -21.5313372, -42.6417428 -21.5314157, -42.6416072 -21.5314643)",,
241053802,False,,residential,,False,99.487,"LINESTRING (-42.643845 -21.5304371, -42.6435115 -21.5312763)",,
241052781,True,Rua Barão de Cotegipe,tertiary,,False,181.69099999999997,"LINESTRING (-42.643845 -21.5304371, -42.6424747 -21.5310596, -42.6424101 -21.5310874, -42.6422685 -21.5311575)",,
241052782,True,Rua Doutor Custódio Junqueira,tertiary,,False,33.653,"LINESTRING (-42.6391969 -21.5326732, -42.6391644 -21.5327037, -42.6389584 -21.532879)",,
241052784,True,Praça João 13,residential,,False,34.384,"LINESTRING (-42.6391969 -21.5326732, -42.639156 -21.5326216, -42.6389933 -21.5324288)",,
"[241052781, 241052782]",True,"['Rua Doutor Custódio Junqueira', 'Rua Barão de Cotegipe']",tertiary,,False,10.527000000000001,"LINESTRING (-42.639272 -21.5326093, -42.6392389 -21.5326376, -42.6391969 -21.5326732)",,
241052787,True,Praça João 13,residential,,False,106.84199999999998,"LINESTRING (-42.639272 -21.5326093, -42.6392352 -21.5325696, -42.6391224 -21.5324141, -42.6390846 -21.5323655, -42.6387359 -21.5319317, -42.6386858 -21.5318898, -42.6386296 -21.5318683)",,
295649356,True,Rua Gabriel Andrade Junqueira,unclassified,,False,82.098,"LINESTRING (-42.6372039 -21.5317082, -42.6370566 -21.5309827)",,
614535356,False,Rua Mário Pires de Castro,residential,,False,66.962,"LINESTRING (-42.6372039 -21.5317082, -42.6365603 -21.5317732)",,
