osmid,oneway,highway,maxspeed,junction,reversed,length,geometry,lanes,name,ref
"[478280969, 478444322]",True,secondary,40,circular,False,9.542000000000002,"LINESTRING (-51.306582 -30.0020499, -51.306576 -30.0020064, -51.3065842 -30.001965)",,,
86977840,True,secondary,40,,False,54.433,"LINESTRING (-51.3065672 -30.0018376, -51.3064367 -30.0013613)",2,Avenida Getúlio Vargas,
629955315,True,secondary,40,,False,16.745,"LINESTRING (-51.3065672 -30.0018376, -51.3066789 -30.0018573, -51.3067367 -30.0018709)",2,,
29207842,True,secondary,40,circular,False,14.625,"LINESTRING (-51.3067897 -30.001879, -51.3068346 -30.0018993, -51.3068699 -30.0019307, -51.3068921 -30.0019701)",,,
292383373,True,motorway_link,60,,False,57.968,"LINESTRING (-51.3032732 -30.0013124, -51.3038751 -30.0013044)",2,,
292383373,True,motorway_link,60,,False,69.775,"LINESTRING (-51.3038751 -30.0013044, -51.3042821 -30.001303, -51.3045979 -30.0013321)",2,,
648887635,False,residential,,,True,113.092,"LINESTRING (-51.3038751 -30.0013044, -51.3038751 -30.0012011, -51.3038591 -30.0011267, -51.3038269 -30.0010164, -51.3038537 -30.0009003, -51.3039207 -30.00069, -51.3039422 -30.0005478, -51.3039368 -30.0003035)",,,
"[87648904, 202126810]",True,secondary,40,,False,175.143,"LINESTRING (-51.304833 -30.0013738, -51.3055909 -30.0015975, -51.3063368 -30.0018113, -51.3065672 -30.0018376)","['2', '3']",,BR-116
86977833,False,tertiary,30,,True,157.77,"LINESTRING (-51.3045267 -30.0002221, -51.3061401 -29.9999754)",1,Rua Batori José Rodrigues dos Santos,
202126799,False,residential,30,,True,111.365,"LINESTRING (-51.3045267 -30.0002221, -51.304779 -30.0011995)",1,Rua Eva dos Santos Quinhones,
86977833,False,tertiary,30,,False,57.522,"LINESTRING (-51.3045267 -30.0002221, -51.3044494 -30.0002328, -51.3042943 -30.0002542, -51.3039368 -30.0003035)",1,Rua Batori José Rodrigues dos Santos,
202126802,False,secondary,40,,True,76.964,"LINESTRING (-51.3057833 -29.9979721, -51.3058913 -29.9986579)",1,Avenida Getúlio Vargas,
310862738,False,tertiary,30,,True,216.437,"LINESTRING (-51.3057833 -29.9979721, -51.3035695 -29.9983081)",1,Rua Érico Veríssimo,
202126802,False,secondary,40,,False,78.153,"LINESTRING (-51.3057833 -29.9979721, -51.3057281 -29.9976898, -51.3057062 -29.9972737)",1,Avenida Getúlio Vargas,
86977833,False,tertiary,30,,False,157.77,"LINESTRING (-51.3061401 -29.9999754, -51.3045267 -30.0002221)",1,Rua Batori José Rodrigues dos Santos,
202126802,False,secondary,40,,False,72.296,"LINESTRING (-51.3061401 -29.9999754, -51.3060003 -29.9993366)",1,Avenida Getúlio Vargas,
