osmid,oneway,ref,name,highway,reversed,length,geometry,access
776380000,True,BA-290,Avenida Presidente Getúlio Vargas,primary,False,30.303,"LINESTRING (-39.7491708 -17.5379916, -39.7490415 -17.5381131, -39.7489992 -17.5381457, -39.7489624 -17.5381778)",
1190289400,False,BA-290,Avenida Presidente Getúlio Vargas,primary,False,39.641,"LINESTRING (-39.7491708 -17.5379916, -39.7493123 -17.5379046, -39.7494787 -17.5377896)",
778191033,False,,Rua Massanori Nagao,residential,False,12.53,"LINESTRING (-39.7452777 -17.5399746, -39.7452253 -17.5398736)",
778191033,False,,Rua Massanori Nagao,residential,True,11.494,"LINESTRING (-39.7452777 -17.5399746, -39.7453299 -17.5400652)",
776380003,False,BA-290,Avenida Presidente Getúlio Vargas,primary,False,106.576,"LINESTRING (-39.7452777 -17.5399746, -39.7453859 -17.5399267, -39.7457762 -17.5397481, -39.7460359 -17.5396177, -39.7461741 -17.5395418)",
776380003,False,BA-290,Avenida Presidente Getúlio Vargas,primary,True,28.567,"LINESTRING (-39.7452777 -17.5399746, -39.7452002 -17.5400031, -39.745025 -17.5400637)",
778202375,True,,Avenida São Paulo,secondary,False,13.363,"LINESTRING (-39.7420468 -17.5400797, -39.7421212 -17.5399827)",
463545141,True,,Avenida Presidente Getúlio Vargas,tertiary,False,118.13199999999999,"LINESTRING (-39.7420468 -17.5400797, -39.7419406 -17.5400544, -39.7409633 -17.5398321)",
226566444,True,,Rua Eleuzibio Cunha,residential,False,108.975,"LINESTRING (-39.7418039 -17.5406994, -39.7408058 -17.5404654)",
226558415,True,,Avenida São Paulo,secondary,False,73.632,"LINESTRING (-39.7418039 -17.5406994, -39.7418798 -17.5405415, -39.7419413 -17.5403762, -39.7420012 -17.540208, -39.7420468 -17.5400797)",
226558415,True,,Avenida São Paulo,secondary,False,13.016,"LINESTRING (-39.7413725 -17.5413146, -39.7414484 -17.5412226)",
621343574,True,,Rua Sagrada Família,tertiary,False,80.377,"LINESTRING (-39.7413725 -17.5413146, -39.7406443 -17.5411136)",
778202374,True,,Rua Zilda Arns Neumann,tertiary,False,15.738,"LINESTRING (-39.7421212 -17.5399827, -39.7422291 -17.5398855)",
"[1210868457, 776380003]",False,BA-290,Avenida Presidente Getúlio Vargas,primary,False,14.439,"LINESTRING (-39.7421212 -17.5399827, -39.7421872 -17.5399979, -39.7422536 -17.5400131)",
1210868457,False,BA-290,Avenida Presidente Getúlio Vargas,primary,True,123.484,"LINESTRING (-39.7421212 -17.5399827, -39.7419712 -17.5399507, -39.7418882 -17.539931, -39.7409902 -17.5397178)",
778202376,True,,Avenida São Paulo,secondary,False,12.31,"LINESTRING (-39.7422536 -17.5400131, -39.7422056 -17.5401139)",
776380003,False,BA-290,Avenida Presidente Getúlio Vargas,primary,False,166.18699999999998,"LINESTRING (-39.7422536 -17.5400131, -39.7423305 -17.5400278, -39.7423742 -17.5400362, -39.7427531 -17.5401009, -39.7435777 -17.5402089, -39.7438045 -17.5402209)",
"[1210868457, 776380003]",False,BA-290,Avenida Presidente Getúlio Vargas,primary,True,14.439,"LINESTRING (-39.7422536 -17.5400131, -39.7421872 -17.5399979, -39.7421212 -17.5399827)",
226558646,True,,Avenida Padre Anchieta,tertiary,False,29.414,"LINESTRING (-39.7417358 -17.5411654, -39.7417394 -17.5414299)",
128652198,True,,Avenida São Paulo,secondary,False,34.624,"LINESTRING (-39.7417358 -17.5411654, -39.7417089 -17.541278, -39.7416774 -17.5413253, -39.741664 -17.5413387, -39.7416278 -17.5413589, -39.7416017 -17.5413727, -39.7415734 -17.5413796, -39.7415485 -17.5413876)",
776379998,True,,Rua Zilda Arns Neumann,tertiary,False,13.374,"LINESTRING (-39.7423076 -17.5399044, -39.7422536 -17.5400131)",
241524815,True,,Avenida Presidente Getúlio Vargas,tertiary,False,161.71699999999998,"LINESTRING (-39.7423076 -17.5399044, -39.7424012 -17.5399193, -39.742859 -17.5400016, -39.7431868 -17.5400487, -39.7438139 -17.540131)",
226558439,True,,Rua José do Patrocínio,residential,False,75.26,"LINESTRING (-39.744845 -17.5408766, -39.745544 -17.5407588)",
250585898,False,,Rua Laranjeiras,residential,True,60.319,"LINESTRING (-39.744845 -17.5408766, -39.7449691 -17.541406)",
226558418,False,,Rua Maria Francisca Cabral de Jesus,residential,False,180.202,"LINESTRING (-39.7452146 -17.5425742, -39.7435285 -17.5423701)",
226558418,False,,Rua Maria Francisca Cabral de Jesus,residential,True,56.795,"LINESTRING (-39.7452146 -17.5425742, -39.7457465 -17.5426348)",
250585898,False,,Rua Laranjeiras,residential,False,82.959,"LINESTRING (-39.7452146 -17.5425742, -39.7450561 -17.5418436)",
226567973,False,,Rua André da Cruz,residential,True,36.251,"LINESTRING (-39.7498768 -17.5410801, -39.7497974 -17.540763)",
247420054,False,,Rua Virgilio da Conceição,residential,False,26.802,"LINESTRING (-39.7498768 -17.5410801, -39.7496489 -17.5411844)",
226558436,False,,Rua Paraíba,residential,False,67.408,"LINESTRING (-39.7437115 -17.541061, -39.7436275 -17.5416619)",
226558436,False,,Rua Paraíba,residential,True,74.791,"LINESTRING (-39.7437115 -17.541061, -39.7437845 -17.540392)",
226558439,True,,Rua José do Patrocínio,residential,False,121.916,"LINESTRING (-39.7437115 -17.541061, -39.744845 -17.5408766)",
463546915,False,,Rua José do Patrocínio,residential,False,202.342,"LINESTRING (-39.7437115 -17.541061, -39.7418232 -17.5407973)",
226566445,True,,Rua Eurico Gaspar Dutra,residential,False,6.989,"LINESTRING (-39.7414207 -17.5352116, -39.7413577 -17.5352301)",
241523738,True,,Avenida Antônio Carlos Magalhães,tertiary,False,19.576,"LINESTRING (-39.7414207 -17.5352116, -39.7415581 -17.5353292)",
226566445,True,,Rua Eurico Gaspar Dutra,residential,False,81.742,"LINESTRING (-39.7436594 -17.5345756, -39.7429264 -17.5348034)",
1072011920,False,,Rua João Calmon,tertiary,True,58.343,"LINESTRING (-39.7436594 -17.5345756, -39.7438364 -17.5350724)",
226558418,False,,Rua Maria Francisca Cabral de Jesus,residential,False,56.795,"LINESTRING (-39.7457465 -17.5426348, -39.7452146 -17.5425742)",
