osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,bridge,lanes
226476665,True,Avenida Brasília,primary,40,False,115.804,,"LINESTRING (-48.9256487 -20.0248937, -48.9249933 -20.0240538)",,
257048908,True,Avenida Coronel Delfino Nunes,primary,,False,10.122,MG-255,"LINESTRING (-48.9256487 -20.0248937, -48.9257364 -20.024855)",,
226476362,False,Rua Afrânio Peixoto,residential,,True,131.021,,"LINESTRING (-48.9248752 -20.0175275, -48.9236221 -20.0175736)",,
"[226477338, 226476636]",False,"['Rua Godofredo Magalhães Macedo', 'Rua João Madaleno Santana']",residential,,"[False, True]",323.763,,"LINESTRING (-48.9248752 -20.0175275, -48.9248925 -20.0181157, -48.9249127 -20.018166, -48.9249663 -20.0181863, -48.9250427 -20.0181901, -48.9261183 -20.0181447, -48.9273207 -20.0180791)",,
226476362,False,Rua Afrânio Peixoto,residential,,False,131.021,,"LINESTRING (-48.9236221 -20.0175736, -48.9248752 -20.0175275)",,
226477271,False,Avenida Orlando Pinto da Cruz,residential,,True,20.871,,"LINESTRING (-48.9273207 -20.0180791, -48.927321 -20.0182668)",,
"[226477338, 226476636]",False,"['Rua Godofredo Magalhães Macedo', 'Rua João Madaleno Santana']",residential,,"[False, True]",323.76300000000003,,"LINESTRING (-48.9273207 -20.0180791, -48.9261183 -20.0181447, -48.9250427 -20.0181901, -48.9249663 -20.0181863, -48.9249127 -20.018166, -48.9248925 -20.0181157, -48.9248752 -20.0175275)",,
888769303,False,Rua Prédio Santana Andrade,residential,,True,89.271,,"LINESTRING (-48.9320803 -20.0181039, -48.9321214 -20.0189058)",,
"[888769301, 888765071]",False,Rua Tobias Barreto,residential,,True,93.97,,"LINESTRING (-48.9320803 -20.0181039, -48.9318882 -20.0181112, -48.9311816 -20.018138)",,
396067381,False,Avenida Lauriston de Souza,residential,,False,89.65,,"LINESTRING (-48.9311816 -20.018138, -48.9312328 -20.0189428)",,
"[888769301, 888765071]",False,Rua Tobias Barreto,residential,,False,93.97,,"LINESTRING (-48.9311816 -20.018138, -48.9318882 -20.0181112, -48.9320803 -20.0181039)",,
