osmid,oneway,name,highway,reversed,length,geometry,maxspeed,junction,lanes,ref,bridge
82894053,False,Rua Vinheiro,residential,True,76.158,"LINESTRING (-49.3114416 -25.6460479, -49.3106823 -25.6460243)",,,,,
82894055,True,Rua Jequitibá,tertiary,False,157.626,"LINESTRING (-49.3114416 -25.6460479, -49.311405 -25.6464815, -49.3113212 -25.6474613)",,,,,
82894054,False,Avenida Araucárias,secondary,True,76.161,"LINESTRING (-49.3085433 -25.6443223, -49.3077973 -25.6444521)",,,,,
125180540,False,Rua Castanheira,residential,False,178.342,"LINESTRING (-49.3085433 -25.6443223, -49.3084673 -25.6459247)",,,,,
82894054,False,Avenida Araucárias,secondary,False,77.339,"LINESTRING (-49.3085433 -25.6443223, -49.3088253 -25.644322, -49.3089379 -25.6443219, -49.3090682 -25.6443218, -49.309314 -25.6443399)",,,,,
82894054,False,Avenida Araucárias,secondary,True,75.224,"LINESTRING (-49.311526 -25.644504, -49.3113463 -25.6444941, -49.3110609 -25.6444748, -49.3107783 -25.6444477)",,,,,
82894055,True,Rua Jequitibá,tertiary,False,171.882,"LINESTRING (-49.311526 -25.644504, -49.3114919 -25.6451273, -49.3114416 -25.6460479)",,,,,
"[1037027945, 1037027946]",False,Avenida Araucárias,secondary,False,25.938000000000002,"LINESTRING (-49.311526 -25.644504, -49.3116076 -25.6445078, -49.3117061 -25.6445125, -49.3117844 -25.6445161)",,,,,
82894055,True,Rua Jequitibá,tertiary,False,109.578,"LINESTRING (-49.3112868 -25.6486473, -49.3113063 -25.6496326)",,,,,
82894057,False,Avenida Cedro,residential,False,92.122,"LINESTRING (-49.3112868 -25.6486473, -49.3122054 -25.6486726)",,,,,
82894057,False,Avenida Cedro,residential,True,75.807,"LINESTRING (-49.3112868 -25.6486473, -49.3105309 -25.6486262)",,,,,
82894057,False,Avenida Cedro,residential,True,92.122,"LINESTRING (-49.3122054 -25.6486726, -49.3112868 -25.6486473)",,,,,
"[1037027929, 363491106, 1037027930]",True,Avenida das Américas,secondary,False,445.528,"LINESTRING (-49.3122054 -25.6486726, -49.3122409 -25.6480307, -49.3122959 -25.6470068, -49.3123078 -25.6467855, -49.312323 -25.6465013, -49.3123272 -25.6464543, -49.3123417 -25.6462472, -49.3123893 -25.6452793, -49.3123618 -25.6450797, -49.312345 -25.6450397, -49.3123055 -25.6449412, -49.3122793 -25.6448735, -49.3121608 -25.6447176)",,,,,
945340949,True,Rua César Carelli,secondary,False,23.958,"LINESTRING (-49.3123459 -25.644481, -49.3125494 -25.644594)",,,,,
82894084,True,,secondary,False,22.526999999999997,"LINESTRING (-49.3123459 -25.644481, -49.3123664 -25.6445282, -49.3123692 -25.6445788, -49.3123543 -25.6446276, -49.3123231 -25.6446697)",40,roundabout,,,
1037027953,True,,secondary,False,17.789,"LINESTRING (-49.3123231 -25.6446697, -49.3122761 -25.6447022, -49.3122199 -25.6447187, -49.3121608 -25.6447176)",40,roundabout,,,
1037027952,True,,secondary,False,18.521,"LINESTRING (-49.3121608 -25.6447176, -49.3121033 -25.6446978, -49.3120568 -25.6446613, -49.3120271 -25.6446127)",40,roundabout,,,
1037027955,True,,secondary,False,17.294,"LINESTRING (-49.3120567 -25.6444619, -49.3120996 -25.6444274, -49.3121526 -25.6444071, -49.3122099 -25.6444033)",40,roundabout,,,
124071321,False,Rua Jacarandá,tertiary,False,86.714,"LINESTRING (-49.3113063 -25.6496326, -49.3121709 -25.6496064)",,,,,
124071321,False,Rua Jacarandá,tertiary,True,73.333,"LINESTRING (-49.3113063 -25.6496326, -49.3105754 -25.6496613)",,,,,
82894057,False,Avenida Cedro,residential,False,74.534,"LINESTRING (-49.3097884 -25.6485904, -49.3105309 -25.6486262)",,,,,
941439482,False,Rua Inglaterra,residential,False,122.089,"LINESTRING (-49.3097884 -25.6485904, -49.3098154 -25.6496881)",,,,,
941439482,False,Rua Inglaterra,residential,True,134.048,"LINESTRING (-49.3097884 -25.6485904, -49.3098509 -25.6473862)",,,,,
82894057,False,Avenida Cedro,residential,True,74.468,"LINESTRING (-49.3097884 -25.6485904, -49.3091761 -25.6485614, -49.3090467 -25.6485527)",,,,,
82894057,False,Avenida Cedro,residential,False,75.807,"LINESTRING (-49.3105309 -25.6486262, -49.3112868 -25.6486473)",,,,,
82894057,False,Avenida Cedro,residential,True,74.534,"LINESTRING (-49.3105309 -25.6486262, -49.3097884 -25.6485904)",,,,,
175945563,False,Rua França,residential,False,133.825,"LINESTRING (-49.3105309 -25.6486262, -49.3105858 -25.6474237)",,,,,
175945563,False,Rua França,residential,True,115.184,"LINESTRING (-49.3105309 -25.6486262, -49.3105754 -25.6496613)",,,,,
403113891,True,Rua César Carelli,secondary,False,83.336,"LINESTRING (-49.3168037 -25.644931, -49.3176326 -25.6449885)",,,2,,
837262790,False,Rua Farid Stephanes,residential,True,114.685,"LINESTRING (-49.3168037 -25.644931, -49.3168782 -25.6439018)",,,,,
945103833,True,Rua Farid Stephanes,residential,False,96.541,"LINESTRING (-49.3168037 -25.644931, -49.3167596 -25.6457983)",,,,,
124071321,False,Rua Jacarandá,tertiary,False,42.94,"LINESTRING (-49.3083572 -25.6497375, -49.3087853 -25.6497236)",,,,,
124071321,False,Rua Jacarandá,tertiary,True,29.716,"LINESTRING (-49.3083572 -25.6497375, -49.3080608 -25.6497426)",,,,,
125180540,False,Rua Castanheira,residential,True,134.979,"LINESTRING (-49.3083572 -25.6497375, -49.3083084 -25.6485244)",,,,,
403113891,True,Rua César Carelli,secondary,False,93.117,"LINESTRING (-49.3149662 -25.6447907, -49.3158914 -25.6448656)",,,2,,
945103831,True,Rua Manoel Claudino Barbosa,residential,False,171.707,"LINESTRING (-49.3149662 -25.6447907, -49.315051 -25.6432484)",,,,,
124071321,False,Rua Jacarandá,tertiary,True,86.714,"LINESTRING (-49.3121709 -25.6496064, -49.3113063 -25.6496326)",,,,,
363491106,True,Avenida das Américas,secondary,False,103.892,"LINESTRING (-49.3121709 -25.6496064, -49.3122054 -25.6486726)",,,,,
379130948,True,,trunk_link,False,133.473,"LINESTRING (-49.3121709 -25.6496064, -49.3124576 -25.6484342)",,,,,
124071321,False,Rua Jacarandá,tertiary,False,76.239,"LINESTRING (-49.3098154 -25.6496881, -49.3105754 -25.6496613)",,,,,
124071321,False,Rua Jacarandá,tertiary,True,71.765,"LINESTRING (-49.3098154 -25.6496881, -49.3091 -25.6497133)",,,,,
