osmid,oneway,name,highway,reversed,length,geometry,ref,junction
137733736,True,,secondary,False,7.268,"LINESTRING (-49.6557368 -22.2133354, -49.6556883 -22.2133829)",,roundabout
143957755,False,Rua João Manzano,residential,True,6.733,"LINESTRING (-49.6557368 -22.2133354, -49.6557395 -22.2133959)",,
137733736,True,,secondary,False,12.268999999999998,"LINESTRING (-49.6557495 -22.2132278, -49.6557542 -22.2132862, -49.6557368 -22.2133354)",,roundabout
143957754,False,Rua América,residential,True,5.465,"LINESTRING (-49.6556883 -22.2133829, -49.6557395 -22.2133959)",,
137733736,True,,secondary,False,14.620000000000001,"LINESTRING (-49.6556883 -22.2133829, -49.6556452 -22.213401, -49.6555981 -22.2134058, -49.6555518 -22.2133968)",,roundabout
139941004,False,Rua Vinte e Sete de Dezembro,residential,True,8.59,"LINESTRING (-49.6518604 -22.2167991, -49.6518001 -22.2167457)",,
220823195,True,Avenida Doutor Eustachio Schalzo,secondary,False,20.368,"LINESTRING (-49.6518604 -22.2167991, -49.6517323 -22.2169387)",,
143954884,False,Rua Eumene,residential,False,98.843,"LINESTRING (-49.6518604 -22.2167991, -49.6519046 -22.2168233, -49.6519556 -22.2168351, -49.6528118 -22.2168462)",,
144175702,False,Rua São João,residential,False,112.573,"LINESTRING (-49.6576371 -22.2124373, -49.657611 -22.2134494)",,
137733744,True,Avenida Doutor Labieno da Costa Machado,secondary,False,98.277,"LINESTRING (-49.6576371 -22.2124373, -49.6571731 -22.2124671, -49.6569425 -22.2125168, -49.6567011 -22.2125863)",,
138575586,False,Avenida Presidente Vargas,secondary,False,6.091,"LINESTRING (-49.6537333 -22.2148982, -49.6537606 -22.2149468)",SP-349,
139941005,False,Rua Dona Maria de Barros,residential,False,51.465,"LINESTRING (-49.6537333 -22.2148982, -49.6533244 -22.2146319)",,
220823193,True,Avenida Doutor Labieno da Costa Machado,secondary,False,95.273,"LINESTRING (-49.6537333 -22.2148982, -49.6543562 -22.2142645)",SP-349,
138575586,False,Avenida Presidente Vargas,secondary,False,13.436,"LINESTRING (-49.6537606 -22.2149468, -49.6537728 -22.2150671)",SP-349,
138575586,False,Avenida Presidente Vargas,secondary,True,6.091,"LINESTRING (-49.6537606 -22.2149468, -49.6537333 -22.2148982)",SP-349,
220823195,True,Avenida Doutor Eustachio Schalzo,secondary,False,140.174,"LINESTRING (-49.6537606 -22.2149468, -49.6528253 -22.215863)",,
889483069,True,Rua Prefeito Salviano Pereira de Andrade,residential,False,93.943,"LINESTRING (-49.6570686 -22.2120848, -49.6569347 -22.2112491)",,
889519866,False,Rua Deputado Manoel Joaquim Fernandes,secondary,False,32.641,"LINESTRING (-49.6570686 -22.2120848, -49.6567556 -22.2121317)",,
889519866,False,Rua Deputado Manoel Joaquim Fernandes,secondary,True,95.19,"LINESTRING (-49.6570686 -22.2120848, -49.6579829 -22.2119569)",,
889509359,False,Rua Sargento Wilson Abel de Oliveira,residential,False,10.951,"LINESTRING (-49.6562362 -22.2126748, -49.6562613 -22.2127705)",,
889509359,False,Rua Sargento Wilson Abel de Oliveira,residential,True,51.71,"LINESTRING (-49.6562362 -22.2126748, -49.6561603 -22.2122151)",,
137733735,True,Avenida Doutor Labieno da Costa Machado,secondary,False,51.873000000000005,"LINESTRING (-49.6562362 -22.2126748, -49.6564972 -22.2125491, -49.6566912 -22.2124754)",,
889509359,False,Rua Sargento Wilson Abel de Oliveira,residential,True,10.951,"LINESTRING (-49.6562613 -22.2127705, -49.6562362 -22.2126748)",,
137733744,True,Avenida Doutor Labieno da Costa Machado,secondary,False,77.355,"LINESTRING (-49.6562613 -22.2127705, -49.6560252 -22.2128967, -49.6558642 -22.2130035, -49.6557863 -22.2130743, -49.6557585 -22.2131386, -49.6557495 -22.2132278)",,
889492062,False,Rua Tiradentes,residential,False,93.331,"LINESTRING (-49.655631 -22.2088052, -49.6565329 -22.2087198)",,
889509357,False,Rua Sargento Wilson Abel de Oliveira,residential,False,95.424,"LINESTRING (-49.655631 -22.2088052, -49.6557609 -22.2096549)",,
864623919,True,Rua Tiradentes,residential,False,95.205,"LINESTRING (-49.6547182 -22.2089427, -49.655631 -22.2088052)",,
890524621,True,Rua Barão do Rio Branco,secondary,False,93.493,"LINESTRING (-49.6547182 -22.2089427, -49.6545765 -22.2081122)",,
139897224,True,Rua Coronel Joaquim Piza,secondary,False,96.168,"LINESTRING (-49.6542321 -22.2115981, -49.6543776 -22.2124524)",SP-349,
613968604,True,Rua Carlos Ferrari,residential,False,66.682,"LINESTRING (-49.6542321 -22.2115981, -49.6537303 -22.2116498, -49.6536715 -22.2116422, -49.6536313 -22.2116279, -49.653597 -22.2116081)",,
220823191,True,Avenida Doutor Labieno da Costa Machado,secondary,False,113.621,"LINESTRING (-49.6546693 -22.2139584, -49.6554575 -22.2132431)",,
881906372,False,Rua Coronel Joaquim Piza,secondary,True,7.434,"LINESTRING (-49.6546693 -22.2139584, -49.6547217 -22.2140044)",SP-349,
881906372,False,Rua Coronel Joaquim Piza,secondary,False,7.434,"LINESTRING (-49.6547217 -22.2140044, -49.6546693 -22.2139584)",SP-349,
143956068,True,Rua Prefeito Andrade Nogueira,residential,False,25.936,"LINESTRING (-49.6547217 -22.2140044, -49.6547511 -22.2140509, -49.654768 -22.2140986, -49.6547753 -22.2141613, -49.6547762 -22.2142274)",,
971005298,True,Avenida Doutor Labieno da Costa Machado,secondary,False,25.825000000000003,"LINESTRING (-49.6547217 -22.2140044, -49.6546204 -22.2140987, -49.6545466 -22.2141707)",SP-349,
139898266,True,Avenida Doutor Rafael Paes de Barros,secondary,False,95.72,"LINESTRING (-49.6508787 -22.2161429, -49.6514158 -22.2154402)",,
139941004,False,Rua Vinte e Sete de Dezembro,residential,False,7.025,"LINESTRING (-49.6508787 -22.2161429, -49.650935 -22.2161786)",,
139941004,False,Rua Vinte e Sete de Dezembro,residential,True,71.882,"LINESTRING (-49.6508787 -22.2161429, -49.6503096 -22.2157683)",,
139898250,True,Avenida Doutor Rafael Paes de Barros,secondary,False,15.196,"LINESTRING (-49.6537587 -22.2125349, -49.6536711 -22.2126449)",,
889472661,False,Rua Deputado Manoel Joaquim Fernandes,secondary,True,64.369,"LINESTRING (-49.6537587 -22.2125349, -49.6543776 -22.2124524)",,
139898250,True,Avenida Doutor Rafael Paes de Barros,secondary,False,94.238,"LINESTRING (-49.6530882 -22.2134109, -49.6525571 -22.2141012)",,
142035464,False,Rua Carlos Gomes,residential,False,110.506,"LINESTRING (-49.6530882 -22.2134109, -49.6539592 -22.2139918)",,
142035464,False,Rua Carlos Gomes,residential,True,7.138,"LINESTRING (-49.6530882 -22.2134109, -49.6530338 -22.2133711)",,
139898266,True,Avenida Doutor Rafael Paes de Barros,secondary,False,94.767,"LINESTRING (-49.6524893 -22.2140583, -49.6530338 -22.2133711)",,
139941005,False,Rua Dona Maria de Barros,residential,False,106.398,"LINESTRING (-49.6524893 -22.2140583, -49.6516546 -22.213494)",,
139941005,False,Rua Dona Maria de Barros,residential,True,8.454,"LINESTRING (-49.6524893 -22.2140583, -49.6525571 -22.2141012)",,
139898250,True,Avenida Doutor Rafael Paes de Barros,secondary,False,104.19,"LINESTRING (-49.6536711 -22.2126449, -49.6530882 -22.2134109)",,
139898250,True,Avenida Doutor Rafael Paes de Barros,secondary,False,95.16,"LINESTRING (-49.6514735 -22.215483, -49.650935 -22.2161786)",,
864912193,False,Rua Rodolfo Miranda,residential,False,7.611,"LINESTRING (-49.6514735 -22.215483, -49.6514158 -22.2154402)",,
864912193,False,Rua Rodolfo Miranda,residential,True,74.363,"LINESTRING (-49.6514735 -22.215483, -49.6520521 -22.2158834)",,
881908439,True,Rua Barão do Rio Branco,secondary,False,95.99,"LINESTRING (-49.655252 -22.2123315, -49.6551289 -22.2114758)",,
889472662,True,Rua Deputado Manoel Joaquim Fernandes,secondary,False,94.395,"LINESTRING (-49.655252 -22.2123315, -49.6561603 -22.2122151)",,
881916796,True,Rua Vital Soares,residential,False,19.249,"LINESTRING (-49.6535193 -22.2126268, -49.6533679 -22.2125252)",,
139898266,True,Avenida Doutor Rafael Paes de Barros,secondary,False,8.506,"LINESTRING (-49.6535193 -22.2126268, -49.6535263 -22.212605, -49.6535405 -22.2125843, -49.6535643 -22.2125651)",,
143954876,True,Rua Santos Dumont,residential,False,94.107,"LINESTRING (-49.6588791 -22.2118315, -49.6587748 -22.2109907)",,
889472666,True,Rua Santos Dumont,residential,False,41.495,"LINESTRING (-49.6588791 -22.2118315, -49.6589399 -22.2122004)",,
139897224,True,Rua Coronel Joaquim Piza,secondary,False,57.762,"LINESTRING (-49.6538432 -22.2093956, -49.6539411 -22.2099071)",SP-349,
139898249,True,Avenida Doutor Rafael Paes de Barros,secondary_link,False,15.952000000000002,"LINESTRING (-49.6535643 -22.2125651, -49.6535963 -22.2125666, -49.6536173 -22.2125705, -49.653634 -22.2125784, -49.6536484 -22.2125911, -49.6536575 -22.2126041, -49.6536711 -22.2126449)",,
139898266,True,Avenida Doutor Rafael Paes de Barros,secondary,False,20.333,"LINESTRING (-49.6535643 -22.2125651, -49.653579 -22.2125604, -49.6536118 -22.2125529, -49.6537587 -22.2125349)",,
139940115,False,Rua Plinio de Godóy,residential,True,95.007,"LINESTRING (-49.6532797 -22.2113852, -49.6525254 -22.2108929)",,
139940117,False,Rua Júlio Prestes,residential,False,97.309,"LINESTRING (-49.6532797 -22.2113852, -49.6527342 -22.2120999)",,
139940117,False,Rua Júlio Prestes,residential,True,78.153,"LINESTRING (-49.6532797 -22.2113852, -49.6533374 -22.2113101, -49.6537318 -22.2108206)",,
139940117,False,Rua Júlio Prestes,residential,False,94.195,"LINESTRING (-49.6516546 -22.213494, -49.6511188 -22.2141807)",,
139940117,False,Rua Júlio Prestes,residential,True,94.746,"LINESTRING (-49.6516546 -22.213494, -49.6521925 -22.2128026)",,
139941005,False,Rua Dona Maria de Barros,residential,False,94.827,"LINESTRING (-49.6516546 -22.213494, -49.650912 -22.2129894)",,
139941005,False,Rua Dona Maria de Barros,residential,True,106.398,"LINESTRING (-49.6516546 -22.213494, -49.6524893 -22.2140583)",,
139940109,False,Rua Brigadeiro Machado,residential,True,92.966,"LINESTRING (-49.6516077 -22.2091211, -49.6508722 -22.208636)",,
139941010,False,Rua Luíz Antônio,residential,False,36.949,"LINESTRING (-49.6516077 -22.2091211, -49.6514056 -22.2093957)",,
139941010,False,Rua Luíz Antônio,residential,True,40.51,"LINESTRING (-49.6516077 -22.2091211, -49.6518359 -22.2088243)",,
139940117,False,Rua Júlio Prestes,residential,True,96.248,"LINESTRING (-49.6500398 -22.2155898, -49.6505763 -22.2148809)",,
139941004,False,Rua Vinte e Sete de Dezembro,residential,False,34.137,"LINESTRING (-49.6500398 -22.2155898, -49.6503096 -22.2157683)",,
142035453,False,Rua Doutor Jurandir Ubirajara Guimarães,residential,False,96.254,"LINESTRING (-49.6526899 -22.2152504, -49.6520521 -22.2158834)",,
142035453,False,Rua Doutor Jurandir Ubirajara Guimarães,residential,True,94.848,"LINESTRING (-49.6526899 -22.2152504, -49.6533244 -22.2146319)",,
881916798,False,Rua General Glicério,residential,True,85.804,"LINESTRING (-49.6526899 -22.2152504, -49.6520159 -22.2147964)",,
139940109,False,Rua Brigadeiro Machado,residential,False,79.414,"LINESTRING (-49.6502437 -22.2082219, -49.6508722 -22.208636)",,
139940109,False,Rua Brigadeiro Machado,residential,True,15.235,"LINESTRING (-49.6502437 -22.2082219, -49.6501241 -22.2081412)",,
139940117,False,Rua Júlio Prestes,residential,False,96.248,"LINESTRING (-49.6505763 -22.2148809, -49.6500398 -22.2155898)",,
139940117,False,Rua Júlio Prestes,residential,True,95.816,"LINESTRING (-49.6505763 -22.2148809, -49.6511188 -22.2141807)",,
864912193,False,Rua Rodolfo Miranda,residential,True,106.471,"LINESTRING (-49.6505763 -22.2148809, -49.6514158 -22.2154402)",,
139941004,False,Rua Vinte e Sete de Dezembro,residential,False,8.59,"LINESTRING (-49.6518001 -22.2167457, -49.6518604 -22.2167991)",,
139941004,False,Rua Vinte e Sete de Dezembro,residential,True,47.466,"LINESTRING (-49.6518001 -22.2167457, -49.6514225 -22.2165007)",,
220823196,True,Avenida Doutor Eustachio Schalzo,secondary,False,130.914,"LINESTRING (-49.6518001 -22.2167457, -49.6526892 -22.2159039)",,
139898244,False,Rua Alfredo Souza Castro,residential,False,46.681,"LINESTRING (-49.6523856 -22.2080977, -49.6527223 -22.2083789)",,
139941010,False,Rua Luíz Antônio,residential,False,98.641,"LINESTRING (-49.6523856 -22.2080977, -49.6518359 -22.2088243)",,
139940109,False,Rua Brigadeiro Machado,residential,False,15.235,"LINESTRING (-49.6501241 -22.2081412, -49.6502437 -22.2082219)",,
142035453,False,Rua Doutor Jurandir Ubirajara Guimarães,residential,False,94.404,"LINESTRING (-49.6520521 -22.2158834, -49.6514225 -22.2165007)",,
142035453,False,Rua Doutor Jurandir Ubirajara Guimarães,residential,True,96.254,"LINESTRING (-49.6520521 -22.2158834, -49.6526899 -22.2152504)",,
864912193,False,Rua Rodolfo Miranda,residential,False,74.363,"LINESTRING (-49.6520521 -22.2158834, -49.6514735 -22.215483)",,
139897224,True,Rua Coronel Joaquim Piza,secondary,False,28.181,"LINESTRING (-49.6537996 -22.2091454, -49.6538432 -22.2093956)",SP-349,
864909528,True,Rua Quinze de Novembro,residential,False,19.038,"LINESTRING (-49.6537996 -22.2091454, -49.6537386 -22.2092323, -49.6537279 -22.2092577, -49.6537187 -22.2092971)",,
142035464,False,Rua Carlos Gomes,residential,False,7.138,"LINESTRING (-49.6530338 -22.2133711, -49.6530882 -22.2134109)",,
142035464,False,Rua Carlos Gomes,residential,True,107.222,"LINESTRING (-49.6530338 -22.2133711, -49.6521925 -22.2128026)",,
139898266,True,Avenida Doutor Rafael Paes de Barros,secondary,False,98.20400000000001,"LINESTRING (-49.6530338 -22.2133711, -49.6534989 -22.2127572, -49.6535099 -22.2127302, -49.653518 -22.2126985, -49.6535213 -22.2126634, -49.6535193 -22.2126268)",,
142035464,False,Rua Carlos Gomes,residential,True,50.889,"LINESTRING (-49.6543562 -22.2142645, -49.6539592 -22.2139918)",,
220823193,True,Avenida Doutor Labieno da Costa Machado,secondary,False,46.876,"LINESTRING (-49.6543562 -22.2142645, -49.6546693 -22.2139584)",SP-349,
139941004,False,Rua Vinte e Sete de Dezembro,residential,False,47.466,"LINESTRING (-49.6514225 -22.2165007, -49.6518001 -22.2167457)",,
139941004,False,Rua Vinte e Sete de Dezembro,residential,True,61.653,"LINESTRING (-49.6514225 -22.2165007, -49.650935 -22.2161786)",,
142035453,False,Rua Doutor Jurandir Ubirajara Guimarães,residential,True,94.404,"LINESTRING (-49.6514225 -22.2165007, -49.6520521 -22.2158834)",,
139940123,False,Rua Vital Soares,residential,False,94.658,"LINESTRING (-49.6512421 -22.2111173, -49.6519825 -22.2116221)",,
139940123,False,Rua Vital Soares,residential,True,95.855,"LINESTRING (-49.6512421 -22.2111173, -49.6504863 -22.2106138)",,
142035450,False,Rua Fausto Floriano de Toledo,residential,False,98.54,"LINESTRING (-49.6512421 -22.2111173, -49.6517818 -22.2103854)",,
142035450,False,Rua Fausto Floriano de Toledo,residential,True,95.191,"LINESTRING (-49.6512421 -22.2111173, -49.6506998 -22.2118107)",,
139941005,False,Rua Dona Maria de Barros,residential,False,93.623,"LINESTRING (-49.650912 -22.2129894, -49.6501701 -22.2125024)",,
139941005,False,Rua Dona Maria de Barros,residential,True,94.827,"LINESTRING (-49.650912 -22.2129894, -49.6516546 -22.213494)",,
