osmid,name,highway,oneway,reversed,length,geometry,maxspeed
352614156,Rua Pedro Cristiano da Silva,residential,False,False,117.41,"LINESTRING (-48.0351424 -20.1794571, -48.035468 -20.1804678)",
352614156,Rua Pedro Cristiano da Silva,residential,False,True,74.234,"LINESTRING (-48.0351424 -20.1794571, -48.0349538 -20.1788134)",
352595651,Rua Aníbal Martins Arantes,residential,False,True,108.712,"LINESTRING (-48.0330849 -20.1832027, -48.0320978 -20.1835149)",
352614157,Rua Hilário Alves de Freitas,residential,False,False,117.496,"LINESTRING (-48.0330849 -20.1832027, -48.0327523 -20.1821932)",
352595651,Rua Aníbal Martins Arantes,residential,False,False,88.784,"LINESTRING (-48.0330849 -20.1832027, -48.033396 -20.1831197, -48.033899 -20.1829713)",
352595649,Avenida José Espírito Santo Tanajura,residential,False,False,92.958,"LINESTRING (-48.0327523 -20.1821932, -48.0336133 -20.1819792)",
352614157,Rua Hilário Alves de Freitas,residential,False,False,112.244,"LINESTRING (-48.0327523 -20.1821932, -48.0324629 -20.181221)",
352614157,Rua Hilário Alves de Freitas,residential,False,True,117.496,"LINESTRING (-48.0327523 -20.1821932, -48.0330849 -20.1832027)",
352595649,Avenida José Espírito Santo Tanajura,residential,False,True,107.289,"LINESTRING (-48.0327523 -20.1821932, -48.0325055 -20.1822486, -48.0321139 -20.1823436, -48.0317546 -20.1824256)",
352595647,Avenida Alvaro da Cunha Barros,residential,False,False,94.279,"LINESTRING (-48.0324629 -20.181221, -48.0333369 -20.1810067)",
352595647,Avenida Alvaro da Cunha Barros,residential,False,True,109.473,"LINESTRING (-48.0324629 -20.181221, -48.031442 -20.181447)",
352614157,Rua Hilário Alves de Freitas,residential,False,False,112.752,"LINESTRING (-48.0324629 -20.181221, -48.0321827 -20.1802417)",
352614157,Rua Hilário Alves de Freitas,residential,False,True,112.244,"LINESTRING (-48.0324629 -20.181221, -48.0327523 -20.1821932)",
352594028,Avenida Rodolfo Jorge,residential,False,False,91.067,"LINESTRING (-48.0321827 -20.1802417, -48.033021 -20.1800145)",
352594028,Avenida Rodolfo Jorge,residential,False,True,112.726,"LINESTRING (-48.0321827 -20.1802417, -48.0311387 -20.1805015)",
352614157,Rua Hilário Alves de Freitas,residential,False,False,65.081,"LINESTRING (-48.0321827 -20.1802417, -48.0320272 -20.1796749)",
