osmid,highway,junction,oneway,reversed,length,name,bridge,geometry
263258548,residential,roundabout,True,False,4.771,,,"LINESTRING (-48.4770766 -20.9468811, -48.4770318 -20.9468906)"
177315542,residential,,True,False,96.599,Rua Doutor Oscar Werneck,,"LINESTRING (-48.479685 -20.9496243, -48.4790445 -20.9489943)"
262389199,residential,,True,False,99.328,Rua São João,,"LINESTRING (-48.479685 -20.9496243, -48.4789708 -20.9502185)"
177315539,residential,,True,False,101.138,Rua Doutor Tobias de Lima,,"LINESTRING (-48.4836142 -20.9511623, -48.4829704 -20.9504798)"
263147998,residential,,True,False,97.318,Rua General Osório,,"LINESTRING (-48.4836142 -20.9511623, -48.4829223 -20.9517526)"
177316116,residential,,True,False,94.131,Rua Lucas Evangelista,,"LINESTRING (-48.4820124 -20.9453764, -48.482622 -20.9460029)"
262390527,residential,,True,False,97.641,Rua Doutor Brandão Veras,,"LINESTRING (-48.4820124 -20.9453764, -48.4813113 -20.9459615)"
177315542,residential,,True,False,116.697,Rua Doutor Oscar Werneck,,"LINESTRING (-48.4784404 -20.9483337, -48.4776593 -20.9475792)"
262390527,residential,,True,False,99.398,Rua Doutor Brandão Veras,,"LINESTRING (-48.4784404 -20.9483337, -48.4777302 -20.948933)"
177315542,residential,,True,False,96.598,Rua Doutor Oscar Werneck,,"LINESTRING (-48.4790445 -20.9489943, -48.4784404 -20.9483337)"
262389774,residential,,True,False,100.96,Rua Coronel João Manoel,,"LINESTRING (-48.4790445 -20.9489943, -48.4797703 -20.9483902)"
262389774,residential,,True,False,101.61,Rua Coronel João Manoel,,"LINESTRING (-48.4811702 -20.9472251, -48.481897 -20.9466133)"
330165138,residential,,True,False,97.384,Rua Rubião Junior,,"LINESTRING (-48.4811702 -20.9472251, -48.48181 -20.9478654)"
"[847406712, 847406711, 494788631]",tertiary,,True,False,83.956,Rua Almeida Pinto,yes,"LINESTRING (-48.4749118 -20.9524373, -48.4749768 -20.9523779, -48.4750921 -20.9522784, -48.4755101 -20.9519296)"
177278092,residential,,True,False,98.66,Rua Vanor Junqueira Franco,,"LINESTRING (-48.4801916 -20.9527917, -48.4809064 -20.9522072)"
263155835,residential,,True,False,101.013,Rua Francisco Inácio,,"LINESTRING (-48.4801916 -20.9527917, -48.4795091 -20.9521444)"
177278092,residential,,True,False,100.735,Rua Vanor Junqueira Franco,,"LINESTRING (-48.4829704 -20.9504798, -48.483711 -20.9498947)"
177315539,residential,,True,False,98.885,Rua Doutor Tobias de Lima,,"LINESTRING (-48.4829704 -20.9504798, -48.4823607 -20.9497967)"
177278092,residential,,True,False,99.516,Rua Vanor Junqueira Franco,,"LINESTRING (-48.4794813 -20.9533925, -48.4801916 -20.9527917)"
263155783,residential,,True,False,96.906,Rua Nossa Senhora de Fátima,,"LINESTRING (-48.476919 -20.9507606, -48.4775468 -20.9514054)"
262389774,residential,,True,False,98.699,Rua Coronel João Manoel,,"LINESTRING (-48.476919 -20.9507606, -48.4774446 -20.9503286, -48.4776241 -20.9501657)"
686749034,residential,,True,False,44.199,Rua Rubião Junior,,"LINESTRING (-48.4825179 -20.9486192, -48.4828068 -20.9489111)"
177294676,residential,,True,False,73.98,Praça Valêncio de Barros,,"LINESTRING (-48.4825179 -20.9486192, -48.482565 -20.9487513, -48.4825934 -20.9488541, -48.4825947 -20.9489603, -48.4825687 -20.9490637, -48.4824985 -20.9491822, -48.4824548 -20.9492416)"
686749034,residential,,True,False,35.381,Rua Rubião Junior,,"LINESTRING (-48.4821526 -20.9482541, -48.4822895 -20.9483836, -48.4823919 -20.9484806)"
177294673,residential,,True,False,96.066,Rua Doutor Tobias de Lima,,"LINESTRING (-48.4810891 -20.9484495, -48.4804885 -20.9477924)"
262389199,residential,,True,False,98.714,Rua São João,,"LINESTRING (-48.4810891 -20.9484495, -48.4803843 -20.9490452)"
262389199,residential,,True,False,99.11,Rua São João,,"LINESTRING (-48.48181 -20.9478654, -48.4810891 -20.9484495)"
330165138,residential,,True,False,55.981,Rua Rubião Junior,,"LINESTRING (-48.48181 -20.9478654, -48.4821526 -20.9482541)"
686749034,residential,,True,False,13.639,Rua Rubião Junior,,"LINESTRING (-48.4823919 -20.9484806, -48.4824764 -20.9485745)"
