osmid,name,highway,oneway,reversed,length,ref,geometry,junction
"[222531442, 222531308, 1179993917]","['Rua Doutor Anísio Rosa Soares', 'Rua Padre Monsehor Honorio H. B. Nacke', 'Rua Doutor Luís de Matos Pimenta']",residential,False,False,254.399,,"LINESTRING (-46.7880683 -22.8794803, -46.787618 -22.8795931, -46.7875998 -22.8796096, -46.7875947 -22.8796379, -46.787703 -22.8801229, -46.7877259 -22.8801458, -46.7877551 -22.8801556, -46.7890617 -22.879816)",
22815247,Rodovia Engenheiro Constancio Cintra,primary,False,True,13.879,SP-360,"LINESTRING (-46.7939134 -22.8795719, -46.793897 -22.8796958)",
22815247,Rodovia Engenheiro Constancio Cintra,primary,False,False,140.13299999999998,SP-360,"LINESTRING (-46.7939134 -22.8795719, -46.7940072 -22.8790453, -46.7940311 -22.8787308, -46.7940144 -22.8784223, -46.7939978 -22.878321)",
222531409,Rua Padre Salvador Castella,residential,False,False,94.477,,"LINESTRING (-46.7908353 -22.8795986, -46.7917101 -22.8793297)",
222531424,Rua Antonio Amalfi,residential,False,True,99.972,,"LINESTRING (-46.7908353 -22.8795986, -46.7910738 -22.8804704)",
1180001417,Rua Antonio Amalfi,residential,False,False,80.735,,"LINESTRING (-46.7908353 -22.8795986, -46.7906168 -22.878901)",
1180001416,Rua Padre Salvador Castella,residential,False,True,40.389,,"LINESTRING (-46.7908353 -22.8795986, -46.790501 -22.8796928, -46.7904632 -22.8797147)",
22815247,Rodovia Engenheiro Constancio Cintra,primary,False,False,13.879,SP-360,"LINESTRING (-46.793897 -22.8796958, -46.7939134 -22.8795719)",
22815247,Rodovia Engenheiro Constancio Cintra,primary,False,True,136.732,SP-360,"LINESTRING (-46.793897 -22.8796958, -46.7935637 -22.8808865)",
222531327,Rua Antonio Frare,residential,False,False,81.095,,"LINESTRING (-46.7904632 -22.8797147, -46.7901936 -22.879029)",
1180001415,Rua Padre Salvador Castella,residential,False,True,73.432,,"LINESTRING (-46.7904632 -22.8797147, -46.7897834 -22.8799241)",
1180001416,Rua Padre Salvador Castella,residential,False,False,40.389,,"LINESTRING (-46.7904632 -22.8797147, -46.790501 -22.8796928, -46.7908353 -22.8795986)",
222531415,Rua Carlos Miguel de Oliveira,residential,False,False,34.045,,"LINESTRING (-46.7890617 -22.879816, -46.7891265 -22.8801163)",
222531442,Rua Doutor Luís de Matos Pimenta,residential,False,False,92.62,,"LINESTRING (-46.7890617 -22.879816, -46.7893685 -22.8797123, -46.7895528 -22.8795664, -46.7898018 -22.8793609)",
"[222531442, 222531308, 1179993917]","['Rua Padre Monsehor Honorio H. B. Nacke', 'Rua Doutor Luís de Matos Pimenta', 'Rua Doutor Anísio Rosa Soares']",residential,False,True,254.399,,"LINESTRING (-46.7890617 -22.879816, -46.7877551 -22.8801556, -46.7877259 -22.8801458, -46.787703 -22.8801229, -46.7875947 -22.8796379, -46.7875998 -22.8796096, -46.787618 -22.8795931, -46.7880683 -22.8794803)",
914643841,Rua Rodrigues Leme,secondary,True,False,119.235,,"LINESTRING (-46.7928126 -22.8799201, -46.7939134 -22.8795719)",
222531403,Rua Abel Vicente,residential,False,True,68.892,,"LINESTRING (-46.7897834 -22.8799241, -46.7897575 -22.8805432)",
