osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,lanes,access
273320066,False,MG-108,Avenida Doutor Rubens Boechat de Oliveira,primary,True,32.317,"LINESTRING (-41.6231237 -20.1524144, -41.6232477 -20.1521481)",,,
273203728,False,MG-108,Avenida Presidente Vargas,secondary,False,40.596000000000004,"LINESTRING (-41.6231237 -20.1524144, -41.6232973 -20.1525057, -41.6234576 -20.1526013)",,,
1086543317,False,MG-441,Avenida Doutor Rubens Boechat de Oliveira,primary,False,122.33100000000002,"LINESTRING (-41.6231237 -20.1524144, -41.6229245 -20.1527518, -41.62273 -20.1530206, -41.6227059 -20.1530439, -41.6226714 -20.1530672, -41.6223867 -20.1532378)",,,
273203728,False,MG-108,Avenida Presidente Vargas,secondary,False,30.811,"LINESTRING (-41.6234576 -20.1526013, -41.6237084 -20.1527474)",,,
273527815,True,,Rua Capitão Nestor Vieira de Gouveia,residential,False,56.034,"LINESTRING (-41.6234576 -20.1526013, -41.6237044 -20.1521538)",,,
273203728,False,MG-108,Avenida Presidente Vargas,secondary,True,40.596000000000004,"LINESTRING (-41.6234576 -20.1526013, -41.6232973 -20.1525057, -41.6231237 -20.1524144)",,,
507808772,False,,Rua Herculano Ker,residential,False,154.84799999999998,"LINESTRING (-41.6234576 -20.1526013, -41.6229661 -20.1535758, -41.6229024 -20.1536816, -41.62284 -20.1537672, -41.622781 -20.153837)",,,
553765133,False,,,residential,False,46.231,"LINESTRING (-41.622433 -20.1518856, -41.6223237 -20.1522885)",,,
273203726,True,MG-108,Avenida Natal Rodrigues Pereira,primary,False,50.452999999999996,"LINESTRING (-41.622433 -20.1518856, -41.6221789 -20.1518252, -41.622036 -20.1517855, -41.621969 -20.1517603)",,,
273203726,True,MG-108,Avenida Natal Rodrigues Pereira,primary,False,35.503,"LINESTRING (-41.6230083 -20.1520644, -41.6228601 -20.1520128, -41.6227857 -20.1519857, -41.6226901 -20.1519517)",,,
553765132,False,,Rua do Bonfim,residential,False,171.06899999999996,"LINESTRING (-41.6230083 -20.1520644, -41.6228357 -20.1523149, -41.6228122 -20.1523401, -41.6227797 -20.1523549, -41.6227414 -20.1523618, -41.6226288 -20.1523779, -41.622547 -20.1523967, -41.6224659 -20.1524257, -41.6222405 -20.1525239, -41.6220655 -20.1525969, -41.6219502 -20.1526372, -41.6218422 -20.1526567, -41.6217175 -20.1526605, -41.62159 -20.1526576)",,,
507808747,False,,Rua Rosendo Ambrosio,residential,False,231.471,"LINESTRING (-41.6193873 -20.1506769, -41.6193872 -20.1510705, -41.6193909 -20.151094, -41.6194004 -20.1511146, -41.6194926 -20.1512479, -41.6195215 -20.1512844, -41.6195466 -20.1513105, -41.6195858 -20.1513341, -41.6196277 -20.1513467, -41.619727 -20.1513505, -41.6199654 -20.1513511, -41.620078 -20.1513606, -41.6202054 -20.1513895, -41.6205675 -20.1515098, -41.6206688 -20.1515501, -41.6209598 -20.1516904)",,,
1086544708,False,MG-108,Avenida Natal Rodrigues Pereira,primary,False,72.6,"LINESTRING (-41.6193873 -20.1506769, -41.619681 -20.150626, -41.6198708 -20.1505983, -41.6199801 -20.1506052, -41.6200706 -20.1506329)",,,
273527850,False,LMG-822,Avenida Doutor Rubens Boechat de Oliveira,secondary,False,38.759,"LINESTRING (-41.6236078 -20.1509854, -41.6235548 -20.1513304)",,,
273527839,False,,Rua Benedito Quintino,residential,True,57.121,"LINESTRING (-41.6236078 -20.1509854, -41.6238083 -20.1510647, -41.6238992 -20.1511043, -41.6239855 -20.1511395, -41.6241116 -20.1511856)",,,
"[273527850, 1086543315, 273391221]",False,LMG-822,"['Avenida Doutor Rubens Boechat de Oliveira', 'Rua Américo Misael']",secondary,True,77.50399999999999,"LINESTRING (-41.6236078 -20.1509854, -41.6236619 -20.1504236, -41.6236735 -20.1503465, -41.6236886 -20.1502933)",yes,,
273203726,True,MG-108,Avenida Natal Rodrigues Pereira,primary,False,26.667,"LINESTRING (-41.6232477 -20.1521481, -41.6230083 -20.1520644)",,,
273320066,False,MG-108,Avenida Doutor Rubens Boechat de Oliveira,primary,False,32.317,"LINESTRING (-41.6232477 -20.1521481, -41.6231237 -20.1524144)",,,
273527850,False,LMG-822,Avenida Doutor Rubens Boechat de Oliveira,secondary,True,38.759,"LINESTRING (-41.6235548 -20.1513304, -41.6236078 -20.1509854)",,,
327890787,True,MG-108,Avenida Doutor Rubens Boechat de Oliveira,primary,False,96.549,"LINESTRING (-41.6235548 -20.1513304, -41.623533 -20.1514286, -41.6235119 -20.1514978, -41.6232477 -20.1521481)",,,
273203725,True,MG-108,Rua Dom Cavate,primary,False,38.109,"LINESTRING (-41.6223439 -20.1515928, -41.6226986 -20.1515117)",,,
