osmid,lanes,ref,highway,junction,oneway,reversed,length,name,geometry
243360603,1,SP-271,primary,roundabout,True,False,4.453,,"LINESTRING (-47.7262884 -21.3358289, -47.7262742 -21.3357911)"
243360602,,,tertiary,,True,False,40.998000000000005,Avenida Coronel José Nogueira Terra,"LINESTRING (-47.7265312 -21.3357867, -47.7265411 -21.3358157, -47.726555 -21.3358347, -47.7265751 -21.3358591, -47.7265942 -21.3358766, -47.7266559 -21.3359139, -47.7268308 -21.3360137)"
243360603,1,SP-271,primary,roundabout,True,False,12.758000000000001,,"LINESTRING (-47.7265312 -21.3357867, -47.7265235 -21.3358145, -47.7265091 -21.3358398, -47.7264886 -21.3358612, -47.7264633 -21.3358776)"
243360603,1,SP-271,primary,roundabout,True,False,6.983,,"LINESTRING (-47.7264633 -21.3358776, -47.7263976 -21.3358917)"
243360589,,,residential,,True,False,91.741,Avenida Fagundes,"LINESTRING (-47.7303686 -21.3379816, -47.7308214 -21.3372725)"
243360602,,,tertiary,,True,False,10.81,Avenida Coronel José Nogueira Terra,"LINESTRING (-47.7303686 -21.3379816, -47.7304599 -21.3380287)"
243360601,,,tertiary,,True,False,164.919,Avenida Coronel José Nogueira Terra,"LINESTRING (-47.730341 -21.338024, -47.7289671 -21.3372743)"
1002753074,,,tertiary,,True,False,5.514,Avenida Fagundes,"LINESTRING (-47.730341 -21.338024, -47.7303686 -21.3379816)"
243360597,,,tertiary,,True,False,112.405,Rua Prudente de Morais,"LINESTRING (-47.731447 -21.3386098, -47.7323841 -21.3391197)"
292124304,,,residential,,True,False,98.282,Avenida Dona Rita Cândida Nogueira,"LINESTRING (-47.731447 -21.3386098, -47.7309638 -21.3393705)"
273320201,,,residential,,True,False,10.486,Rua Doutor José Eduardo Vieira Palma,"LINESTRING (-47.7293193 -21.339656, -47.729406 -21.3397047)"
1002753075,,,residential,,True,False,113.217,Avenida Fagundes,"LINESTRING (-47.7293193 -21.339656, -47.7298788 -21.3387813)"
273320201,,,residential,,True,False,110.043,Rua Doutor José Eduardo Vieira Palma,"LINESTRING (-47.729406 -21.3397047, -47.7303259 -21.3401999)"
