osmid,ref,highway,junction,oneway,reversed,length,name,geometry
256139499,GO-428,secondary,roundabout,True,False,4.145,,"LINESTRING (-49.1537028 -14.3130623, -49.1536928 -14.3130983)"
256139486,,residential,,False,True,113.205,Rua João da Rocha,"LINESTRING (-49.1517424 -14.3096967, -49.1508149 -14.310175)"
615359494,,tertiary,,False,False,12.97,Rua João da Rocha,"LINESTRING (-49.1517424 -14.3096967, -49.1518501 -14.3096446)"
615359496,,tertiary,,True,False,77.867,Avenida Bernardo Sayão,"LINESTRING (-49.1517424 -14.3096967, -49.1514132 -14.3090733)"
256139517,,residential,,False,True,75.081,Rua Mauá,"LINESTRING (-49.1546354 -14.3074714, -49.1549508 -14.3080735)"
615359504,,residential,,False,False,58.171,Rua Maria Dias,"LINESTRING (-49.1546354 -14.3074714, -49.1551156 -14.3072323)"
615359504,,residential,,False,True,190.9,Rua Maria Dias,"LINESTRING (-49.1546354 -14.3074714, -49.1530578 -14.3082528)"
256139499,GO-428,secondary,roundabout,True,False,7.386,,"LINESTRING (-49.1536873 -14.3129976, -49.1537028 -14.3130623)"
256139515,GO-428,secondary,,True,False,74.843,,"LINESTRING (-49.1536873 -14.3129976, -49.1543083 -14.312696)"
256139524,,tertiary,,True,False,78.788,Avenida Bernardo Sayão,"LINESTRING (-49.1536928 -14.3130983, -49.1540066 -14.3137383)"
256139499,GO-428,secondary,roundabout,True,False,15.236999999999998,,"LINESTRING (-49.1536928 -14.3130983, -49.1536642 -14.3131347, -49.1536311 -14.3131536, -49.1535756 -14.3131591)"
256139520,,residential,,False,False,77.11,Rua 7 de Setembro,"LINESTRING (-49.1530578 -14.3082528, -49.1533788 -14.3088726)"
615359504,,residential,,False,False,190.9,Rua Maria Dias,"LINESTRING (-49.1530578 -14.3082528, -49.1546354 -14.3074714)"
615359504,,residential,,False,True,112.626,Rua Maria Dias,"LINESTRING (-49.1530578 -14.3082528, -49.1521271 -14.3087139)"
"[256139520, 615359512]",,residential,,False,True,184.798,"['Rua 7 de Setembro', 'Rua Francisco Pereira']","LINESTRING (-49.1530578 -14.3082528, -49.1527633 -14.3076845, -49.1518079 -14.3081268)"
256139520,,residential,,False,True,77.11,Rua 7 de Setembro,"LINESTRING (-49.1533788 -14.3088726, -49.1530578 -14.3082528)"
615359500,,residential,,False,False,50.384,Rua João da Rocha,"LINESTRING (-49.1533788 -14.3088726, -49.1537929 -14.3086621)"
615359500,,residential,,False,True,17.875,Rua João da Rocha,"LINESTRING (-49.1533788 -14.3088726, -49.1532319 -14.3089473)"
256139515,GO-428,secondary,,True,False,98.721,,"LINESTRING (-49.156756 -14.3114777, -49.1575744 -14.3110785)"
256139517,,residential,,False,False,73.449,Rua Mauá,"LINESTRING (-49.156756 -14.3114777, -49.1564532 -14.3108859)"
256139517,,residential,,False,True,10.578,Rua Mauá,"LINESTRING (-49.156756 -14.3114777, -49.1568007 -14.3115624)"
