osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,junction
422115220,True,1,SC-370,primary,60,False,25.109,,"LINESTRING (-49.0325032 -28.3323008, -49.0325585 -28.3320803)",
306335656,True,1,SC-435,secondary,80,False,47.742,Rodovia Sílvio João de Oliveira,"LINESTRING (-49.0325032 -28.3323008, -49.032374 -28.3320837, -49.0322615 -28.3319283)",
1108153568,False,2,SC-370,primary,80,True,82.631,Rodovia Hercílio Zappelini,"LINESTRING (-49.0329648 -28.3332039, -49.033132 -28.3339323)",
62229115,True,1,SC-370,primary,60,False,70.198,Rodovia Hercílio Zappelini,"LINESTRING (-49.0329648 -28.3332039, -49.0328595 -28.3329791, -49.0326429 -28.332641)",
1108153568,False,2,SC-370,primary,80,False,39.542,Rodovia Hercílio Zappelini,"LINESTRING (-49.0332047 -28.3342821, -49.033132 -28.3339323)",
315041987,False,,,tertiary,,False,156.189,Rua Engenheiro Annes Gualberto,"LINESTRING (-49.0332047 -28.3342821, -49.0333889 -28.3341265, -49.0334688 -28.333957, -49.0334525 -28.3329607)",
257653949,False,2,SC-370,primary,80,True,307.89300000000003,,"LINESTRING (-49.0327018 -28.3314999, -49.0327197 -28.3312417, -49.0327629 -28.3310118, -49.03283 -28.3308064, -49.0329388 -28.3305673, -49.0330768 -28.3303496, -49.0332839 -28.3301264, -49.0336665 -28.3298191, -49.034078 -28.3296404, -49.0345224 -28.3295221)",
257654702,True,1,SC-370,primary,60,False,34.299,,"LINESTRING (-49.0327018 -28.3314999, -49.0327281 -28.3316876, -49.0327491 -28.3318055)",
257654704,True,1,SC-370,primary,60,False,37.449,,"LINESTRING (-49.0328697 -28.3321036, -49.0329292 -28.3321903, -49.0329641 -28.3322667, -49.0329746 -28.3323285, -49.0329786 -28.3324191)",
315042071,True,1,SC-370,primary,60,False,45.839,Rodovia Hercílio Zappelini,"LINESTRING (-49.032952 -28.3325911, -49.0329581 -28.3330033)",
