osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,access,geometry
129928451,False,2,Rua Nossa Senhora Aparecida,residential,30,True,190.326,,,"LINESTRING (-44.9979904 -21.2429408, -44.9963761 -21.2437568)"
778945014,True,2,Rua Miceno de Pádua,secondary,40,False,55.51,MG-335,,"LINESTRING (-44.9979904 -21.2429408, -44.9977988 -21.2425716, -44.9977536 -21.2424931)"
838067684,True,2,Praça Leonardo Venerando Pereira,tertiary,40,False,54.218,,,"LINESTRING (-44.9992393 -21.2429827, -44.9990613 -21.2425242)"
778945014,True,2,Rua Miceno de Pádua,secondary,40,False,47.254,MG-335,,"LINESTRING (-44.9982043 -21.2433161, -44.9979904 -21.2429408)"
129848467,False,2,Avenida Padre Dehon,secondary,40,False,306.822,,,"LINESTRING (-44.9982043 -21.2433161, -44.9975481 -21.2435555, -44.9955722 -21.2445699)"
365616572,True,1,Travessa Costa Pinto,tertiary,40,False,113.498,,,"LINESTRING (-44.9982043 -21.2433161, -44.9991724 -21.2430069, -44.9992393 -21.2429827)"
129928451,False,2,Rua Nossa Senhora Aparecida,residential,30,False,190.326,,,"LINESTRING (-44.9963761 -21.2437568, -44.9979904 -21.2429408)"
658555480,True,1,Rua Pedro Moura,residential,30,False,18.445,,,"LINESTRING (-45.0008114 -21.2446082, -45.000975 -21.2446735)"
658555482,True,2,Rua Firmino Sales,secondary,40,False,18.567,,,"LINESTRING (-45.0008114 -21.2446082, -45.000919 -21.2447417)"
129928496,True,1,Rua Monsenhor Aureliano,residential,30,False,104.986,,,"LINESTRING (-44.9990558 -21.2447148, -44.9981191 -21.2450743)"
365616573,True,1,Rua Monsenhor Aureliano,tertiary,30,False,86.733,,,"LINESTRING (-44.9990558 -21.2447148, -44.9998323 -21.2444239)"
778945014,True,2,Rua Miceno de Pádua,secondary,40,False,66.085,MG-335,,"LINESTRING (-44.9990558 -21.2447148, -44.9990094 -21.2446369, -44.998735 -21.2442012)"
384927818,False,2,Rua Monsenhor Aureliano,residential,30,False,125.322,,,"LINESTRING (-44.9981191 -21.2450743, -44.9969906 -21.2454792)"
720015823,False,2,Rua Tomás Antônio Gonzaga,residential,30,False,33.571,,,"LINESTRING (-44.9981191 -21.2450743, -44.9980219 -21.2447863)"
720015823,False,2,Rua Tomás Antônio Gonzaga,residential,30,True,73.455,,,"LINESTRING (-44.9981191 -21.2450743, -44.9983545 -21.2456974)"
129928449,True,1,Rua Antônio de Pádua,residential,30,False,139.246,,,"LINESTRING (-44.995831 -21.2452024, -44.9946261 -21.2457565)"
658616116,False,2,Rua João Pomárico,residential,40,False,75.272,,,"LINESTRING (-44.995831 -21.2452024, -44.9955722 -21.2445699)"
658616116,False,2,Rua João Pomárico,residential,40,True,83.069,,,"LINESTRING (-44.995831 -21.2452024, -44.9960813 -21.2459121)"
129928482,False,2,Rua José de Souza Andrade,residential,30,False,79.126,,,"LINESTRING (-44.9969906 -21.2454792, -44.9973131 -21.2461242)"
384927818,False,2,Rua Monsenhor Aureliano,residential,30,False,105.82,,,"LINESTRING (-44.9969906 -21.2454792, -44.9960813 -21.2459121)"
384927818,False,2,Rua Monsenhor Aureliano,residential,30,True,125.322,,,"LINESTRING (-44.9969906 -21.2454792, -44.9981191 -21.2450743)"
395009948,False,2,Rua José de Souza Andrade,residential,30,False,23.432,,,"LINESTRING (-44.9969906 -21.2454792, -44.9968967 -21.2452875)"
243601447,True,1,Rua Barbosa Lima,residential,30,False,128.78,,,"LINESTRING (-44.9997284 -21.2458535, -44.9993777 -21.2459448, -44.9988011 -21.2461473, -44.9985583 -21.2462398)"
399345574,True,2,Rua Miceno de Pádua,secondary,40,False,62.122,MG-335,,"LINESTRING (-44.9997284 -21.2458535, -44.9995441 -21.245582, -44.9994301 -21.2453697)"
384927818,False,2,Rua Monsenhor Aureliano,residential,30,True,105.82,,,"LINESTRING (-44.9960813 -21.2459121, -44.9969906 -21.2454792)"
658616116,False,2,Rua João Pomárico,residential,40,False,83.069,,,"LINESTRING (-44.9960813 -21.2459121, -44.995831 -21.2452024)"
658616116,False,2,Rua João Pomárico,residential,40,True,75.472,,,"LINESTRING (-44.9960813 -21.2459121, -44.9962261 -21.2462198, -44.9963911 -21.2465261)"
129928482,False,2,Rua José de Souza Andrade,residential,30,False,66.663,,,"LINESTRING (-44.9973131 -21.2461242, -44.9975766 -21.2466711)"
129928482,False,2,Rua José de Souza Andrade,residential,30,True,79.126,,,"LINESTRING (-44.9973131 -21.2461242, -44.9969906 -21.2454792)"
