osmid,oneway,highway,reversed,length,name,geometry,lanes,junction,ref
248767376,False,primary,True,56.447,Rua Rosa Baraúna,"LINESTRING (-42.7283017 -10.8244658, -42.7280375 -10.8240295)",,,
248767481,True,primary,False,22.246,Rua Virgílio Bessa,"LINESTRING (-42.7283017 -10.8244658, -42.7284465 -10.8246065)",2,,
88302927,True,tertiary,False,56.45,Avenida J. J. Seabra,"LINESTRING (-42.729811 -10.8234832, -42.7302388 -10.8231983)",,,
88302953,False,residential,True,47.904,Rua Pedro Mariani,"LINESTRING (-42.729811 -10.8234832, -42.7295751 -10.82312)",,,
88302978,False,residential,True,13.904,Rua Castro Alves,"LINESTRING (-42.729811 -10.8234832, -42.7298907 -10.8235807)",,,
251103499,False,residential,False,14.503,Rua Agrario Avelino,"LINESTRING (-42.7302388 -10.8231983, -42.7303134 -10.8233062)",,,
251103499,False,residential,True,46.7,Rua Agrario Avelino,"LINESTRING (-42.7302388 -10.8231983, -42.7300164 -10.8228396)",,,
88302927,True,tertiary,False,79.499,Avenida J. J. Seabra,"LINESTRING (-42.7302388 -10.8231983, -42.7306962 -10.8228922, -42.7308598 -10.8228328)",,,
88302927,True,tertiary,False,91.783,Avenida J. J. Seabra,"LINESTRING (-42.7291122 -10.8239417, -42.729811 -10.8234832)",,,
88302931,False,residential,False,48.846,Rua Conselheiro Quintino Bocaiuva,"LINESTRING (-42.7291122 -10.8239417, -42.7288823 -10.8235649)",,,
88302931,False,residential,True,14.911,Rua Conselheiro Quintino Bocaiuva,"LINESTRING (-42.7291122 -10.8239417, -42.7291879 -10.8240533)",,,
88302931,False,residential,False,101.124,Rua Conselheiro Quintino Bocaiuva,"LINESTRING (-42.7261266 -10.8190817, -42.7256341 -10.8183116)",,,
88302931,False,residential,True,140.247,Rua Conselheiro Quintino Bocaiuva,"LINESTRING (-42.7261266 -10.8190817, -42.7267868 -10.8201635)",,,
88302948,False,residential,False,63.371,Rua Osvaldo Cruz,"LINESTRING (-42.7261266 -10.8190817, -42.7266572 -10.8188511)",,,
88302948,False,residential,True,48.676,Rua Osvaldo Cruz,"LINESTRING (-42.7261266 -10.8190817, -42.7257232 -10.8192678)",,,
88302931,False,residential,True,121.383,Rua Conselheiro Quintino Bocaiuva,"LINESTRING (-42.7250739 -10.8173688, -42.7256341 -10.8183116)",,,
88302935,False,residential,True,43.215,Travessa dos Pescadores,"LINESTRING (-42.7250739 -10.8173688, -42.7247576 -10.8176023)",,,
88302933,False,residential,False,57.045,Rua Aurélio Miranda,"LINESTRING (-42.7249665 -10.8200636, -42.7244642 -10.819923)",,,
88302933,False,residential,True,100.347,Rua Aurélio Miranda,"LINESTRING (-42.7249665 -10.8200636, -42.7258512 -10.8203071)",,,
248762342,False,residential,False,121.527,Rua Aristóteles Marçal da Silva,"LINESTRING (-42.7249665 -10.8200636, -42.7257309 -10.8208578)",,,
248762342,False,residential,True,42.337,Rua Aristóteles Marçal da Silva,"LINESTRING (-42.7249665 -10.8200636, -42.7247861 -10.8197266)",,,
88302933,False,residential,False,39.808,Rua Aurélio Miranda,"LINESTRING (-42.7244642 -10.819923, -42.7241085 -10.8198449)",,,
88302933,False,residential,True,57.045,Rua Aurélio Miranda,"LINESTRING (-42.7244642 -10.819923, -42.7249665 -10.8200636)",,,
88302948,False,residential,False,41.388,Rua Osvaldo Cruz,"LINESTRING (-42.7244642 -10.819923, -42.7247861 -10.8197266)",,,
88302933,False,residential,False,19.737,Rua Aurélio Miranda,"LINESTRING (-42.7241085 -10.8198449, -42.72393 -10.8198172)",,,
88302933,False,residential,True,39.808,Rua Aurélio Miranda,"LINESTRING (-42.7241085 -10.8198449, -42.7244642 -10.819923)",,,
543218347,False,residential,False,79.739,Rua Oriente,"LINESTRING (-42.7241085 -10.8198449, -42.7244138 -10.8204963)",,,
