osmid,oneway,name,highway,reversed,length,lanes,ref,maxspeed,geometry,access
80669433,True,Rua Nova Paraíba,residential,False,113.967,,,,"LINESTRING (-37.0757888 -10.9184759, -37.0759566 -10.9194875)",
578539974,True,Rua Doutor José da Silva Ribeiro Filho,primary,False,123.94000000000001,2,SE-040,60,"LINESTRING (-37.0757888 -10.9184759, -37.075331 -10.9184524, -37.0747242 -10.9184221, -37.0747098 -10.9184219, -37.0746551 -10.9184194)",
80669516,True,Rua Amapá,residential,False,63.289,,,,"LINESTRING (-37.0759566 -10.9194875, -37.0753813 -10.9195572)",
578540766,False,Rua Nova Paraíba,residential,False,45.107,,,,"LINESTRING (-37.0759566 -10.9194875, -37.0760156 -10.919889)",
82696630,True,Rua Venezuela,tertiary,False,91.581,,,,"LINESTRING (-37.0808959 -10.9187566, -37.0808486 -10.9195002, -37.0808436 -10.9195786)",
176258444,True,Rua Doutor José da Silva Ribeiro Filho,primary,False,122.16999999999999,2,SE-040,60,"LINESTRING (-37.0808959 -10.9187566, -37.0799219 -10.9187113, -37.0797782 -10.9187046)",
578234612,True,,tertiary,False,18.88,,,,"LINESTRING (-37.0797782 -10.9187046, -37.0798703 -10.9185609)",
"[578539968, 578539971]",True,Rua Doutor José da Silva Ribeiro Filho,primary,False,99.57799999999999,2,SE-040,60,"LINESTRING (-37.0797782 -10.9187046, -37.0794386 -10.9186912, -37.0790847 -10.9186683, -37.0789765 -10.9186581, -37.0788682 -10.9186479)",
578540763,True,Rua Acre,secondary,False,128.585,2,,,"LINESTRING (-37.0743486 -10.9163211, -37.0741837 -10.9151761)",
170152535,False,Rua Guaporé,residential,True,60.943,,,,"LINESTRING (-37.0743486 -10.9163211, -37.0744268 -10.9163086, -37.0749012 -10.916244)",
298406417,False,Rua Rondônia,residential,False,128.869,,,,"LINESTRING (-37.0743486 -10.9163211, -37.0741354 -10.9163478, -37.0734056 -10.9164393, -37.0731778 -10.9164679)",
81660863,False,Rua Porto Alegre,residential,True,127.466,,,,"LINESTRING (-37.0741837 -10.9151761, -37.0730263 -10.9153262)",
81665855,True,Rua Acre,secondary,False,124.995,2,,,"LINESTRING (-37.0741837 -10.9151761, -37.0740415 -10.9140607)",
305260228,False,Rua Porto Alegre,residential,False,67.754,,,,"LINESTRING (-37.0741837 -10.9151761, -37.0747976 -10.9150871)",
81665855,True,Rua Acre,secondary,False,129.491,2,,,"LINESTRING (-37.0740415 -10.9140607, -37.0738605 -10.9129098)",
149688615,False,Rua Espírito Santo,residential,True,113.223,,,,"LINESTRING (-37.0738605 -10.9129098, -37.0748898 -10.912786)",
81665855,True,Rua Acre,secondary,False,126.46900000000001,2,,,"LINESTRING (-37.0738605 -10.9129098, -37.073699 -10.9118601, -37.0736875 -10.9117852)",
82575748,False,Avenida Rio Grande do Sul,tertiary,True,59.22,2,,40,"LINESTRING (-37.0736875 -10.9117852, -37.0736171 -10.9118003, -37.0731511 -10.9118628)",
170152535,False,Rua Guaporé,residential,False,58.704,,,,"LINESTRING (-37.0754336 -10.9161703, -37.0749012 -10.916244)",
81657978,False,Rua Nova Paraíba,residential,False,122.061,,,,"LINESTRING (-37.0754336 -10.9161703, -37.0755 -10.9166167, -37.0756106 -10.9172541)",
170152535,False,Rua Guaporé,residential,True,67.143,,,,"LINESTRING (-37.0754336 -10.9161703, -37.0758802 -10.9160952, -37.0760378 -10.916059)",
81657982,True,Travessa Amapá,tertiary,False,62.235,,,,"LINESTRING (-37.0756106 -10.9172541, -37.0750447 -10.9173212)",
578540765,False,Travessa Amapá,residential,False,68.692,,,,"LINESTRING (-37.0756106 -10.9172541, -37.0762329 -10.9171632)",
81657978,False,Rua Nova Paraíba,residential,True,122.061,,,,"LINESTRING (-37.0756106 -10.9172541, -37.0755 -10.9166167, -37.0754336 -10.9161703)",
578540765,False,Travessa Amapá,residential,True,22.505,,,,"LINESTRING (-37.0764367 -10.9171329, -37.0762329 -10.9171632)",
165919224,True,Rua Paraíba,tertiary,False,121.859,,,,"LINESTRING (-37.0764367 -10.9171329, -37.0767613 -10.9176017, -37.0767962 -10.9176401, -37.0769517 -10.9178111, -37.0771422 -10.9179744)",
165919224,True,Rua Paraíba,tertiary,False,5.183,,,,"LINESTRING (-37.0761732 -10.9159873, -37.0761644 -10.9160331)",
82684666,False,Rua Guaporé,residential,True,88.62899999999999,,,,"LINESTRING (-37.0761732 -10.9159873, -37.0762624 -10.9159754, -37.0763576 -10.9159662, -37.0769832 -10.9159425)",
297303510,True,Rua Distrito Federal,residential,False,122.394,2,,,"LINESTRING (-37.0731778 -10.9164679, -37.0733178 -10.91756)",
