osmid,name,highway,oneway,reversed,length,ref,lanes,junction,geometry,maxspeed
331185549,Rua Bahia,residential,False,False,29.52,,,,"LINESTRING (-39.9062831 -8.9884018, -39.9064837 -8.9882251)",
331185549,Rua Bahia,residential,False,True,86.029,,,,"LINESTRING (-39.9062831 -8.9884018, -39.9055894 -8.9887611)",
505102211,Avenida Doutor Pedro Santos Torres,residential,False,True,15.056,BA-210,,,"LINESTRING (-39.9062831 -8.9884018, -39.9063325 -8.9885281)",
331252690,Avenida Doutor Euvaldo Torres de Aquino,secondary,False,False,15.841,,2,,"LINESTRING (-39.9074252 -8.9910201, -39.907558 -8.9909645)",
331252690,Avenida Doutor Euvaldo Torres de Aquino,secondary,False,True,100.815,,2,,"LINESTRING (-39.9074252 -8.9910201, -39.9065783 -8.9913698)",
884672819,Avenida Doutor Pedro Santos Torres,residential,True,False,64.344,BA-210,,,"LINESTRING (-39.9074252 -8.9910201, -39.9071959 -8.9904876)",
331184204,Avenida Doutor Euvaldo Torres de Aquino,secondary,True,False,57.608,,2,,"LINESTRING (-39.9025969 -8.9930932, -39.9030773 -8.9928852)",
331248127,,secondary,True,False,13.544,,,roundabout,"LINESTRING (-39.9025969 -8.9930932, -39.9026217 -8.9931256, -39.902634 -8.9931643, -39.9026325 -8.9932049)",
331184204,Avenida Doutor Euvaldo Torres de Aquino,secondary,True,False,29.787,,2,,"LINESTRING (-39.904696 -8.9921738, -39.904942 -8.992061)",
331184208,Rua Sergipe,residential,False,False,50.19,,,,"LINESTRING (-39.904696 -8.9921738, -39.9044868 -8.9917725)",
331184208,Rua Sergipe,residential,False,True,10.88,,,,"LINESTRING (-39.904696 -8.9921738, -39.9047376 -8.9922626)",
331184204,Avenida Doutor Euvaldo Torres de Aquino,secondary,True,False,52.699,,2,,"LINESTRING (-39.9037506 -8.9925858, -39.9041837 -8.9923818)",
331184205,Rua Paraíba,residential,False,False,74.892,,,,"LINESTRING (-39.9037506 -8.9925858, -39.9034408 -8.9919858)",
331184205,Rua Paraíba,residential,False,True,12.09,,,,"LINESTRING (-39.9037506 -8.9925858, -39.9038021 -8.9926819)",
331184205,Rua Paraíba,residential,False,False,33.012,,,,"LINESTRING (-39.9021332 -8.9893167, -39.9019991 -8.989051)",
331184205,Rua Paraíba,residential,False,True,59.519,,,,"LINESTRING (-39.9021332 -8.9893167, -39.9023572 -8.9898041)",
