osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,junction,lanes
309946075,Rua Gervino de Souza Vieira,residential,False,False,98.942,,,"LINESTRING (-47.5237006 -14.7000655, -47.5228223 -14.7003301)",,
846128893,Avenida Teotônio Fernandes Graças,primary,False,True,140.394,GO-118; BR-010,60,"LINESTRING (-47.5237006 -14.7000655, -47.5240671 -14.7012773)",,
309946075,Rua Gervino de Souza Vieira,residential,False,False,92.219,,,"LINESTRING (-47.5201615 -14.7011373, -47.5193332 -14.7013516)",,
309946075,Rua Gervino de Souza Vieira,residential,False,True,6.747,,,"LINESTRING (-47.5201615 -14.7011373, -47.5202198 -14.7011149)",,
886923142,Avenida São João,residential,True,False,14.686,,,"LINESTRING (-47.5201615 -14.7011373, -47.5201352 -14.7010077)",,
309946108,Avenida São João,residential,False,False,132.708,,,"LINESTRING (-47.5198147 -14.6998552, -47.5201352 -14.7010077)",,
"[309946094, 309946070]","['Rua 12', 'Rua 33']",residential,False,False,243.553,,,"LINESTRING (-47.5198147 -14.6998552, -47.5189486 -14.7000828, -47.5193332 -14.7013516)",,
309946075,Rua Gervino de Souza Vieira,residential,False,False,95.164,,,"LINESTRING (-47.5228223 -14.7003301, -47.5219775 -14.7005845)",,
309946075,Rua Gervino de Souza Vieira,residential,False,True,98.942,,,"LINESTRING (-47.5228223 -14.7003301, -47.5237006 -14.7000655)",,
309946091,Rua Joaquim Roberto dos Santos,residential,False,False,135.373,,,"LINESTRING (-47.5228223 -14.7003301, -47.5231867 -14.7014954)",,
309946068,Rua 8,residential,False,False,135.511,,,"LINESTRING (-47.5219775 -14.7005845, -47.5223429 -14.7017508)",,
309946075,Rua Gervino de Souza Vieira,residential,False,False,97.003,,,"LINESTRING (-47.5219775 -14.7005845, -47.5211164 -14.7008439)",,
309946075,Rua Gervino de Souza Vieira,residential,False,True,95.164,,,"LINESTRING (-47.5219775 -14.7005845, -47.5228223 -14.7003301)",,
309946075,Rua Gervino de Souza Vieira,residential,False,False,101.032,,,"LINESTRING (-47.5211164 -14.7008439, -47.5202198 -14.7011149)",,
309946075,Rua Gervino de Souza Vieira,residential,False,True,97.003,,,"LINESTRING (-47.5211164 -14.7008439, -47.5219775 -14.7005845)",,
309946105,Rua Felipe Crisostomo do Carmo,residential,False,False,135.648,,,"LINESTRING (-47.5211164 -14.7008439, -47.5214855 -14.7020104)",,
309946073,Rua 3,residential,False,False,105.103,,,"LINESTRING (-47.5249959 -14.7009835, -47.5240671 -14.7012773)",,
846128893,Avenida Teotônio Fernandes Graças,primary,False,False,59.316,GO-118; BR-010,60,"LINESTRING (-47.5242219 -14.7017893, -47.5240671 -14.7012773)",,
629244385,Avenida Teotônio Fernandes Graças,primary,True,False,72.32600000000001,GO-118; BR-010,40,"LINESTRING (-47.5242219 -14.7017893, -47.5242577 -14.7018464, -47.5242879 -14.7019041, -47.5244778 -14.7023895)",,
309946075,Rua Gervino de Souza Vieira,residential,False,True,92.219,,,"LINESTRING (-47.5193332 -14.7013516, -47.5201615 -14.7011373)",,
309946094,Rua 12,residential,False,False,72.004,,,"LINESTRING (-47.5193332 -14.7013516, -47.5195215 -14.701973)",,
"[309946070, 309946094]","['Rua 12', 'Rua 33']",residential,False,True,243.553,,,"LINESTRING (-47.5193332 -14.7013516, -47.5189486 -14.7000828, -47.5198147 -14.6998552)",,
309946073,Rua 3,residential,False,False,95.094,,,"LINESTRING (-47.5231867 -14.7014954, -47.5223429 -14.7017508)",,
