osmid,name,highway,oneway,reversed,length,geometry,bridge,ref,lanes
89073410,Rua César Muller,residential,False,False,28.162,"LINESTRING (-40.5278433 -20.100279, -40.527898 -20.100527)",,,
"[89074467, 919220702]",Rua Bernardino Monteiro,residential,False,True,208.139,"LINESTRING (-40.5303669 -20.0977982, -40.530265 -20.0978511, -40.5301952 -20.0979216, -40.5299941 -20.098113, -40.5297057 -20.0984367, -40.5296567 -20.0984839, -40.5294643 -20.0986093, -40.5293591 -20.0987396, -40.529343 -20.0987667, -40.5293276 -20.0988006, -40.5291998 -20.0991464, -40.5292042 -20.0992383)",,,
"[996517682, 996517683, 177480253]",Rua Vereador Sebastião José Siller,residential,False,True,74.222,"LINESTRING (-40.5277352 -20.102504, -40.5276093 -20.1022082, -40.5275546 -20.1020961, -40.5274554 -20.1018906)",yes,,
673516917,Rua Porfírio Furtado,residential,False,True,144.77899999999997,"LINESTRING (-40.5277352 -20.102504, -40.5280857 -20.1021514, -40.5282875 -20.1019492, -40.5283747 -20.1018548, -40.5284139 -20.1017866, -40.528421 -20.101727, -40.5284156 -20.1016816, -40.5283894 -20.1016293, -40.5283311 -20.1015557, -40.5282628 -20.1015001)",,,
840271943,,residential,False,False,9.171,"LINESTRING (-40.5295582 -20.0952541, -40.5295028 -20.0951901)",,,
89073273,,secondary,False,True,301.38100000000003,"LINESTRING (-40.5295582 -20.0952541, -40.5293195 -20.0954342, -40.5292176 -20.0954997, -40.5287696 -20.0956647, -40.5285443 -20.0958032, -40.5284572 -20.0958926, -40.5283591 -20.0960189, -40.5280575 -20.0964052, -40.527733 -20.0967075, -40.5274413 -20.0969201, -40.5273729 -20.0969467)",,ES-080,
"[31609340, 829874163, 89073316]",Rua Marechal Floriano Peixoto,primary,False,True,235.252,"LINESTRING (-40.5296908 -20.1000478, -40.5298431 -20.0999611, -40.5299956 -20.0998516, -40.5301155 -20.0997387, -40.5306844 -20.0988587, -40.5307989 -20.0987216, -40.5308852 -20.098642, -40.530989 -20.0985782, -40.5311483 -20.0984876)",,ES-264,
"[89074065, 89074642, 89075043]",,secondary,False,False,103.892,"LINESTRING (-40.5296908 -20.1000478, -40.5295855 -20.0998487, -40.5292816 -20.0993109, -40.5292434 -20.0992682, -40.5292042 -20.0992383)",yes,ES-264;ES-080,
673516922,Avenida Presidente Getúlio Vargas,primary,False,False,128.54399999999998,"LINESTRING (-40.5296908 -20.1000478, -40.5292792 -20.1001694, -40.5285194 -20.1004031)",,ES-080,
89073410,Rua César Muller,residential,False,True,67.293,"LINESTRING (-40.5280191 -20.1011214, -40.527898 -20.100527)",,,
177480333,Rua Costa Pereira,residential,False,True,84.745,"LINESTRING (-40.5280191 -20.1011214, -40.5272891 -20.1014544)",,,
829874157,Rua Costa Pereira,residential,False,False,75.32600000000001,"LINESTRING (-40.5280191 -20.1011214, -40.5286333 -20.1008292, -40.5286636 -20.1008173)",,,
829874158,Rua Porfírio Furtado,residential,False,False,26.285999999999998,"LINESTRING (-40.5280191 -20.1011214, -40.5280852 -20.1012856, -40.5281058 -20.1013433)",,,
89073273,,secondary,False,False,547.9840000000002,"LINESTRING (-40.5274004 -20.0994405, -40.5268262 -20.0993717, -40.5267459 -20.0993605, -40.5266715 -20.0993416, -40.5263221 -20.0992251, -40.5262484 -20.0991974, -40.5261692 -20.0991798, -40.5259117 -20.0991382, -40.5258501 -20.0991143, -40.5257964 -20.0990765, -40.5257388 -20.0990097, -40.5255808 -20.0987041, -40.525378 -20.0982654, -40.5253646 -20.0981735, -40.5253605 -20.0980879, -40.5253767 -20.0979908, -40.5254062 -20.0979169, -40.5254518 -20.0978511, -40.5255255 -20.0977843, -40.525608 -20.0977206, -40.526031 -20.0974947, -40.5273729 -20.0969467)",,ES-080,
89074065,,secondary,False,True,196.35399999999998,"LINESTRING (-40.5274004 -20.0994405, -40.5276785 -20.099378, -40.5281896 -20.0992603, -40.5282486 -20.0992509, -40.5283116 -20.0992509, -40.5283653 -20.0992584, -40.5287254 -20.0993639, -40.5287723 -20.0993706, -40.5288146 -20.0993619, -40.5290989 -20.0992339, -40.5291556 -20.0992257, -40.5292042 -20.0992383)",,ES-264;ES-080,
"[323560137, 996837180, 996837181]",,secondary,False,False,894.6179999999999,"LINESTRING (-40.5274004 -20.0994405, -40.5272803 -20.0994789, -40.5272046 -20.0994883, -40.5270061 -20.0994934, -40.5266451 -20.0994815, -40.5260126 -20.0994275, -40.5259413 -20.0994153, -40.5258581 -20.0993888, -40.5257897 -20.0993624, -40.5257039 -20.0993157, -40.5255075 -20.0991664, -40.5254303 -20.0990916, -40.5253407 -20.0989803, -40.5250414 -20.0985664, -40.5247933 -20.0982969, -40.5247329 -20.0982251, -40.5247021 -20.0981609, -40.5246967 -20.0980803, -40.5247061 -20.0980223, -40.5247563 -20.0979304, -40.5250612 -20.0975963, -40.5254973 -20.0971143, -40.5256757 -20.0969103, -40.5257012 -20.0968271, -40.5257173 -20.0967516, -40.5257092 -20.0966722, -40.525669 -20.096574, -40.5253887 -20.0961836, -40.5252814 -20.0961017, -40.5250776 -20.0959241, -40.5246672 -20.0954531, -40.5243225 -20.0951609, -40.5238062 -20.0946105, -40.523601 -20.0943158)",yes,ES-264,
