osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,ref,junction
278462034,Rua Hidelberto Luiz Rego,residential,False,False,68.878,"LINESTRING (-37.0782935 -10.7328656, -37.0778771 -10.7333307)",,,,
278462132,Rua João da Silva Lisboa,residential,False,True,106.79,"LINESTRING (-37.0782935 -10.7328656, -37.0782896 -10.733151, -37.0782875 -10.7333079, -37.0782859 -10.733423, -37.0782837 -10.7335841, -37.0782804 -10.7338259)",,,,
829942344,,residential,False,True,11.068,"LINESTRING (-37.0799766 -10.732807, -37.0800778 -10.7328116)",,,,
278462117,Rua C,residential,False,True,77.202,"LINESTRING (-37.080988 -10.7330056, -37.080378 -10.7333561)",,,,
317747785,Rua Acelino de Oliveira,residential,False,False,65.184,"LINESTRING (-37.080988 -10.7330056, -37.0812607 -10.733527)",,,,
338232077,Avenida Luiz Gonzaga do Nascimento,residential,True,False,45.806,"LINESTRING (-37.0795424 -10.7332083, -37.0799573 -10.7332677)",,,,
819822170,Rua São Benedito,residential,False,True,29.975,"LINESTRING (-37.0820741 -10.7332346, -37.0818347 -10.7333663)",,,,
338232168,Rua Rosário,residential,False,True,81.85900000000001,"LINESTRING (-37.0820741 -10.7332346, -37.0822967 -10.7336222, -37.0823612 -10.7337517, -37.0824261 -10.7338841)",,,,
338232077,Avenida Luiz Gonzaga do Nascimento,residential,True,False,36.234,"LINESTRING (-37.0800534 -10.7332892, -37.080378 -10.7333561)",,,,
338232214,,residential,True,False,12.324,"LINESTRING (-37.0800534 -10.7332892, -37.0800396 -10.7333992)",,,,
278462282,Travessa Engenheiro Paulo Barreto,residential,False,True,65.665,"LINESTRING (-37.08298 -10.7333637, -37.0829867 -10.7334276, -37.082992 -10.7334697, -37.0829833 -10.7335422, -37.0829699 -10.7336022, -37.0829465 -10.7336825, -37.082923 -10.7337702, -37.0829042 -10.7338341, -37.0828751 -10.733939)",,,,
338232077,Avenida Luiz Gonzaga do Nascimento,residential,True,False,47.613,"LINESTRING (-37.0791142 -10.7332846, -37.0792973 -10.7332411, -37.079412 -10.7332227, -37.0795424 -10.7332083)",,,,
278462117,Rua C,residential,False,False,77.202,"LINESTRING (-37.080378 -10.7333561, -37.080988 -10.7330056)",,,,
338232077,Avenida Luiz Gonzaga do Nascimento,residential,True,False,98.602,"LINESTRING (-37.080378 -10.7333561, -37.0806746 -10.7334256, -37.0809737 -10.7334967, -37.081136 -10.733527, -37.0812607 -10.733527)",,,,
819822169,Rua São Benedito,residential,True,False,16.445,"LINESTRING (-37.0816858 -10.7333446, -37.0818347 -10.7333663)",,,,
