osmid,oneway,ref,name,highway,maxspeed,reversed,length,junction,geometry
399247024,True,MS-160,Rua José Remijo Perecin Filho,primary,80,False,18.737,,"LINESTRING (-55.0140054 -23.6356264, -55.0141189 -23.6354938)"
777388580,True,MS-160,,primary,,False,12.056,roundabout,"LINESTRING (-55.0140054 -23.6356264, -55.0140289 -23.6356291, -55.0140508 -23.6356373, -55.0140697 -23.6356503, -55.0140843 -23.6356674, -55.0140937 -23.6356873)"
399247024,True,MS-160,Rua José Remijo Perecin Filho,primary,80,False,13.577,,"LINESTRING (-55.0162534 -23.6330932, -55.0163382 -23.632999)"
591250708,True,MS-160,Avenida Francisco Serejo Neto,primary,80,False,118.312,,"LINESTRING (-55.0162534 -23.6330932, -55.0159869 -23.6328874, -55.0153657 -23.6324071)"
243914129,False,,,residential,,False,126.594,,"LINESTRING (-55.0149867 -23.6364848, -55.0142207 -23.6373813)"
243914129,False,,,residential,,True,9.681,,"LINESTRING (-55.0149867 -23.6364848, -55.0150417 -23.6364138)"
591250706,True,MS-160,Avenida José de La Paz Ortiz,primary,80,False,123.993,,"LINESTRING (-55.0149867 -23.6364848, -55.0140351 -23.6357895)"
243914141,True,,Avenida José Carlos de Castro Alexandria,residential,,False,44.234,,"LINESTRING (-55.0146936 -23.6348223, -55.0143561 -23.634572)"
399247024,True,MS-160,Rua José Remijo Perecin Filho,primary,80,False,10.365,,"LINESTRING (-55.0146936 -23.6348223, -55.0147559 -23.6347486)"
327120079,True,,Rua Luiz de Paula,residential,,False,111.701,,"LINESTRING (-55.0154978 -23.6339183, -55.0146204 -23.6333158)"
399247024,True,MS-160,Rua José Remijo Perecin Filho,primary,80,False,8.516,,"LINESTRING (-55.0154978 -23.6339183, -55.0155482 -23.6338572)"
777388581,True,MS-160,,primary,,False,8.046,roundabout,"LINESTRING (-55.0140351 -23.6357895, -55.0140092 -23.6357939, -55.013983 -23.6357913, -55.0139587 -23.6357821)"
327119878,True,,Rua Luiz de Paula,residential,,False,12.719,,"LINESTRING (-55.0155482 -23.6338572, -55.0156418 -23.6339329)"
399247024,True,MS-160,Rua José Remijo Perecin Filho,primary,80,False,111.255,,"LINESTRING (-55.0155482 -23.6338572, -55.0162534 -23.6330932)"
243911735,True,,Rua Izidora Vilhalva,residential,,False,114.018,,"LINESTRING (-55.0144046 -23.6317074, -55.0137155 -23.6325154)"
591250708,True,MS-160,Avenida Francisco Serejo Neto,primary,80,False,11.957,,"LINESTRING (-55.0144046 -23.6317074, -55.0143155 -23.6316374)"
243911729,True,MS-160,Avenida Francisco Serejo Neto,primary,,False,118.407,,"LINESTRING (-55.0144688 -23.631632, -55.0153753 -23.6322985)"
243911735,True,,Rua Izidora Vilhalva,residential,,False,10.633,,"LINESTRING (-55.0144688 -23.631632, -55.0144046 -23.6317074)"
"[399247026, 399244758]",False,,,residential,,False,235.251,,"LINESTRING (-55.0144688 -23.631632, -55.0151293 -23.6308715, -55.0151753 -23.6308439, -55.0152099 -23.6308356, -55.0152394 -23.6308399, -55.0153034 -23.630882, -55.0154087 -23.6309557, -55.0156474 -23.6311339, -55.0161204 -23.6314848)"
243911729,True,MS-160,Avenida Francisco Serejo Neto,primary,,False,5.223,,"LINESTRING (-55.0163382 -23.632999, -55.0163748 -23.6330319)"
