osmid,oneway,name,highway,reversed,length,bridge,lanes,geometry,ref
"[241518145, 241518474, 241518476, 241518481, 241518136, 241518142]",False,"['Rua Bertoldo Venturini', 'Avenida Henrique Gaburro']",residential,False,725.2789999999999,yes,2,"LINESTRING (-40.3341274 -19.2611315, -40.3342039 -19.2611153, -40.3342408 -19.2611081, -40.3342796 -19.2611074, -40.3343286 -19.26111, -40.3344209 -19.2611424, -40.3344822 -19.2611805, -40.334555 -19.2612432, -40.3346377 -19.2613236, -40.3347428 -19.2614508, -40.3352275 -19.2621927, -40.3352476 -19.2622114, -40.3352744 -19.2622263, -40.3352955 -19.2622336, -40.3353163 -19.2622329, -40.3353304 -19.2622203, -40.3353411 -19.262201, -40.3353512 -19.2621763, -40.3355262 -19.2618294, -40.3355433 -19.2618097, -40.3355547 -19.261806, -40.3355703 -19.2618064, -40.3355891 -19.2618093, -40.3356157 -19.2618169, -40.3362004 -19.2620054, -40.3362279 -19.2620076, -40.3362601 -19.2620009, -40.3362886 -19.2619848, -40.3363729 -19.2619154, -40.3363873 -19.2619052, -40.3364053 -19.2618984, -40.3364259 -19.2618974, -40.336468 -19.2619019, -40.3367813 -19.2619932, -40.3368939 -19.2615627, -40.3369476 -19.2614159, -40.3371031 -19.2613095, -40.3372211 -19.2612483, -40.3373928 -19.2612128, -40.3375215 -19.2611318, -40.3376181 -19.261031, -40.33772 -19.2608482, -40.3378273 -19.2607727, -40.3379936 -19.2606866, -40.3381653 -19.2605904, -40.3382028 -19.260479, -40.3380687 -19.2603828, -40.3378112 -19.2603114, -40.3376986 -19.2603316, -40.3376498 -19.2603808, -40.3375926 -19.2603762, -40.3374639 -19.2603724, -40.3372855 -19.2603676)",
"[978507136, 252372826, 241518139, 930195819]",False,"['Rua Atilho Pezzin', 'Rua Faustino Carminati']",primary,False,62.695,yes,2,"LINESTRING (-40.3341274 -19.2611315, -40.3341269 -19.2611206, -40.3341234 -19.2611089, -40.3341165 -19.2610978, -40.3340818 -19.2610625, -40.3339811 -19.2609833, -40.3338897 -19.2609223, -40.3337506 -19.2608264, -40.333708 -19.2607919, -40.3336809 -19.2607684)",ES-245
252372826,False,Rua Atilho Pezzin,primary,True,4.05,,,"LINESTRING (-40.3341274 -19.2611315, -40.3341253 -19.2611453, -40.334118 -19.2611667)",ES-245
241518134,False,Rodovia Estadual Sebastião Pereira da Silva,primary,True,216.758,,,"LINESTRING (-40.3321185 -19.2574125, -40.3321537 -19.2575166, -40.3322019 -19.2576293, -40.332273 -19.2577382, -40.332328 -19.2578084, -40.3323937 -19.2578895, -40.3325835 -19.2580927, -40.3327987 -19.2583174, -40.3329221 -19.2584706, -40.3330696 -19.2587086, -40.3331394 -19.2588377, -40.3332272 -19.2590352)",ES-245
323908808,False,,secondary,False,81.327,,,"LINESTRING (-40.3321185 -19.2574125, -40.3318877 -19.2573299, -40.3317621 -19.2572684, -40.3316434 -19.2571748, -40.3315596 -19.257083, -40.3315005 -19.2570029)",ES-356
241516358,False,Rua Guerino Gilbert,secondary,True,307.64199999999994,,,"LINESTRING (-40.3336809 -19.2607684, -40.3340399 -19.2602867, -40.3341419 -19.2601778, -40.3342525 -19.2601291, -40.334319 -19.2601144, -40.3344087 -19.2601297, -40.3344907 -19.2601549, -40.3347267 -19.2603068, -40.3350672 -19.2605842, -40.3352489 -19.2607026, -40.3354133 -19.260793, -40.3356251 -19.2608482, -40.3358276 -19.2608685, -40.3360419 -19.2608884)",ES-360
241518134,False,Rodovia Estadual Sebastião Pereira da Silva,primary,False,86.606,,,"LINESTRING (-40.3336809 -19.2607684, -40.3336523 -19.260702, -40.3335901 -19.2604664, -40.3334982 -19.2602395, -40.333425 -19.2600291)",ES-245
241518137,False,Avenida Henrique Gaburro,residential,True,282.16300000000007,,,"LINESTRING (-40.3336809 -19.2607684, -40.3335913 -19.2608932, -40.333417 -19.2611628, -40.33336 -19.2612806, -40.3333204 -19.2614008, -40.3332862 -19.2615471, -40.3332567 -19.2617655, -40.3332366 -19.2620465, -40.3332151 -19.2623149, -40.3331877 -19.2624649, -40.3331139 -19.26277, -40.3330817 -19.2628976, -40.3330207 -19.2631904)",
"[978507136, 241518139, 252372826, 930195819]",False,"['Rua Atilho Pezzin', 'Rua Faustino Carminati']",primary,True,62.69499999999999,yes,2,"LINESTRING (-40.3336809 -19.2607684, -40.333708 -19.2607919, -40.3337506 -19.2608264, -40.3338897 -19.2609223, -40.3339811 -19.2609833, -40.3340818 -19.2610625, -40.3341165 -19.2610978, -40.3341234 -19.2611089, -40.3341269 -19.2611206, -40.3341274 -19.2611315)",ES-245
252372826,False,Rua Atilho Pezzin,primary,False,392.86699999999996,,,"LINESTRING (-40.3338287 -19.264621, -40.3338227 -19.2645013, -40.3338079 -19.2641715, -40.3338046 -19.2637544, -40.3338026 -19.2634607, -40.3337813 -19.2632278, -40.3337355 -19.262853, -40.3336953 -19.262551, -40.3336946 -19.2624358, -40.3337134 -19.2622295, -40.3337513 -19.2620187, -40.3337985 -19.2618642, -40.3338917 -19.2616426, -40.3341035 -19.2611967, -40.334118 -19.2611667)",ES-245
