osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,junction,bridge
115413952,Rua Gerson Passos Martins,residential,False,False,98.968,,,"LINESTRING (-40.7312952 -20.8395168, -40.7317416 -20.840303)",,,
424967529,Rua Miguel Metri,primary,False,False,54.028,ES-060,40,"LINESTRING (-40.7312952 -20.8395168, -40.7308251 -20.8393093)",,,
115413889,Rua A de S Golçalves,residential,False,True,30.014,,,"LINESTRING (-40.7308251 -20.8393093, -40.7305828 -20.8394562)",,,
424967529,Rua Miguel Metri,primary,False,True,54.028,ES-060,40,"LINESTRING (-40.7308251 -20.8393093, -40.7312952 -20.8395168)",,,
424967529,Rua Miguel Metri,primary,False,False,95.211,ES-060,40,"LINESTRING (-40.7308251 -20.8393093, -40.7304946 -20.8391627, -40.7301774 -20.8389878, -40.7300237 -20.8388966)",,,
424967529,Rua Miguel Metri,primary,False,False,39.007999999999996,ES-060,40,"LINESTRING (-40.7300237 -20.8388966, -40.7299215 -20.8388883, -40.7298497 -20.8388896, -40.7297672 -20.8389037, -40.7296557 -20.8389371)",,,
424967529,Rua Miguel Metri,primary,False,True,95.21100000000001,ES-060,40,"LINESTRING (-40.7300237 -20.8388966, -40.7301774 -20.8389878, -40.7304946 -20.8391627, -40.7308251 -20.8393093)",,,
424967529,Rua Miguel Metri,primary,False,True,39.008,ES-060,40,"LINESTRING (-40.7296557 -20.8389371, -40.7297672 -20.8389037, -40.7298497 -20.8388896, -40.7299215 -20.8388883, -40.7300237 -20.8388966)",,,
792373860,Rua Henrique B Filho,residential,False,False,98.394,,,"LINESTRING (-40.7296557 -20.8389371, -40.7297001 -20.8390149, -40.7301014 -20.8397178)",,,
792373861,Avenida Eduardo Rodrigues,primary,False,False,14.59,ES-060,40,"LINESTRING (-40.7296557 -20.8389371, -40.7295938 -20.8389762, -40.7295518 -20.8390234)",,,
40418210,Avenida Eduardo Rodrigues,primary,True,False,45.982,ES-060,40,"LINESTRING (-40.7294893 -20.8391371, -40.7293633 -20.8395335)",,,
792373861,Avenida Eduardo Rodrigues,primary,False,True,14.214,ES-060,40,"LINESTRING (-40.7294893 -20.8391371, -40.7295518 -20.8390234)",,,
25734275,Avenida Danilo M. de Castro,tertiary,True,False,71.498,,,"LINESTRING (-40.7274038 -20.8389864, -40.7273524 -20.8396276)",,,
25864017,Rua João Bayerl,primary,True,False,62.763,ES-060,40,"LINESTRING (-40.7274038 -20.8389864, -40.7280069 -20.8390163)",,,
174793308,Rua João Bayerl,residential,False,False,49.101,,,"LINESTRING (-40.7274038 -20.8389864, -40.7269316 -20.8389711)",,,
25864019,Avenida Beira Mar,residential,False,True,75.185,,40,"LINESTRING (-40.7272657 -20.8417281, -40.726543 -20.8416964)",2,,
311295472,Avenida Beira Mar,tertiary,False,False,60.223,,40,"LINESTRING (-40.7272657 -20.8417281, -40.7276991 -20.8417723, -40.7278418 -20.8417868)",2,,
25864019,Avenida Beira Mar,residential,False,False,75.185,,40,"LINESTRING (-40.726543 -20.8416964, -40.7272657 -20.8417281)",2,,
115433611,Rua Elizeu Xavier,residential,True,False,89.802,,,"LINESTRING (-40.726543 -20.8416964, -40.7266069 -20.840891)",,,
40418211,Rua Augusto da Costa Oliveira,residential,False,False,136.586,,,"LINESTRING (-40.726543 -20.8416964, -40.7260019 -20.8416975, -40.7254984 -20.841704, -40.7252287 -20.8417046)",,,
115425940,Rua Adalberto Taylor,residential,False,False,62.348,,,"LINESTRING (-40.7266882 -20.839787, -40.7260884 -20.8398)",,,
