osmid,oneway,name,highway,reversed,length,geometry,ref,bridge,lanes,junction
140008353,True,Avenida José Alves de Figueiredo,residential,False,40.119,"LINESTRING (-39.415952 -7.2336757, -39.4162618 -7.2338647)",,,,
481943971,False,Rua Rio Grangeiro,residential,False,51.476,"LINESTRING (-39.415952 -7.2336757, -39.4161601 -7.2334783, -39.4162128 -7.2334456, -39.4163165 -7.2333928)",,,,
140008353,True,Avenida José Alves de Figueiredo,residential,False,128.5,"LINESTRING (-39.4149368 -7.2327524, -39.4150843 -7.2330544, -39.4151232 -7.2331209, -39.4151808 -7.2331742, -39.4154303 -7.2333445, -39.4157361 -7.2335467)",,,,
498974722,False,Ladeira São José,residential,True,59.062,"LINESTRING (-39.4149368 -7.2327524, -39.4152144 -7.2328123, -39.4153404 -7.2328336, -39.4154638 -7.2328389)",,,,
497783582,False,Avenida Duque de Caxias,secondary,False,81.274,"LINESTRING (-39.4108541 -7.234946, -39.4114701 -7.234545)",,,,
140008334,False,Rua Araripe,residential,True,57.669,"LINESTRING (-39.4147061 -7.2327777, -39.4142434 -7.2330191)",,,,
497783580,True,Rua Dom Quintino,secondary,False,121.315,"LINESTRING (-39.4127057 -7.2340548, -39.4133291 -7.2349536)",,,,
497783580,True,Rua Dom Quintino,secondary,False,181.35,"LINESTRING (-39.413376 -7.2350212, -39.4138075 -7.2356474, -39.4140355 -7.236, -39.4140811 -7.2360632, -39.4141307 -7.2361191, -39.414354 -7.2363233)",,,,
130706140,False,Rua Coronel Segundo,residential,False,124.304,"LINESTRING (-39.4151663 -7.2355485, -39.414354 -7.2363233)",,,,
130706140,False,Rua Coronel Segundo,residential,True,193.204,"LINESTRING (-39.4151663 -7.2355485, -39.4164321 -7.2343476)",,,,
498974714,False,Rua Coronel Teófilo Siqueira,residential,False,77.526,"LINESTRING (-39.4151663 -7.2355485, -39.415683 -7.2360211)",,,,
498974714,False,Rua Coronel Teófilo Siqueira,residential,True,53.961,"LINESTRING (-39.4151663 -7.2355485, -39.4147863 -7.2352429)",,,,
130706108,False,Rua Brigadeiro Leandro Bezerra,residential,False,184.384,"LINESTRING (-39.4128886 -7.2363744, -39.4136246 -7.2378632)",,,,
130706108,False,Rua Brigadeiro Leandro Bezerra,residential,True,122.1,"LINESTRING (-39.4128886 -7.2363744, -39.4123939 -7.2353921)",,,,
498974705,False,Rua Rodolfo Teófilo,residential,False,48.251,"LINESTRING (-39.4128886 -7.2363744, -39.4125001 -7.2365738)",,,,
"[498974705, 308662549]",False,"['Rua Carolino Sucupira', 'Rua Rodolfo Teófilo']",residential,True,196.383,"LINESTRING (-39.4128886 -7.2363744, -39.4130949 -7.2362821, -39.4131283 -7.2362794, -39.4131584 -7.2362894, -39.413202 -7.236318, -39.4141974 -7.2373454)",,,,
157798915,True,Avenida Maria Maildes de Siqueira,secondary,False,98.249,"LINESTRING (-39.4141974 -7.2373454, -39.414814 -7.2367078)",,,,
"[498974705, 308662549]",False,"['Rua Carolino Sucupira', 'Rua Rodolfo Teófilo']",residential,False,196.383,"LINESTRING (-39.4141974 -7.2373454, -39.413202 -7.236318, -39.4131584 -7.2362894, -39.4131283 -7.2362794, -39.4130949 -7.2362821, -39.4128886 -7.2363744)",,,,
770099700,False,Rua Carolino Sucupira,tertiary,True,9.32,"LINESTRING (-39.4141974 -7.2373454, -39.414238 -7.2373735, -39.414266 -7.2373943)",,,,
130706140,False,Rua Coronel Segundo,residential,True,124.304,"LINESTRING (-39.414354 -7.2363233, -39.4151663 -7.2355485)",,,,
497783580,True,Rua Dom Quintino,secondary,False,66.353,"LINESTRING (-39.414354 -7.2363233, -39.414814 -7.2367078)",,,,
130706119,False,Rua Nossa Senhora de Fátima,residential,False,58.031,"LINESTRING (-39.417855 -7.2392809, -39.418177 -7.2388682)",,,,
130706119,False,Rua Nossa Senhora de Fátima,residential,True,7.959,"LINESTRING (-39.417855 -7.2392809, -39.4178193 -7.2393431)",,,,
157798927,True,Rua Coronel Antônio Luiz,tertiary,False,85.97,"LINESTRING (-39.417855 -7.2392809, -39.4180361 -7.2394295, -39.4184411 -7.2397903)",,,,
497783595,False,Rua Padre Sucupira,residential,False,107.09,"LINESTRING (-39.410559 -7.2362867, -39.411405 -7.2358143)",,,,
1242491592,False,Rua Padre Sucupira,residential,True,12.61,"LINESTRING (-39.410559 -7.2362867, -39.4104571 -7.2363381)",,,,
498974711,True,Rua Lemos Vicente,residential,False,31.101,"LINESTRING (-39.4144602 -7.23374, -39.4144164 -7.2340163)",,,,
749974795,True,Rua Doutor Irineu Pinheiro,tertiary,False,38.566,"LINESTRING (-39.4186704 -7.2399899, -39.4183211 -7.239975)",,,,
157798924,False,Rua Doutor Irineu Pinheiro,tertiary,True,66.92,"LINESTRING (-39.4186704 -7.2399899, -39.418893 -7.2400019, -39.4189869 -7.2399966, -39.4192752 -7.2399686)",CE-492,,,
130706119,False,Rua Nossa Senhora de Fátima,residential,False,75.258,"LINESTRING (-39.418483 -7.2384966, -39.4189361 -7.2379906)",,,,
