osmid,oneway,name,highway,reversed,length,junction,geometry,bridge
191316347,False,Avenida Luiz Fávero,secondary,False,1.618,,"LINESTRING (-47.2121051 -22.4909991, -47.2121107 -22.4909855)",
628656140,True,,secondary,False,45.04600000000001,roundabout,"LINESTRING (-47.2121051 -22.4909991, -47.2121257 -22.491033, -47.212145 -22.4910695, -47.2121589 -22.4911081, -47.2121672 -22.4911481, -47.2121696 -22.4911888, -47.2121662 -22.4912293, -47.212157 -22.4912691, -47.2121423 -22.4913075, -47.2121222 -22.4913437, -47.212097 -22.4913771)",
334958533,False,Rua Antônio Batistela,residential,False,5.691,,"LINESTRING (-47.2103969 -22.4928889, -47.2104493 -22.4929055)",
334958533,False,Rua Antônio Batistela,residential,True,65.138,,"LINESTRING (-47.2103969 -22.4928889, -47.2099828 -22.4924453)",
334958534,False,Rua Natal Marrafão,residential,False,11.874,,"LINESTRING (-47.2108594 -22.4924054, -47.2109464 -22.4924757)",
334910775,True,Avenida Francisco Ribeiro de Souza Filho,secondary,False,136.54500000000002,,"LINESTRING (-47.2108594 -22.4924054, -47.2115407 -22.4915814, -47.2115975 -22.4913977)",
334910776,True,Avenida Francisco Ribeiro de Souza Filho,secondary,False,121.4,,"LINESTRING (-47.2116853 -22.4916237, -47.2109464 -22.4924757)",
334910777,False,Rua Um,residential,True,300.62199999999996,,"LINESTRING (-47.2116853 -22.4916237, -47.2127225 -22.4930558, -47.2127614 -22.4931388, -47.2127916 -22.4932466, -47.2128305 -22.4934232, -47.2128318 -22.4935335, -47.212809 -22.4936661, -47.2127695 -22.4937924, -47.2127105 -22.4938934, -47.2126407 -22.4939795)",
334910776,True,Avenida Francisco Ribeiro de Souza Filho,secondary,False,65.407,,"LINESTRING (-47.2109464 -22.4924757, -47.2105507 -22.4929365)",
334958534,False,Rua Natal Marrafão,residential,False,241.37,,"LINESTRING (-47.2109464 -22.4924757, -47.2126407 -22.4939795)",
334958534,False,Rua Natal Marrafão,residential,True,11.874,,"LINESTRING (-47.2109464 -22.4924757, -47.2108594 -22.4924054)",
334958533,False,Rua Antônio Batistela,residential,True,10.973,,"LINESTRING (-47.2105507 -22.4929365, -47.2104493 -22.4929055)",
631020578,False,Rua Gentil Cardoso,residential,False,63.751,,"LINESTRING (-47.2105507 -22.4929365, -47.2110021 -22.4933299)",
334958523,False,Rua Amadeu Jorge Teresani,residential,True,28.176,,"LINESTRING (-47.2117005 -22.4909059, -47.2115917 -22.4906733)",
