osmid,oneway,highway,junction,reversed,length,name,geometry,bridge,maxspeed
156843326,True,secondary,circular,False,3.256,,"LINESTRING (-49.7472094 -21.6734631, -49.7471819 -21.6734774)",,
156843473,True,secondary,,False,35.476,Avenida Tiradentes,"LINESTRING (-49.7472094 -21.6734631, -49.7471513 -21.6736676, -49.7471492 -21.6737063, -49.7471546 -21.6737749)",,
156986181,False,tertiary,,True,65.665,Avenida Arquiteto Luiz Saia,"LINESTRING (-49.7495753 -21.6700055, -49.7493442 -21.6705556)",,
353044150,True,secondary,,False,73.147,Rua Floriano Peixoto,"LINESTRING (-49.7495753 -21.6700055, -49.7488987 -21.6698122)",,
156843473,True,secondary,,False,98.479,Avenida Tiradentes,"LINESTRING (-49.7480544 -21.6751288, -49.7486392 -21.6758281)",,
"[1119557601, 783043446, 783043447]",False,tertiary,,False,25.686999999999998,Rua Sete de Setembro,"LINESTRING (-49.7480544 -21.6751288, -49.7480096 -21.6751601, -49.7478968 -21.6752474, -49.7478607 -21.6752735)",yes,
156822825,True,residential,,False,119.923,Rua Quinze de Novembro,"LINESTRING (-49.7493 -21.6765655, -49.7502136 -21.6759004)",,
156843473,True,secondary,,False,103.349,Avenida Tiradentes,"LINESTRING (-49.7493 -21.6765655, -49.7496651 -21.6774308)",,
133980069,True,secondary,,False,102.817,Rua Doutor Érico de Abreu Sodré,"LINESTRING (-49.7544138 -21.6728063, -49.7544404 -21.6727683, -49.7549276 -21.6720145)",,
178686644,True,secondary,,False,108.761,Rua Floriano Peixoto,"LINESTRING (-49.7544138 -21.6728063, -49.7538413 -21.6724594, -49.7536764 -21.6723759, -49.7535197 -21.6722912)",,
"[1119557601, 783043446, 783043447]",False,tertiary,,True,25.686999999999998,Rua Sete de Setembro,"LINESTRING (-49.7478607 -21.6752735, -49.7478968 -21.6752474, -49.7480096 -21.6751601, -49.7480544 -21.6751288)",yes,
843697266,False,tertiary,,False,56.958000000000006,Rua Sete de Setembro,"LINESTRING (-49.7478607 -21.6752735, -49.7474617 -21.6755585, -49.7474237 -21.6755857)",,50
156822824,False,residential,,False,59.043,Rua Vinte e Um de Abril,"LINESTRING (-49.7484903 -21.6759621, -49.7480544 -21.6763054)",,40
262311259,True,secondary,,False,100.476,Avenida Tiradentes,"LINESTRING (-49.7484903 -21.6759621, -49.7478607 -21.6752735)",,
