osmid,oneway,lanes,ref,highway,reversed,length,geometry,name
221145203,False,,,residential,True,131.197,"LINESTRING (-39.6948026 -12.7036044, -39.696009 -12.7036887)",
221145209,False,,,residential,False,51.918,"LINESTRING (-39.6948026 -12.7036044, -39.6948384 -12.7031388)",
221145209,False,,,residential,True,50.006,"LINESTRING (-39.6948026 -12.7036044, -39.6947687 -12.7040529)",
221145194,False,,,residential,False,49.334,"LINESTRING (-39.696009 -12.7036887, -39.6959708 -12.7041308)",
221145194,False,,,residential,True,50.543,"LINESTRING (-39.696009 -12.7036887, -39.6960434 -12.7032354)",
221145203,False,,,residential,False,131.197,"LINESTRING (-39.696009 -12.7036887, -39.6948026 -12.7036044)",
221145203,False,,,residential,True,98.963,"LINESTRING (-39.696009 -12.7036887, -39.6969196 -12.7037435)",
221145180,False,,,residential,False,51.4,"LINESTRING (-39.6947687 -12.7040529, -39.6942953 -12.7040328)",
221145180,False,,,residential,True,130.683,"LINESTRING (-39.6947687 -12.7040529, -39.6959708 -12.7041308)",
221145209,False,,,residential,False,50.006,"LINESTRING (-39.6947687 -12.7040529, -39.6948026 -12.7036044)",
221145209,False,,,residential,True,39.536,"LINESTRING (-39.6947687 -12.7040529, -39.6947381 -12.7044072)",
221145180,False,,,residential,False,130.683,"LINESTRING (-39.6959708 -12.7041308, -39.6947687 -12.7040529)",
221145180,False,,,residential,True,99.194,"LINESTRING (-39.6959708 -12.7041308, -39.6968826 -12.7041988)",
221145194,False,,,residential,False,50.967,"LINESTRING (-39.6959708 -12.7041308, -39.6959438 -12.7045884)",
221145194,False,,,residential,True,49.334,"LINESTRING (-39.6959708 -12.7041308, -39.696009 -12.7036887)",
221145211,False,,,residential,False,6.309,"LINESTRING (-39.6947449 -12.7045147, -39.6946868 -12.704512)",
221145211,False,,,residential,True,130.306,"LINESTRING (-39.6947449 -12.7045147, -39.6959438 -12.7045884)",
814556581,True,,,residential,False,50.025,"LINESTRING (-39.6947449 -12.7045147, -39.6947286 -12.7049643)",
