osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge,maxspeed
204737060,True,SP-066,Rua Alfredo Schurig,primary,False,81.128,"LINESTRING (-45.9711223 -23.3055538, -45.9709875 -23.3055202, -45.9708214 -23.305486, -45.9706699 -23.3054805, -45.9705128 -23.3054874, -45.9703388 -23.3055092)",,,
204736613,True,SP-066,Avenida Luís Simon,primary,False,47.638,"LINESTRING (-45.9733142 -23.3026218, -45.973523 -23.3030049)",,,
204736642,True,,Rua Omar Simão Racy,tertiary,False,139.602,"LINESTRING (-45.9733142 -23.3026218, -45.9738947 -23.3023532, -45.9740824 -23.3022565, -45.9741823 -23.3021905, -45.9743043 -23.3021055, -45.974473 -23.301968)",,,
832592469,False,,Rua Luiz Simon,secondary,True,159.369,"LINESTRING (-45.9733142 -23.3026218, -45.9730145 -23.3021289, -45.9725779 -23.3013583)",,,
204736795,True,,Rua Treze de Maio,residential,False,72.074,"LINESTRING (-45.9722414 -23.3059757, -45.9725684 -23.3054013)",,,
615396904,True,SP-066,Rua 15 de Novembro,primary,False,84.002,"LINESTRING (-45.9722414 -23.3059757, -45.9720284 -23.305884, -45.9714773 -23.3056975)",,,
154543993,False,SP-066,Praça Independência,primary,True,18.086,"LINESTRING (-45.9768063 -23.3085671, -45.9766631 -23.3084714)",2,,
204736613,True,SP-066,Avenida Luís Simon,primary,False,82.227,"LINESTRING (-45.974014 -23.3038832, -45.9741251 -23.3041222, -45.9742733 -23.3045821)",,,
615396905,True,,Rua José Bonifácio,residential,False,105.679,"LINESTRING (-45.974014 -23.3038832, -45.9739653 -23.3040249, -45.9737167 -23.3047935)",,,
204737060,True,SP-066,Rua Alfredo Schurig,primary,False,39.619,"LINESTRING (-45.9714773 -23.3056975, -45.9711223 -23.3055538)",,,
665688783,True,,Rua Antônio Afonso,tertiary,False,62.043,"LINESTRING (-45.9714773 -23.3056975, -45.9718614 -23.3052652)",,,
323302726,True,SP-066,Rua 15 de Novembro,primary,False,44.243,"LINESTRING (-45.9751392 -23.3074789, -45.9747531 -23.3072984)",,,
"[154543993, 83367452, 154543998]",False,SP-066,"['Ponte Nossa Senhora da Conceição', 'Praça Independência']",primary,"[False, True]",190.86399999999998,"LINESTRING (-45.9751392 -23.3074789, -45.9752476 -23.3075612, -45.9762703 -23.3082002, -45.9766268 -23.3084463, -45.9766631 -23.3084714)",2,yes,
204737089,True,,Avenida Major Acácio Ferreira,primary,False,57.314,"LINESTRING (-45.9751392 -23.3074789, -45.9749629 -23.3075166, -45.974821 -23.3075423, -45.9745919 -23.3075927)",,,
