osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,bridge,tunnel
320008865,True,2,Rua Afonso Pena,secondary,False,101.373,"LINESTRING (-43.5534526 -21.4559036, -43.5536248 -21.4559469, -43.553773 -21.4560068, -43.5538816 -21.4560867, -43.5540104 -21.456209, -43.5542129 -21.4564362)",,,
463881770,True,,Praça Cesário Alvim,residential,False,111.307,"LINESTRING (-43.5520515 -21.4559908, -43.5531249 -21.4559276)",,,
552433656,True,1,Avenida Presidente Getúlio Vargas,secondary,False,39.487,"LINESTRING (-43.5520515 -21.4559908, -43.5520387 -21.4561568, -43.5520242 -21.456345)",,,
463881767,True,1,Avenida Presidente Getúlio Vargas,secondary,False,59.003,"LINESTRING (-43.5520242 -21.456345, -43.5519796 -21.456874)",,,
553649834,True,,Rua Antônio Ladeira,residential,False,9.863,"LINESTRING (-43.5520242 -21.456345, -43.5519289 -21.4563452)",,,
552401371,False,,Rua Carlos Gomes,residential,False,51.562,"LINESTRING (-43.5559988 -21.457601, -43.5558502 -21.4580436)",,,
964663359,True,1,,secondary,False,12.086000000000002,"LINESTRING (-43.5519385 -21.4584814, -43.5519034 -21.458497, -43.5518651 -21.4584904, -43.5518383 -21.4584641)",roundabout,,
964663360,True,1,Avenida Presidente Getúlio Vargas,secondary,False,42.552,"LINESTRING (-43.5519385 -21.4584814, -43.5519544 -21.458603, -43.5519598 -21.4586998, -43.5519234 -21.4588595)",,,
552433657,True,1,Avenida Presidente Getúlio Vargas,secondary,False,45.28,"LINESTRING (-43.5519234 -21.4588595, -43.5518606 -21.4587078, -43.5518499 -21.4586217, -43.5518383 -21.4584641)",,,
552433658,False,2,Avenida Presidente Getúlio Vargas,secondary,True,74.458,"LINESTRING (-43.5519234 -21.4588595, -43.5519505 -21.4590137, -43.5519948 -21.4592557, -43.552039 -21.4595204)",,,
356623234,False,2,Avenida Coronel José Guilherme de Almeida,secondary,False,21.365,"LINESTRING (-43.553014 -21.4538219, -43.5531843 -21.4537133)",,,
381165910,False,,Rua Ayssar Salomão Coure,residential,True,206.78900000000004,"LINESTRING (-43.553014 -21.4538219, -43.5529925 -21.4537976, -43.5529536 -21.453777, -43.552908 -21.4537714, -43.5527182 -21.4538107, -43.5523313 -21.4538787, -43.5521074 -21.4539374, -43.5518137 -21.4540297, -43.5516997 -21.4540522, -43.5516205 -21.4540522, -43.5514838 -21.4540098, -43.551245 -21.4539012, -43.551178 -21.4538503, -43.5511451 -21.4538144)",,,
