osmid,lanes,highway,oneway,reversed,length,name,geometry,ref,bridge
632558680,2,secondary,False,False,17.474,,"LINESTRING (-41.9140052 -11.7574041, -41.9138637 -11.7573299)",,
387582631,,residential,False,False,71.02,Rua Padre José S. França,"LINESTRING (-41.9075055 -11.7587262, -41.9070167 -11.7591492)",,
586081712,,residential,False,False,95.139,Rua José Tenório de Oliveira,"LINESTRING (-41.9075055 -11.7587262, -41.9069028 -11.7581066)",,
586081712,,residential,False,True,42.676,Rua José Tenório de Oliveira,"LINESTRING (-41.9075055 -11.7587262, -41.9076853 -11.7589068, -41.9077396 -11.7589567, -41.9077858 -11.7589941)",,
387582669,,residential,False,False,45.15,Rua Júlio Damasceno Silva,"LINESTRING (-41.9084121 -11.7593505, -41.9082304 -11.7597155)",,
586081712,,residential,False,False,78.86800000000001,Rua José Tenório de Oliveira,"LINESTRING (-41.9084121 -11.7593505, -41.907871 -11.7590466, -41.9077858 -11.7589941)",,
586081712,,residential,False,True,21.877,Rua José Tenório de Oliveira,"LINESTRING (-41.9084121 -11.7593505, -41.9084936 -11.7594024, -41.9085819 -11.7594557)",,
586081712,,residential,False,True,51.577,Rua José Tenório de Oliveira,"LINESTRING (-41.9065681 -11.7577783, -41.9069028 -11.7581066)",,
707526553,,residential,False,True,32.522,,"LINESTRING (-41.9065681 -11.7577783, -41.9063448 -11.7579726)",,
586081714,,residential,True,False,3.115,Rua José Tenório de Oliveira,"LINESTRING (-41.9085819 -11.7594557, -41.9086104 -11.7594582)",,
586081712,,residential,False,False,21.877,Rua José Tenório de Oliveira,"LINESTRING (-41.9085819 -11.7594557, -41.9084936 -11.7594024, -41.9084121 -11.7593505)",,
387582622,,residential,False,False,5.11,Rua Manoel F. Farias,"LINESTRING (-41.9094317 -11.7599509, -41.9094535 -11.7599102)",,
387582622,,residential,False,True,34.109,Rua Manoel F. Farias,"LINESTRING (-41.9094317 -11.7599509, -41.9093096 -11.7602334)",,
