osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes
419808711,,Rua Itaúna,residential,False,True,75.944,"LINESTRING (-44.4913246 -20.393273, -44.4919522 -20.39362)",,,
419808711,,Rua Itaúna,residential,False,True,113.519,"LINESTRING (-44.4904126 -20.3927149, -44.4913246 -20.393273)",,,
477896427,,Rua Padre Elpídio,residential,False,True,113.461,"LINESTRING (-44.4904126 -20.3927149, -44.4906548 -20.3937097)",,,
419808700,,,residential,False,False,74.311,"LINESTRING (-44.4904126 -20.3927149, -44.4903415 -20.3926216, -44.4902824 -20.3925033, -44.4902539 -20.3924164, -44.4902141 -20.3920864)",,,
477896426,,Rua Dona Purcina,residential,False,False,48.88,"LINESTRING (-44.4906548 -20.3937097, -44.4902161 -20.3938651)",,,
477896427,,Rua Padre Elpídio,residential,False,False,113.461,"LINESTRING (-44.4906548 -20.3937097, -44.4904126 -20.3927149)",,,
477896427,,Rua Padre Elpídio,residential,False,True,71.323,"LINESTRING (-44.4906548 -20.3937097, -44.4908803 -20.3943153)",,,
"[477896425, 477896426]",,Rua Dona Purcina,residential,False,"[False, True]",107.67599999999999,"LINESTRING (-44.4906548 -20.3937097, -44.4911363 -20.3935896, -44.4911571 -20.3935901, -44.4911739 -20.3935925, -44.4912009 -20.3936023, -44.4912286 -20.3936259, -44.4914211 -20.393987)",,,
503138730,,Rua Carmópolis,residential,False,False,68.771,"LINESTRING (-44.4914211 -20.393987, -44.4919522 -20.39362)",,,
503138730,,Rua Carmópolis,residential,False,True,67.154,"LINESTRING (-44.4914211 -20.393987, -44.4908803 -20.3943153)",,,
"[477896425, 477896426]",,Rua Dona Purcina,residential,False,"[False, True]",107.676,"LINESTRING (-44.4914211 -20.393987, -44.4912286 -20.3936259, -44.4912009 -20.3936023, -44.4911739 -20.3935925, -44.4911571 -20.3935901, -44.4911363 -20.3935896, -44.4906548 -20.3937097)",,,
419808711,,Rua Itaúna,residential,False,False,75.944,"LINESTRING (-44.4919522 -20.39362, -44.4913246 -20.393273)",,,
419808711,,Rua Itaúna,residential,False,True,60.853,"LINESTRING (-44.4919522 -20.39362, -44.4923858 -20.3939865)",,,
