osmid,lanes,highway,junction,oneway,reversed,length,name,maxspeed,geometry
125158454,2,tertiary,roundabout,True,False,4.03,,,"LINESTRING (-47.9501434 -15.8544774, -47.9501799 -15.8544684)"
125158490,,residential,,False,False,41.798,QR 1A Conjunto S,,"LINESTRING (-47.9517476 -15.856863, -47.951535 -15.8571784)"
125158502,,residential,,False,False,26.993,QR 1A Rua dos Engenheiros,,"LINESTRING (-47.9517476 -15.856863, -47.951541 -15.8567236)"
125158502,,residential,,False,True,22.262,QR 1A Rua dos Engenheiros,,"LINESTRING (-47.9517476 -15.856863, -47.9519239 -15.8569694)"
125158470,2,tertiary,,True,False,49.964,Rua dos Transportes,50,"LINESTRING (-47.9532614 -15.8566061, -47.9528716 -15.8563585)"
125158495,,residential,,False,False,55.795,QR 1A Conjunto O,,"LINESTRING (-47.9532614 -15.8566061, -47.9532286 -15.8566548, -47.9531764 -15.8567292, -47.9529781 -15.8570274)"
125158519,,residential,,False,True,109.87,QR 1A Conjunto U,,"LINESTRING (-47.9513249 -15.8575101, -47.9504697 -15.8569628)"
316301190,,residential,,False,False,22.371,QR 1A Conjunto S,,"LINESTRING (-47.9513249 -15.8575101, -47.9512111 -15.8576789)"
316301190,,residential,,False,True,43.191,QR 1A Conjunto S,,"LINESTRING (-47.9513249 -15.8575101, -47.951535 -15.8571784)"
125158481,2,tertiary,,False,False,78.55,Via de Penetração,,"LINESTRING (-47.9509603 -15.8499481, -47.9507907 -15.8498332, -47.9506472 -15.8497649, -47.950442 -15.8496739, -47.9503092 -15.8496288)"
125158481,2,tertiary,,False,True,42.99700000000001,Via de Penetração,,"LINESTRING (-47.9509603 -15.8499481, -47.9511052 -15.8500945, -47.9511742 -15.85017, -47.9512259 -15.8502377)"
125158481,2,tertiary,,False,False,42.997,Via de Penetração,,"LINESTRING (-47.9512259 -15.8502377, -47.9511742 -15.85017, -47.9511052 -15.8500945, -47.9509603 -15.8499481)"
125158481,2,tertiary,,False,True,134.202,Via de Penetração,,"LINESTRING (-47.9512259 -15.8502377, -47.9513218 -15.8504815, -47.951366 -15.8506138, -47.9513888 -15.8507402, -47.9513915 -15.8508402, -47.9513757 -15.8509925, -47.9513496 -15.8511071, -47.9512993 -15.8513275, -47.9512808 -15.8514085)"
316307656,2,residential,,False,False,146.009,QR 5,,"LINESTRING (-47.9512259 -15.8502377, -47.9517543 -15.8499607, -47.9518253 -15.8499229, -47.9519145 -15.8498687, -47.9519779 -15.8498129, -47.9520259 -15.8497566, -47.9520624 -15.849701, -47.9520842 -15.8496397, -47.9521029 -15.8495384, -47.9521222 -15.8493737)"
125158454,2,tertiary,roundabout,True,False,24.573,,,"LINESTRING (-47.9502062 -15.8547508, -47.9501494 -15.8547431, -47.9500999 -15.8547151, -47.9500652 -15.854671, -47.9500508 -15.8546175)"
125158481,2,tertiary,,False,False,22.796,Via de Penetração,,"LINESTRING (-47.9506378 -15.8539132, -47.9507042 -15.8537184)"
125158481,2,tertiary,,False,True,43.305,Via de Penetração,,"LINESTRING (-47.9506378 -15.8539132, -47.9505217 -15.8541328, -47.9504544 -15.8542604)"
125159773,,residential,,False,True,149.525,QOF,,"LINESTRING (-47.9506378 -15.8539132, -47.9507478 -15.8539751, -47.9508164 -15.8540158, -47.9510012 -15.8541254, -47.9513794 -15.8543682, -47.9518113 -15.8546434)"
125158507,2,tertiary,,False,True,40.05,QR 3,,"LINESTRING (-47.9531709 -15.8517888, -47.9535408 -15.851733)"
125158507,2,tertiary,,False,False,40.963,QR 3,,"LINESTRING (-47.9531709 -15.8517888, -47.9530779 -15.8517897, -47.9529525 -15.8517839, -47.9527903 -15.8517581)"
125159781,2,residential,,False,True,268.495,QR 3 Conjunto D,,"LINESTRING (-47.9531709 -15.8517888, -47.9533274 -15.8527195, -47.9533277 -15.8527502, -47.9533217 -15.8527702, -47.9533079 -15.8527818, -47.9532841 -15.8527931, -47.9530514 -15.8528376, -47.9530219 -15.8528392, -47.9529998 -15.8528305, -47.9529827 -15.852816, -47.9529706 -15.8527937, -47.9529431 -15.8526902, -47.9527903 -15.8517581)"
152760602,2,residential,,False,False,300.756,QR 3 Conjunto C,,"LINESTRING (-47.9531709 -15.8517888, -47.9529807 -15.8506034, -47.9529743 -15.8505889, -47.9529602 -15.850576, -47.9529415 -15.8505699, -47.9526585 -15.8506092, -47.952638 -15.8506183, -47.9526273 -15.8506331, -47.952623 -15.8506599, -47.9527903 -15.8517581)"
125158481,2,tertiary,,False,False,43.305,Via de Penetração,,"LINESTRING (-47.9504544 -15.8542604, -47.9505217 -15.8541328, -47.9506378 -15.8539132)"
780986946,1,tertiary,,True,False,38.345,Via de Penetração,,"LINESTRING (-47.9504544 -15.8542604, -47.9504428 -15.8542948, -47.9504258 -15.8543451, -47.9503437 -15.8545884)"
316308622,,residential,,False,False,51.9,Via do Contormo,,"LINESTRING (-47.9451783 -15.8514472, -47.9450164 -15.8518872)"
778467811,2,tertiary,,False,True,8.886,Via do Contormo,,"LINESTRING (-47.9451783 -15.8514472, -47.9452121 -15.8513742)"
125158490,,residential,,False,True,41.798,QR 1A Conjunto S,,"LINESTRING (-47.951535 -15.8571784, -47.9517476 -15.856863)"
125158509,,residential,,False,True,92.703,QR 1A Conjunto T,,"LINESTRING (-47.951535 -15.8571784, -47.9508135 -15.8567165)"
316301190,,residential,,False,False,43.191,QR 1A Conjunto S,,"LINESTRING (-47.951535 -15.8571784, -47.9513249 -15.8575101)"
316301191,,residential,,False,False,51.978,QR 1A Conjunto E,,"LINESTRING (-47.951535 -15.8571784, -47.951942 -15.8574338)"
125158532,2,tertiary,,False,True,39.56,QR 1,,"LINESTRING (-47.9530136 -15.8540751, -47.9533575 -15.854206)"
