osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,width,tunnel
28639939,Rua José de Alencar,residential,False,False,101.801,"LINESTRING (-35.7353291 -9.6480981, -35.7362417 -9.6482676)",,,,,,
48484719,Rua Bacharel Floriano Ivo,residential,True,False,75.206,"LINESTRING (-35.7353291 -9.6480981, -35.7354706 -9.6474363)",,,,,,
28639939,Rua José de Alencar,residential,False,True,148.53,"LINESTRING (-35.7353291 -9.6480981, -35.7352751 -9.6480887, -35.733995 -9.6478648)",,,,,,
292382413,Rua Frei Caneca,residential,True,False,35.306,"LINESTRING (-35.7338875 -9.6483422, -35.7341447 -9.6485333)",,,,,,
970451478,Avenida Fernandes Lima,trunk,True,False,23.91,"LINESTRING (-35.7338875 -9.6483422, -35.7338493 -9.6485539)",3,BR-104,60,,,
"[37022128, 292382414]",Rua Íris Alagoense,residential,True,False,118.265,"LINESTRING (-35.7338493 -9.6485539, -35.7339291 -9.6486742, -35.7342037 -9.6495533)",,,,,,
"[775830384, 52716275, 408075908, 777680973]","['Avenida Moreira e Silva', 'Avenida Fernandes Lima']",trunk,True,False,297.437,"LINESTRING (-35.7338493 -9.6485539, -35.7336406 -9.6496493, -35.7335933 -9.6498877, -35.7335547 -9.6500799, -35.7335172 -9.6502198, -35.7334985 -9.6504458, -35.7335155 -9.6505831, -35.7336633 -9.6509288, -35.7337652 -9.651143)",3,BR-104,60,,,
680696071,Rua Íris Alagoense,residential,True,False,27.854,"LINESTRING (-35.7342037 -9.6495533, -35.7342883 -9.6497895)",,,,,,
37022458,,primary_link,True,False,26.159,"LINESTRING (-35.7342037 -9.6495533, -35.7343371 -9.6496778, -35.7343827 -9.649708)",1,,,,,
190511170,Segunda Travessa Frei Caneca,residential,False,False,50.64,"LINESTRING (-35.7366197 -9.650369, -35.7362256 -9.6506066)",,,,,,
37022129,Rua Frei Caneca,tertiary,False,False,110.13699999999999,"LINESTRING (-35.7366197 -9.650369, -35.7363769 -9.6499552, -35.7362629 -9.6498071, -35.736153 -9.649704, -35.7359988 -9.6496134)",2,,,,,
408075908,Avenida Moreira e Silva,trunk,True,False,3.321,"LINESTRING (-35.7337652 -9.651143, -35.7337736 -9.6511717)",3,BR-104,60,,,
970419654,Avenida Tomás Espíndola,trunk,True,False,55.438,"LINESTRING (-35.7331082 -9.651223, -35.7332088 -9.6507344)",3,BR-104,60,,,
52716264,,trunk_link,True,False,100.04599999999999,"LINESTRING (-35.7331082 -9.651223, -35.7332119 -9.6510346, -35.7332579 -9.6509669, -35.7332924 -9.6509408, -35.7333373 -9.6509261, -35.7334051 -9.6509204, -35.7334702 -9.6509167, -35.7335269 -9.650925, -35.7336102 -9.650966, -35.7336838 -9.6510346, -35.7337652 -9.651143)",1,,,,,
